ENSSTOP00000008658 ENSSTOP00000014285
ENSSTOP00000008694 ENSSTOP00000012983
ENSSTOP00000008694 ENSSTOP00000009511
ENSSTOP00000008694 ENSSTOP00000010068
ENSSTOP00000008694 ENSSTOP00000011947
ENSSTOP00000008694 ENSSTOP00000008014
ENSSTOP00000008787 ENSSTOP00000015347
ENSSTOP00000008935 ENSSTOP00000018462
ENSSTOP00000008965 ENSSTOP00000012692
ENSSTOP00000009241 ENSSTOP00000014633
ENSSTOP00000009241 ENSSTOP00000023145
ENSSTOP00000009241 ENSSTOP00000012851
ENSSTOP00000009443 ENSSTOP00000015121
ENSSTOP00000009472 ENSSTOP00000019111
ENSSTOP00000009472 ENSSTOP00000016128
ENSSTOP00000009472 ENSSTOP00000022003
ENSSTOP00000009472 ENSSTOP00000006073
ENSSTOP00000009472 ENSSTOP00000008053
ENSSTOP00000009472 ENSSTOP00000006185
ENSSTOP00000009472 ENSSTOP00000015878
ENSSTOP00000009472 ENSSTOP00000015707
ENSSTOP00000009472 ENSSTOP00000022789
ENSSTOP00000009472 ENSSTOP00000019048
ENSSTOP00000009472 ENSSTOP00000022793
ENSSTOP00000009511 ENSSTOP00000001484
ENSSTOP00000009511 ENSSTOP00000012983
ENSSTOP00000009511 ENSSTOP00000010068
ENSSTOP00000009511 ENSSTOP00000011947
ENSSTOP00000009511 ENSSTOP00000008694
ENSSTOP00000009511 ENSSTOP00000008014
ENSSTOP00000009768 ENSSTOP00000022578
ENSSTOP00000010044 ENSSTOP00000004582
ENSSTOP00000010068 ENSSTOP00000009511
ENSSTOP00000010068 ENSSTOP00000011947
ENSSTOP00000010068 ENSSTOP00000008694
ENSSTOP00000010068 ENSSTOP00000008014
ENSSTOP00000010068 ENSSTOP00000005600
ENSSTOP00000010068 ENSSTOP00000001484
ENSSTOP00000010068 ENSSTOP00000012983
ENSSTOP00000010423 ENSSTOP00000017471
ENSSTOP00000010423 ENSSTOP00000023145
ENSSTOP00000010427 ENSSTOP00000021358
ENSSTOP00000010582 ENSSTOP00000014633
ENSSTOP00000010582 ENSSTOP00000023145
ENSSTOP00000010582 ENSSTOP00000012851
ENSSTOP00000010582 ENSSTOP00000014961
ENSSTOP00000011303 ENSSTOP00000000894
ENSSTOP00000011303 ENSSTOP00000015026
ENSSTOP00000011309 ENSSTOP00000015237
ENSSTOP00000011417 ENSSTOP00000004290
ENSSTOP00000011417 ENSSTOP00000015265
ENSSTOP00000011913 ENSSTOP00000005382
ENSSTOP00000011947 ENSSTOP00000009511
ENSSTOP00000011947 ENSSTOP00000010068
ENSSTOP00000011947 ENSSTOP00000008694
ENSSTOP00000011947 ENSSTOP00000008014
ENSSTOP00000011947 ENSSTOP00000005600
ENSSTOP00000011947 ENSSTOP00000001484
ENSSTOP00000011947 ENSSTOP00000012983
ENSSTOP00000012342 ENSSTOP00000014232
ENSSTOP00000012355 ENSSTOP00000022341
ENSSTOP00000012355 ENSSTOP00000007747
ENSSTOP00000012660 ENSSTOP00000005219
ENSSTOP00000012692 ENSSTOP00000008965
ENSSTOP00000012851 ENSSTOP00000022466
ENSSTOP00000012851 ENSSTOP00000014961
ENSSTOP00000012851 ENSSTOP00000000795
ENSSTOP00000012851 ENSSTOP00000008004
ENSSTOP00000012851 ENSSTOP00000009241
ENSSTOP00000012851 ENSSTOP00000023145
ENSSTOP00000012851 ENSSTOP00000010582
ENSSTOP00000012851 ENSSTOP00000014633
ENSSTOP00000012851 ENSSTOP00000000405
ENSSTOP00000012851 ENSSTOP00000007680
ENSSTOP00000012851 ENSSTOP00000016841
ENSSTOP00000012851 ENSSTOP00000016824
ENSSTOP00000012983 ENSSTOP00000009511
ENSSTOP00000012983 ENSSTOP00000010068
ENSSTOP00000012983 ENSSTOP00000008694
ENSSTOP00000012983 ENSSTOP00000008014
ENSSTOP00000012983 ENSSTOP00000001484
ENSSTOP00000012983 ENSSTOP00000011947
ENSSTOP00000013037 ENSSTOP00000022991
ENSSTOP00000013098 ENSSTOP00000005461
ENSSTOP00000013156 ENSSTOP00000020072
ENSSTOP00000013255 ENSSTOP00000000444
ENSSTOP00000013972 ENSSTOP00000006225
ENSSTOP00000014223 ENSSTOP00000019890
ENSSTOP00000014223 ENSSTOP00000005273
ENSSTOP00000014232 ENSSTOP00000012342
ENSSTOP00000014285 ENSSTOP00000008658
ENSSTOP00000014342 ENSSTOP00000021392
ENSSTOP00000014633 ENSSTOP00000022466
ENSSTOP00000014633 ENSSTOP00000016824
ENSSTOP00000014633 ENSSTOP00000014961
ENSSTOP00000014633 ENSSTOP00000000795
ENSSTOP00000014633 ENSSTOP00000008004
ENSSTOP00000014633 ENSSTOP00000009241
ENSSTOP00000014633 ENSSTOP00000023145
ENSSTOP00000014633 ENSSTOP00000012851
ENSSTOP00000014633 ENSSTOP00000010582
ENSSTOP00000014633 ENSSTOP00000000405
ENSSTOP00000014633 ENSSTOP00000007680
ENSSTOP00000014633 ENSSTOP00000016841
ENSSTOP00000014961 ENSSTOP00000010582
ENSSTOP00000014961 ENSSTOP00000014633
ENSSTOP00000014961 ENSSTOP00000023145
ENSSTOP00000014961 ENSSTOP00000012851
ENSSTOP00000015026 ENSSTOP00000000894
ENSSTOP00000015026 ENSSTOP00000011303
ENSSTOP00000015121 ENSSTOP00000009443
ENSSTOP00000015190 ENSSTOP00000018206
ENSSTOP00000015237 ENSSTOP00000011309
ENSSTOP00000015265 ENSSTOP00000011417
ENSSTOP00000015324 ENSSTOP00000019463
ENSSTOP00000015334 ENSSTOP00000000641
ENSSTOP00000015347 ENSSTOP00000008787
ENSSTOP00000015577 ENSSTOP00000002981
ENSSTOP00000015577 ENSSTOP00000006185
ENSSTOP00000015577 ENSSTOP00000015878
ENSSTOP00000015577 ENSSTOP00000020448
ENSSTOP00000015577 ENSSTOP00000005301
ENSSTOP00000015577 ENSSTOP00000019111
ENSSTOP00000015577 ENSSTOP00000008053
ENSSTOP00000015577 ENSSTOP00000017575
