GFO_0309 GFO_1531
GFO_0309 GFO_2673
GFO_0309 GFO_2098
GFO_0309 GFO_2084
GFO_0309 GFO_2674
GFO_0309 GFO_0937
GFO_0309 GFO_0333
GFO_0309 GFO_2397
GFO_0309 GFO_1441
GFO_0309 GFO_0316
GFO_0309 GFO_0332
GFO_0309 GFO_1616
GFO_0312 GFO_2109
GFO_0312 GFO_0309
GFO_0312 GFO_1162
GFO_0312 GFO_2673
GFO_0312 GFO_1707
GFO_0312 GFO_1974
GFO_0312 GFO_2674
GFO_0312 GFO_2084
GFO_0312 GFO_0937
GFO_0313 GFO_3083
GFO_0313 GFO_2250
GFO_0313 GFO_0131
GFO_0313 GFO_1049
GFO_0313 GFO_3368
GFO_0313 GFO_3082
GFO_0313 GFO_1045
GFO_0314 GFO_2175
GFO_0314 GFO_0333
GFO_0314 GFO_0332
GFO_0316 GFO_3067
GFO_0316 GFO_0319
GFO_0316 GFO_2109
GFO_0316 GFO_1969
GFO_0316 GFO_3443
GFO_0316 GFO_1532
GFO_0316 GFO_0309
GFO_0316 GFO_1531
GFO_0316 GFO_0318
GFO_0316 GFO_2397
GFO_0316 GFO_1970
GFO_0316 GFO_0317
GFO_0316 GFO_0333
GFO_0316 GFO_0332
GFO_0317 GFO_0318
GFO_0317 GFO_1970
GFO_0317 GFO_0316
GFO_0318 GFO_3351
GFO_0318 GFO_3067
GFO_0318 GFO_0319
GFO_0318 GFO_0317
GFO_0318 GFO_0499
GFO_0318 GFO_1531
GFO_0318 GFO_1970
GFO_0318 GFO_1969
GFO_0318 GFO_2084
GFO_0318 GFO_0647
GFO_0318 GFO_0316
GFO_0318 GFO_1441
GFO_0318 GFO_0333
GFO_0318 GFO_2397
GFO_0318 GFO_0332
GFO_0318 GFO_3443
GFO_0319 GFO_2109
GFO_0319 GFO_1532
GFO_0319 GFO_1970
GFO_0319 GFO_3443
GFO_0319 GFO_0309
GFO_0319 GFO_3067
GFO_0319 GFO_1969
GFO_0319 GFO_0318
GFO_0319 GFO_0327
GFO_0319 GFO_0316
GFO_0319 GFO_0333
GFO_0319 GFO_2397
GFO_0319 GFO_0332
GFO_0323 GFO_0788
GFO_0323 GFO_0327
GFO_0324 GFO_0788
GFO_0324 GFO_0325
GFO_0325 GFO_0788
GFO_0325 GFO_0324
GFO_0327 GFO_1532
GFO_0327 GFO_0323
GFO_0327 GFO_0319
GFO_0328 GFO_0628
GFO_0328 GFO_0329
GFO_0328 GFO_3225
GFO_0328 GFO_3356
GFO_0328 GFO_0106
GFO_0328 GFO_3226
GFO_0329 GFO_0328
GFO_0329 GFO_3356
GFO_0329 GFO_0628
GFO_0330 GFO_2175
GFO_0330 GFO_3130
GFO_0332 GFO_3381
GFO_0332 GFO_1444
GFO_0332 GFO_0314
GFO_0332 GFO_2109
GFO_0332 GFO_1969
GFO_0332 GFO_0482
GFO_0332 GFO_1532
GFO_0332 GFO_0279
GFO_0332 GFO_3443
GFO_0332 GFO_0309
GFO_0332 GFO_2957
GFO_0332 GFO_0318
GFO_0332 GFO_2018
GFO_0332 GFO_2175
GFO_0332 GFO_3100
GFO_0332 GFO_0334
GFO_0332 GFO_0319
GFO_0332 GFO_3067
GFO_0332 GFO_2262
GFO_0332 GFO_1498
GFO_0332 GFO_1970
GFO_0332 GFO_0316
GFO_0332 GFO_2397
GFO_0332 GFO_0333
GFO_0333 GFO_2957
GFO_0333 GFO_2018
GFO_0333 GFO_2175
GFO_0333 GFO_0318
GFO_0333 GFO_2397
GFO_0333 GFO_3100
GFO_0333 GFO_3381
GFO_0333 GFO_0319
GFO_0333 GFO_3067
GFO_0333 GFO_1970
GFO_0333 GFO_0334
GFO_0333 GFO_1498
GFO_0333 GFO_2262
GFO_0333 GFO_0316
GFO_0333 GFO_0332
GFO_0333 GFO_2109
GFO_0333 GFO_1444
GFO_0333 GFO_1969
GFO_0333 GFO_0279
GFO_0333 GFO_0482
GFO_0333 GFO_1532
GFO_0333 GFO_0314
GFO_0333 GFO_3443
GFO_0333 GFO_0309
GFO_0334 GFO_2795
GFO_0334 GFO_1498
GFO_0334 GFO_2262
GFO_0334 GFO_0288
GFO_0334 GFO_0332
GFO_0334 GFO_0333
GFO_0340 GFO_0233
GFO_0340 GFO_0850
GFO_0340 GFO_0391
GFO_0340 GFO_2931
GFO_0340 GFO_1762
GFO_0340 GFO_0343
GFO_0340 GFO_0342
GFO_0341 GFO_2275
GFO_0341 GFO_0803
GFO_0341 GFO_0624
GFO_0342 GFO_0391
GFO_0342 GFO_2931
GFO_0342 GFO_1762
GFO_0342 GFO_0343
GFO_0342 GFO_0340
GFO_0343 GFO_1627
GFO_0343 GFO_2076
GFO_0343 GFO_0340
GFO_0343 GFO_2669
GFO_0343 GFO_2668
GFO_0343 GFO_0342
GFO_0343 GFO_2154
GFO_0343 GFO_1492
GFO_0351 GFO_1627
GFO_0351 GFO_2407
GFO_0352 GFO_0596
GFO_0353 GFO_3226
GFO_0354 GFO_3084
GFO_0354 GFO_2313
GFO_0354 GFO_0213
GFO_0354 GFO_3628
GFO_0354 GFO_1812
GFO_0367 GFO_3467
GFO_0367 GFO_2998
GFO_0367 GFO_1902
GFO_0376 GFO_3130
GFO_0376 GFO_2175
GFO_0377 GFO_1708
GFO_0377 GFO_0703
GFO_0377 GFO_0698
GFO_0377 GFO_1706
GFO_0377 GFO_0595
GFO_0377 GFO_1161
GFO_0377 GFO_0704
GFO_0377 GFO_0594
GFO_0377 GFO_0697
GFO_0377 GFO_3314
GFO_0380 GFO_1852
GFO_0380 GFO_3432
GFO_0380 GFO_3476
GFO_0380 GFO_2370
GFO_0380 GFO_2142
GFO_0380 GFO_3475
GFO_0380 GFO_2868
GFO_0380 GFO_0100
GFO_0380 GFO_0790
GFO_0380 GFO_2369
GFO_0380 GFO_2814
GFO_0380 GFO_3386
GFO_0383 GFO_1907
GFO_0383 GFO_3345
GFO_0383 GFO_1680
GFO_0383 GFO_0752
GFO_0383 GFO_2807
GFO_0383 GFO_3344
GFO_0383 GFO_2876
GFO_0383 GFO_3343
GFO_0383 GFO_2888
GFO_0383 GFO_1326
GFO_0383 GFO_0276
GFO_0383 GFO_0598
GFO_0383 GFO_2095
GFO_0383 GFO_1768
GFO_0383 GFO_1507
GFO_0383 GFO_2339
GFO_0384 GFO_2704
GFO_0384 GFO_0294
GFO_0384 GFO_0414
GFO_0384 GFO_1163
GFO_0384 GFO_3386
GFO_0384 GFO_0703
GFO_0384 GFO_2130
GFO_0384 GFO_2258
GFO_0384 GFO_2545
GFO_0384 GFO_3166
GFO_0384 GFO_0814
GFO_0384 GFO_0702
GFO_0384 GFO_3521
GFO_0384 GFO_2131
GFO_0384 GFO_2889
GFO_0384 GFO_0704
GFO_0384 GFO_2809
GFO_0384 GFO_0594
GFO_0384 GFO_1162
GFO_0384 GFO_1415
GFO_0384 GFO_0622
GFO_0384 GFO_3000
GFO_0384 GFO_1707
GFO_0384 GFO_0595
GFO_0384 GFO_1681
GFO_0384 GFO_0432
GFO_0384 GFO_1643
GFO_0384 GFO_0735
GFO_0388 GFO_1953
GFO_0388 GFO_2313
GFO_0391 GFO_0342
GFO_0391 GFO_0618
GFO_0391 GFO_0757
GFO_0391 GFO_1808
GFO_0391 GFO_3148
GFO_0391 GFO_1998
GFO_0391 GFO_2076
GFO_0391 GFO_1532
GFO_0391 GFO_3083
GFO_0391 GFO_0776
GFO_0391 GFO_3443
GFO_0391 GFO_0573
GFO_0391 GFO_2678
GFO_0391 GFO_3543
GFO_0391 GFO_3518
GFO_0391 GFO_2750
GFO_0391 GFO_0105
GFO_0391 GFO_3150
GFO_0391 GFO_3186
GFO_0391 GFO_1550
GFO_0391 GFO_0395
GFO_0391 GFO_2807
GFO_0391 GFO_0650
GFO_0391 GFO_3170
GFO_0391 GFO_0850
GFO_0391 GFO_1970
GFO_0391 GFO_2107
GFO_0391 GFO_0086
GFO_0391 GFO_0233
GFO_0391 GFO_3149
GFO_0391 GFO_2931
GFO_0391 GFO_3399
GFO_0391 GFO_1762
GFO_0391 GFO_2747
GFO_0391 GFO_0141
GFO_0391 GFO_2909
GFO_0391 GFO_0785
GFO_0391 GFO_0747
GFO_0391 GFO_2330
GFO_0391 GFO_0340
GFO_0391 GFO_1213
GFO_0391 GFO_1843
GFO_0391 GFO_0726
GFO_0395 GFO_2908
GFO_0395 GFO_1202
GFO_0395 GFO_2875
GFO_0395 GFO_2105
GFO_0395 GFO_0471
GFO_0395 GFO_1498
GFO_0395 GFO_1886
GFO_0395 GFO_0391
GFO_0395 GFO_1865
GFO_0395 GFO_2931
GFO_0395 GFO_2165
GFO_0395 GFO_1961
GFO_0395 GFO_1955
GFO_0395 GFO_1679
GFO_0395 GFO_0183
GFO_0395 GFO_2909
GFO_0395 GFO_1493
GFO_0395 GFO_0757
GFO_0395 GFO_1742
GFO_0395 GFO_3401
GFO_0395 GFO_1962
GFO_0395 GFO_0726
GFO_0395 GFO_2730
GFO_0395 GFO_3186
GFO_0395 GFO_3302
GFO_0395 GFO_1963
GFO_0414 GFO_0595
GFO_0414 GFO_1707
GFO_0414 GFO_0703
GFO_0414 GFO_0735
GFO_0414 GFO_3000
GFO_0414 GFO_2809
GFO_0414 GFO_0702
GFO_0414 GFO_0814
GFO_0414 GFO_0594
GFO_0414 GFO_0704
GFO_0414 GFO_1469
GFO_0414 GFO_3294
GFO_0414 GFO_0384
GFO_0414 GFO_1415
GFO_0414 GFO_2258
GFO_0414 GFO_1162
GFO_0414 GFO_3512
GFO_0414 GFO_0734
GFO_0414 GFO_3166
GFO_0426 GFO_1059
GFO_0429 GFO_0626
GFO_0429 GFO_3309
GFO_0429 GFO_2899
GFO_0432 GFO_0814
GFO_0432 GFO_0594
GFO_0432 GFO_0704
GFO_0432 GFO_1415
GFO_0432 GFO_1162
GFO_0432 GFO_1707
GFO_0432 GFO_0622
GFO_0432 GFO_0595
GFO_0432 GFO_0702
GFO_0432 GFO_0735
GFO_0432 GFO_3000
GFO_0432 GFO_2704
GFO_0432 GFO_0384
GFO_0432 GFO_0703
GFO_0432 GFO_2130
GFO_0432 GFO_2258
GFO_0432 GFO_3166
GFO_0441 GFO_3610
GFO_0441 GFO_0443
GFO_0441 GFO_0442
GFO_0441 GFO_1416
GFO_0442 GFO_3610
GFO_0442 GFO_0441
GFO_0442 GFO_0443
GFO_0442 GFO_1416
GFO_0443 GFO_0441
GFO_0443 GFO_3610
GFO_0443 GFO_0442
GFO_0443 GFO_1416
GFO_0447 GFO_3130
GFO_0447 GFO_1879
GFO_0450 GFO_0454
GFO_0450 GFO_0452
GFO_0450 GFO_0453
GFO_0452 GFO_0454
GFO_0452 GFO_0453
GFO_0452 GFO_0450
GFO_0453 GFO_2740
GFO_0453 GFO_0454
GFO_0453 GFO_0037
GFO_0453 GFO_0790
GFO_0453 GFO_0778
GFO_0453 GFO_2814
GFO_0453 GFO_1462
GFO_0453 GFO_3390
GFO_0453 GFO_3386
GFO_0453 GFO_2369
GFO_0453 GFO_2370
GFO_0453 GFO_0450
GFO_0453 GFO_0452
GFO_0454 GFO_0450
GFO_0454 GFO_0790
GFO_0454 GFO_0037
GFO_0454 GFO_0778
GFO_0454 GFO_2370
GFO_0454 GFO_0452
GFO_0454 GFO_1462
GFO_0454 GFO_2814
GFO_0454 GFO_2740
GFO_0454 GFO_3386
GFO_0454 GFO_3390
GFO_0454 GFO_0453
GFO_0454 GFO_2369
GFO_0464 GFO_1279
GFO_0464 GFO_2957
GFO_0464 GFO_1282
GFO_0464 GFO_3432
GFO_0464 GFO_1276
GFO_0464 GFO_0643
GFO_0464 GFO_1416
GFO_0464 GFO_2228
GFO_0464 GFO_1092
GFO_0464 GFO_3610
GFO_0464 GFO_0644
GFO_0464 GFO_1760
GFO_0464 GFO_1758
GFO_0464 GFO_2868
GFO_0464 GFO_2964
GFO_0471 GFO_3547
GFO_0471 GFO_1742
GFO_0471 GFO_2165
GFO_0471 GFO_2875
GFO_0471 GFO_1202
GFO_0471 GFO_0395
GFO_0471 GFO_1955
GFO_0471 GFO_1679
GFO_0471 GFO_3302
GFO_0471 GFO_0757
GFO_0471 GFO_1498
GFO_0471 GFO_1963
GFO_0471 GFO_0183
GFO_0471 GFO_2909
GFO_0471 GFO_2812
GFO_0471 GFO_3401
GFO_0471 GFO_1074
GFO_0471 GFO_0726
GFO_0471 GFO_3378
GFO_0471 GFO_1865
GFO_0471 GFO_2908
GFO_0471 GFO_3186
GFO_0471 GFO_2730
GFO_0472 GFO_1050
GFO_0472 GFO_2870
GFO_0472 GFO_2869
GFO_0478 GFO_2690
GFO_0478 GFO_1852
GFO_0478 GFO_0644
GFO_0478 GFO_2964
GFO_0478 GFO_0100
GFO_0478 GFO_1279
GFO_0478 GFO_0812
GFO_0478 GFO_2406
GFO_0478 GFO_1844
GFO_0478 GFO_1282
GFO_0478 GFO_1276
GFO_0478 GFO_1565
GFO_0478 GFO_0643
GFO_0482 GFO_3381
GFO_0482 GFO_2678
GFO_0482 GFO_2747
GFO_0482 GFO_1487
GFO_0482 GFO_0279
GFO_0482 GFO_0179
GFO_0482 GFO_0105
GFO_0482 GFO_2795
GFO_0482 GFO_1498
GFO_0482 GFO_2262
GFO_0482 GFO_1808
GFO_0482 GFO_0332
GFO_0482 GFO_0333
GFO_0483 GFO_0105
GFO_0483 GFO_3335
GFO_0483 GFO_0809
GFO_0483 GFO_1680
GFO_0483 GFO_2678
GFO_0483 GFO_2807
GFO_0483 GFO_2250
GFO_0483 GFO_0752
GFO_0483 GFO_2747
GFO_0483 GFO_2888
GFO_0483 GFO_3082
GFO_0483 GFO_1768
GFO_0483 GFO_0810
GFO_0494 GFO_1188
GFO_0499 GFO_0309
GFO_0499 GFO_2109
GFO_0499 GFO_2090
GFO_0499 GFO_2166
GFO_0499 GFO_1969
GFO_0499 GFO_1970
GFO_0499 GFO_2528
GFO_0499 GFO_0318
GFO_0499 GFO_2095
GFO_0499 GFO_1441
GFO_0499 GFO_2113
GFO_0499 GFO_1616
GFO_0516 GFO_2722
GFO_0516 GFO_2771
GFO_0516 GFO_3037
GFO_0516 GFO_1226
GFO_0542 GFO_0546
GFO_0546 GFO_0542
GFO_0550 GFO_0553
GFO_0550 GFO_0556
GFO_0553 GFO_2884
GFO_0553 GFO_0550
GFO_0553 GFO_0556
GFO_0556 GFO_0550
GFO_0556 GFO_0553
GFO_0569 GFO_0572
GFO_0569 GFO_2023
GFO_0572 GFO_2023
GFO_0572 GFO_2016
GFO_0572 GFO_0569
GFO_0573 GFO_1998
GFO_0573 GFO_0776
GFO_0573 GFO_2750
GFO_0573 GFO_3518
GFO_0573 GFO_3543
GFO_0573 GFO_1550
GFO_0573 GFO_1970
GFO_0573 GFO_0391
GFO_0573 GFO_2107
GFO_0573 GFO_2931
GFO_0573 GFO_2909
GFO_0573 GFO_0086
GFO_0573 GFO_1843
GFO_0573 GFO_0757
GFO_0587 GFO_2109
GFO_0587 GFO_2673
GFO_0587 GFO_2696
GFO_0587 GFO_2084
