XP_002614470.1 XP_002615602.1
XP_002614470.1 XP_002616214.1
XP_002614476.1 XP_002617757.1
XP_002614476.1 XP_002619497.1
XP_002614476.1 XP_002619055.1
XP_002614476.1 XP_002616179.1
XP_002614476.1 XP_002614693.1
XP_002614476.1 XP_002619264.1
XP_002614482.1 XP_002614550.1
XP_002614490.1 XP_002614759.1
XP_002614491.1 XP_002614406.1
XP_002614491.1 XP_002618357.1
XP_002614491.1 XP_002616324.1
XP_002614491.1 XP_002617872.1
XP_002614491.1 XP_002619296.1
XP_002614491.1 XP_002614695.1
XP_002614491.1 XP_002615423.1
XP_002614491.1 XP_002618807.1
XP_002614493.1 XP_002616472.1
XP_002614493.1 XP_002614183.1
XP_002614493.1 XP_002615146.1
XP_002614493.1 XP_002619834.1
XP_002614493.1 XP_002618484.1
XP_002614493.1 XP_002618996.1
XP_002614493.1 XP_002615248.1
XP_002614502.1 XP_002619020.1
XP_002614502.1 XP_002616052.1
XP_002614502.1 XP_002614745.1
XP_002614502.1 XP_002614956.1
XP_002614502.1 XP_002615671.1
XP_002614502.1 XP_002617534.1
XP_002614502.1 XP_002618651.1
XP_002614502.1 XP_002618943.1
XP_002614502.1 XP_002616432.1
XP_002614502.1 XP_002617787.1
XP_002614502.1 XP_002617414.1
XP_002614502.1 XP_002618642.1
XP_002614505.1 XP_002618342.1
XP_002614505.1 XP_002616145.1
XP_002614508.1 XP_002617104.1
XP_002614508.1 XP_002614705.1
XP_002614508.1 XP_002618992.1
XP_002614508.1 XP_002614321.1
XP_002614508.1 XP_002616010.1
XP_002614508.1 XP_002619347.1
XP_002614508.1 XP_002619858.1
XP_002614508.1 XP_002614576.1
XP_002614508.1 XP_002619075.1
XP_002614508.1 XP_002617543.1
XP_002614508.1 XP_002618213.1
XP_002614508.1 XP_002616434.1
XP_002614508.1 XP_002616200.1
XP_002614508.1 XP_002617098.1
XP_002614511.1 XP_002616780.1
XP_002614511.1 XP_002617333.1
XP_002614527.1 XP_002615480.1
XP_002614527.1 XP_002615897.1
XP_002614527.1 XP_002617318.1
XP_002614527.1 XP_002619523.1
XP_002614527.1 XP_002618655.1
XP_002614527.1 XP_002616077.1
XP_002614527.1 XP_002619272.1
XP_002614527.1 XP_002615898.1
