BRLA_c07960 BRLA_c19270
BRLA_c07970 BRLA_c28730
BRLA_c07970 BRLA_c07980
BRLA_c07970 BRLA_c07960
BRLA_c07980 BRLA_c02280
BRLA_c07980 BRLA_c07970
BRLA_c08100 BRLA_c08170
BRLA_c08110 BRLA_c08170
BRLA_c08120 BRLA_c08130
BRLA_c08130 BRLA_c08120
BRLA_c08130 BRLA_c08140
BRLA_c08130 BRLA_c47140
BRLA_c08130 BRLA_c08160
BRLA_c08140 BRLA_c08130
BRLA_c08140 BRLA_c08150
BRLA_c08150 BRLA_c08170
BRLA_c08150 BRLA_c08140
BRLA_c08150 BRLA_c08160
BRLA_c08160 BRLA_c08150
BRLA_c08160 BRLA_c08130
BRLA_c08170 BRLA_c08110
BRLA_c08170 BRLA_c08150
BRLA_c08170 BRLA_c08100
BRLA_c08470 BRLA_c08490
BRLA_c08470 BRLA_c06770
BRLA_c08470 BRLA_c08480
BRLA_c08480 BRLA_c25700
BRLA_c08480 BRLA_c08470
BRLA_c08480 BRLA_c08500
BRLA_c08490 BRLA_c06770
BRLA_c08490 BRLA_c08470
BRLA_c08500 BRLA_c08480
BRLA_c08500 BRLA_c08510
BRLA_c08510 BRLA_c16280
BRLA_c08510 BRLA_c25700
BRLA_c08510 BRLA_c08500
BRLA_c08930 BRLA_c25360
BRLA_c08930 BRLA_c40400
BRLA_c08930 BRLA_c22820
BRLA_c08930 BRLA_c46910
BRLA_c09050 BRLA_c16030
BRLA_c09050 BRLA_c41190
BRLA_c09380 BRLA_c30550
BRLA_c09380 BRLA_c30510
BRLA_c09380 BRLA_c24980
BRLA_c09390 BRLA_c47390
BRLA_c09390 BRLA_c47380
BRLA_c09490 BRLA_c19270
BRLA_c09490 BRLA_c09500
BRLA_c09500 BRLA_c26080
BRLA_c09500 BRLA_c09490
BRLA_c09500 BRLA_c19380
BRLA_c09500 BRLA_c07940
BRLA_c09500 BRLA_c07950
BRLA_c09500 BRLA_c20800
BRLA_c09500 BRLA_c14890
BRLA_c09500 BRLA_c46520
BRLA_c09500 BRLA_c30530
BRLA_c09500 BRLA_c30520
BRLA_c09500 BRLA_c06750
BRLA_c09550 BRLA_c06670
BRLA_c09560 BRLA_c25450
BRLA_c09560 BRLA_c19450
BRLA_c09560 BRLA_c11520
BRLA_c09560 BRLA_c06670
BRLA_c09560 BRLA_c16720
BRLA_c09560 BRLA_c24260
BRLA_c09560 BRLA_c34710
BRLA_c09560 BRLA_c25670
BRLA_c09560 BRLA_c13690
BRLA_c09560 BRLA_c24390
BRLA_c09640 BRLA_c09660
BRLA_c09640 BRLA_c26040
BRLA_c09650 BRLA_c09660
BRLA_c09660 BRLA_c09640
BRLA_c09660 BRLA_c09650
BRLA_c09680 BRLA_c12590
BRLA_c09680 BRLA_c26040
BRLA_c09820 BRLA_c13060
BRLA_c10040 BRLA_c04810
BRLA_c10040 BRLA_c12270
BRLA_c10040 BRLA_c44950
BRLA_c10040 BRLA_c10050
BRLA_c10050 BRLA_c04810
BRLA_c10050 BRLA_c10040
BRLA_c10050 BRLA_c44950
BRLA_c10570 BRLA_c16290
BRLA_c10680 BRLA_c14410
BRLA_c10680 BRLA_c14420
BRLA_c10740 BRLA_c13190
BRLA_c10740 BRLA_c45630
BRLA_c10740 BRLA_c29980
BRLA_c11130 BRLA_c47390
BRLA_c11150 BRLA_c47520
BRLA_c11180 BRLA_c11190
BRLA_c11180 BRLA_c34800
BRLA_c11180 BRLA_c43070
BRLA_c11190 BRLA_c11180
BRLA_c11190 BRLA_c35670
BRLA_c11240 BRLA_c11250
BRLA_c11250 BRLA_c11240
BRLA_c11310 BRLA_c47680
BRLA_c11520 BRLA_c06680
