ENSNLEP00000003863 ENSNLEP00000005055
ENSNLEP00000003863 ENSNLEP00000003464
ENSNLEP00000003863 ENSNLEP00000001603
ENSNLEP00000003863 ENSNLEP00000015936
ENSNLEP00000003863 ENSNLEP00000012370
ENSNLEP00000003865 ENSNLEP00000006626
ENSNLEP00000003865 ENSNLEP00000018366
ENSNLEP00000003865 ENSNLEP00000006601
ENSNLEP00000003865 ENSNLEP00000004136
ENSNLEP00000003865 ENSNLEP00000020618
ENSNLEP00000003865 ENSNLEP00000020702
ENSNLEP00000003865 ENSNLEP00000003760
ENSNLEP00000003865 ENSNLEP00000021576
ENSNLEP00000004024 ENSNLEP00000011506
ENSNLEP00000004078 ENSNLEP00000018918
ENSNLEP00000004078 ENSNLEP00000021853
ENSNLEP00000004078 ENSNLEP00000007006
ENSNLEP00000004078 ENSNLEP00000002013
ENSNLEP00000004097 ENSNLEP00000002376
ENSNLEP00000004136 ENSNLEP00000006626
ENSNLEP00000004136 ENSNLEP00000018366
ENSNLEP00000004136 ENSNLEP00000020618
ENSNLEP00000004136 ENSNLEP00000006601
ENSNLEP00000004136 ENSNLEP00000003865
ENSNLEP00000004136 ENSNLEP00000020702
ENSNLEP00000004136 ENSNLEP00000003760
ENSNLEP00000004136 ENSNLEP00000021576
ENSNLEP00000004159 ENSNLEP00000019015
ENSNLEP00000004176 ENSNLEP00000011001
ENSNLEP00000004176 ENSNLEP00000006869
ENSNLEP00000004214 ENSNLEP00000011539
ENSNLEP00000004314 ENSNLEP00000009087
ENSNLEP00000004334 ENSNLEP00000009838
ENSNLEP00000004352 ENSNLEP00000009566
ENSNLEP00000004374 ENSNLEP00000018549
ENSNLEP00000004392 ENSNLEP00000020702
ENSNLEP00000004392 ENSNLEP00000020618
ENSNLEP00000004484 ENSNLEP00000020702
ENSNLEP00000004484 ENSNLEP00000020618
ENSNLEP00000004484 ENSNLEP00000012550
ENSNLEP00000004484 ENSNLEP00000019717
ENSNLEP00000004537 ENSNLEP00000005740
ENSNLEP00000004537 ENSNLEP00000003290
ENSNLEP00000004537 ENSNLEP00000003238
ENSNLEP00000004537 ENSNLEP00000019587
ENSNLEP00000004537 ENSNLEP00000006603
ENSNLEP00000004537 ENSNLEP00000020923
ENSNLEP00000004551 ENSNLEP00000023664
ENSNLEP00000004561 ENSNLEP00000012532
ENSNLEP00000004614 ENSNLEP00000002411
ENSNLEP00000004646 ENSNLEP00000009397
ENSNLEP00000004785 ENSNLEP00000009397
ENSNLEP00000004845 ENSNLEP00000017956
ENSNLEP00000004866 ENSNLEP00000020702
ENSNLEP00000004866 ENSNLEP00000020618
ENSNLEP00000004902 ENSNLEP00000022645
ENSNLEP00000004902 ENSNLEP00000022259
ENSNLEP00000004902 ENSNLEP00000005345
ENSNLEP00000004902 ENSNLEP00000016551
ENSNLEP00000004902 ENSNLEP00000022246
ENSNLEP00000004906 ENSNLEP00000023993
ENSNLEP00000005010 ENSNLEP00000005363
ENSNLEP00000005010 ENSNLEP00000018549
ENSNLEP00000005036 ENSNLEP00000020704
ENSNLEP00000005055 ENSNLEP00000015275
ENSNLEP00000005055 ENSNLEP00000018121
ENSNLEP00000005055 ENSNLEP00000013474
ENSNLEP00000005055 ENSNLEP00000006801
ENSNLEP00000005055 ENSNLEP00000019407
ENSNLEP00000005055 ENSNLEP00000007287
