NGR_c12220 NGR_c03930
NGR_c12220 NGR_c34780
NGR_c12220 NGR_c34970
NGR_c12220 NGR_c06470
NGR_c12220 NGR_c04260
NGR_c12220 NGR_c03920
NGR_c12220 NGR_c17030
NGR_c12250 NGR_c30880
NGR_c12250 NGR_c26300
NGR_c12250 NGR_c19300
NGR_c12250 NGR_c30900
NGR_c12250 NGR_c12280
NGR_c12250 NGR_c20490
NGR_c12250 NGR_c20480
NGR_c12250 NGR_c30860
NGR_c12250 NGR_c30890
NGR_c12250 NGR_c20470
NGR_c12280 NGR_c19300
NGR_c12280 NGR_c12250
NGR_c12280 NGR_c21440
NGR_c12280 NGR_c26300
NGR_c12280 NGR_c32950
NGR_c12280 NGR_c24110
NGR_c12280 NGR_c20490
NGR_c12280 NGR_c20480
NGR_c12280 NGR_c06130
NGR_c12280 NGR_c26130
NGR_c12280 NGR_c23150
NGR_c12280 NGR_c33040
NGR_c12280 NGR_c25410
NGR_c12280 NGR_c20470
NGR_c01220 NGR_c09710
NGR_c01220 NGR_c01230
NGR_c01220 NGR_c10880
NGR_c01220 NGR_c13390
NGR_c12320 NGR_c35760
NGR_c12320 NGR_c05170
NGR_c12320 NGR_c12900
NGR_c12320 NGR_c35750
NGR_c12320 NGR_c08930
NGR_c12320 NGR_c18050
NGR_c12320 NGR_c18060
NGR_c01230 NGR_c27040
NGR_c01230 NGR_c08730
NGR_c01230 NGR_c01220
NGR_c01230 NGR_c14490
NGR_c01230 NGR_c13390
NGR_c01230 NGR_c09190
NGR_c01230 NGR_c00400
NGR_c01230 NGR_c17320
NGR_c12440 NGR_c20160
NGR_c12440 NGR_c08730
NGR_c12440 NGR_c33780
NGR_c12440 NGR_c05430
NGR_c12440 NGR_c05340
NGR_c12440 NGR_c20170
NGR_c12440 NGR_c14880
NGR_c12440 NGR_c34780
NGR_c12440 NGR_c13220
NGR_c12440 NGR_c26220
NGR_c12440 NGR_c09570
NGR_c12440 NGR_c33790
NGR_c12440 NGR_c20220
NGR_c12440 NGR_c32810
NGR_c12440 NGR_c28640
NGR_c12440 NGR_c14120
NGR_c12440 NGR_c31610
NGR_c12440 NGR_c14020
NGR_c12540 NGR_c29160
NGR_c12540 NGR_c13750
NGR_c12540 NGR_c26990
NGR_c12540 NGR_c32060
NGR_c12540 NGR_c36520
NGR_c12540 NGR_c28490
NGR_c12560 NGR_c34010
NGR_c12560 NGR_c33990
NGR_c12570 NGR_c11840
NGR_c12570 NGR_c01040
NGR_c12570 NGR_c28120
NGR_c12570 NGR_c11830
NGR_c12570 NGR_c24800
NGR_c12570 NGR_c35920
NGR_c12570 NGR_c17110
NGR_c12570 NGR_c09130
NGR_c12570 NGR_c13030
NGR_c12570 NGR_c09400
NGR_c12570 NGR_c29090
NGR_c12570 NGR_c24290
NGR_c12570 NGR_c28350
NGR_c12570 NGR_c14580
NGR_c12570 NGR_c31990
NGR_c12570 NGR_c18230
NGR_c12570 NGR_c12140
NGR_c12760 NGR_c34430
NGR_c12760 NGR_c31170
NGR_c12760 NGR_c01170
NGR_c12760 NGR_c07380
NGR_c12760 NGR_c06610
NGR_c12760 NGR_c28070
NGR_c12760 NGR_c34890
NGR_c12760 NGR_c05700
NGR_c12760 NGR_c29340
NGR_c12760 NGR_c33640
NGR_c12760 NGR_c06570
NGR_c12760 NGR_c05180
NGR_c12760 NGR_c06590
NGR_c12760 NGR_c03190
NGR_c12760 NGR_c28090
NGR_c12760 NGR_c28060
NGR_c12760 NGR_c06460
NGR_c12760 NGR_c28100
NGR_c12770 NGR_c12140
NGR_c12770 NGR_c11840
NGR_c12770 NGR_c11830
NGR_c12770 NGR_c31710
NGR_c12770 NGR_c09130
NGR_c12790 NGR_c02040
NGR_c12800 NGR_c34890
NGR_c12800 NGR_c06570
NGR_c12800 NGR_c05180
NGR_c12800 NGR_c28060
NGR_c12800 NGR_c05700
NGR_c12800 NGR_c03190
NGR_c12800 NGR_c29340
NGR_c12800 NGR_c01170
NGR_c12800 NGR_c07380
NGR_c12800 NGR_c06590
NGR_c12800 NGR_c31170
NGR_c12800 NGR_c28350
NGR_c12800 NGR_c06460
NGR_c12800 NGR_c28100
NGR_c12800 NGR_c33940
NGR_c12820 NGR_c28100
NGR_c12820 NGR_c06460
NGR_c12820 NGR_c31560
NGR_c12820 NGR_c01990
NGR_c12820 NGR_c05620
NGR_c12820 NGR_c31400
NGR_c12820 NGR_c28350
NGR_c12820 NGR_c00300
NGR_c12820 NGR_c12850
NGR_c12820 NGR_c16880
NGR_c12820 NGR_c05700
NGR_c12820 NGR_c33330
NGR_c12820 NGR_c29340
NGR_c12820 NGR_c01170
NGR_c12820 NGR_c12830
NGR_c12820 NGR_c20160
NGR_c12820 NGR_c08670
NGR_c12820 NGR_c06570
NGR_c12820 NGR_c23460
NGR_c12820 NGR_c26750
NGR_c12820 NGR_c07380
NGR_c12820 NGR_c06590
NGR_c12820 NGR_c12880
NGR_c12820 NGR_c03190
NGR_c12820 NGR_c20630
NGR_c12820 NGR_c23940
NGR_c12820 NGR_c31220
NGR_c12820 NGR_c28060
NGR_c12820 NGR_c20170
NGR_c12820 NGR_c31170
NGR_c12820 NGR_c29920
NGR_c12820 NGR_c32860
NGR_c12820 NGR_c21360
NGR_c12820 NGR_c33940
NGR_c12830 NGR_c26750
NGR_c12830 NGR_c07380
NGR_c12830 NGR_c23940
NGR_c12830 NGR_c31220
NGR_c12830 NGR_c33940
NGR_c12830 NGR_c28060
NGR_c12830 NGR_c20630
NGR_c12830 NGR_c20170
NGR_c12830 NGR_c31400
NGR_c12830 NGR_c32860
NGR_c12830 NGR_c29920
NGR_c12830 NGR_c21360
NGR_c12830 NGR_c12850
NGR_c12830 NGR_c00300
NGR_c12830 NGR_c06590
NGR_c12830 NGR_c33330
NGR_c12830 NGR_c12820
NGR_c12830 NGR_c29340
NGR_c12830 NGR_c01170
NGR_c12830 NGR_c20160
NGR_c12830 NGR_c06570
NGR_c12830 NGR_c23460
NGR_c12830 NGR_c08670
NGR_c12830 NGR_c31170
NGR_c12830 NGR_c28350
NGR_c12830 NGR_c06460
NGR_c12830 NGR_c28100
NGR_c12830 NGR_c01990
NGR_c12830 NGR_c05620
NGR_c12830 NGR_c31560
NGR_c12830 NGR_c12880
NGR_c12830 NGR_c05700
NGR_c12830 NGR_c16880
NGR_c12830 NGR_c03190
NGR_c12850 NGR_c34110
NGR_c12850 NGR_c08670
NGR_c12850 NGR_c33330
NGR_c12850 NGR_c12820
NGR_c12850 NGR_c31290
NGR_c12850 NGR_c29930
NGR_c12850 NGR_c26750
NGR_c12850 NGR_c12880
NGR_c12850 NGR_c09720
NGR_c12850 NGR_c31220
NGR_c12850 NGR_c32720
NGR_c12850 NGR_c13470
NGR_c12850 NGR_c23460
NGR_c12850 NGR_c11070
NGR_c12850 NGR_c12830
NGR_c12850 NGR_c33800
NGR_c12850 NGR_c11080
NGR_c12850 NGR_c25100
NGR_c12850 NGR_c03390
NGR_c12850 NGR_c31280
NGR_c12850 NGR_c01680
NGR_c12850 NGR_c27260
NGR_c12850 NGR_c32860
NGR_c12850 NGR_c33940
NGR_c12850 NGR_c05020
NGR_c12850 NGR_c29920
NGR_c12880 NGR_c28680
NGR_c12880 NGR_c29900
NGR_c12880 NGR_c33260
NGR_c12880 NGR_c21810
NGR_c12880 NGR_c31270
NGR_c12880 NGR_c08560
NGR_c12880 NGR_c14410
NGR_c12880 NGR_c31280
NGR_c12880 NGR_c16430
NGR_c12880 NGR_c14740
NGR_c12880 NGR_c00980
NGR_c12880 NGR_c16350
NGR_c12880 NGR_c29910
NGR_c12880 NGR_c12820
NGR_c12880 NGR_c09570
NGR_c12880 NGR_c28690
NGR_c12880 NGR_c12830
NGR_c12880 NGR_c31290
NGR_c12880 NGR_c26250
NGR_c12880 NGR_c15470
NGR_c12880 NGR_c31260
NGR_c12880 NGR_c15480
NGR_c12880 NGR_c29890
NGR_c12880 NGR_c20320
NGR_c12880 NGR_c31220
NGR_c12880 NGR_c21450
NGR_c12880 NGR_c03210
NGR_c12880 NGR_c15490
NGR_c12880 NGR_c26220
NGR_c12880 NGR_c29920
NGR_c12880 NGR_c12850
NGR_c12900 NGR_c08930
NGR_c12900 NGR_c35750
NGR_c12900 NGR_c18060
NGR_c12900 NGR_c18050
NGR_c12900 NGR_c35760
NGR_c12900 NGR_c05170
NGR_c12900 NGR_c12320
NGR_c12930 NGR_c35560
NGR_c12930 NGR_c31730
NGR_c12930 NGR_c28490
NGR_c12930 NGR_c02120
NGR_c12930 NGR_c08510
NGR_c12930 NGR_c13750
NGR_c12940 NGR_c32790
NGR_c12940 NGR_c30680
NGR_c12940 NGR_c04560
NGR_c12960 NGR_c14750
NGR_c12960 NGR_c12970
NGR_c12970 NGR_c12960
NGR_c12980 NGR_c12990
NGR_c12990 NGR_c12980
NGR_c13000 NGR_c08780
NGR_c13000 NGR_c34380
NGR_c13000 NGR_c36470
NGR_c13000 NGR_c08100
NGR_c13000 NGR_c20320
NGR_c13000 NGR_c32960
NGR_c13000 NGR_c32780
NGR_c13000 NGR_c27080
NGR_c13000 NGR_c00980
NGR_c13000 NGR_c21110
