STRCR_1618 STRCR_1387
STRCR_1639 STRCR_1915
STRCR_1639 STRCR_1917
STRCR_1639 STRCR_1964
STRCR_1639 STRCR_0387
STRCR_1679 STRCR_2003
STRCR_1679 STRCR_1248
STRCR_1679 STRCR_0694
STRCR_1680 STRCR_0694
STRCR_1680 STRCR_2003
STRCR_1680 STRCR_1248
STRCR_1681 STRCR_2003
STRCR_1681 STRCR_1248
STRCR_1681 STRCR_0694
STRCR_1688 STRCR_2189
STRCR_1688 STRCR_1690
STRCR_1689 STRCR_1690
STRCR_1689 STRCR_2189
STRCR_1690 STRCR_1895
STRCR_1690 STRCR_1689
STRCR_1690 STRCR_1688
STRCR_1693 STRCR_0943
STRCR_1693 STRCR_1206
STRCR_1712 STRCR_1372
STRCR_1714 STRCR_1613
STRCR_1714 STRCR_1319
STRCR_1715 STRCR_2130
STRCR_1742 STRCR_1098
STRCR_1750 STRCR_1457
STRCR_1751 STRCR_2277
STRCR_1751 STRCR_1991
STRCR_1776 STRCR_1780
STRCR_1776 STRCR_1777
STRCR_1776 STRCR_1779
STRCR_1777 STRCR_1776
STRCR_1777 STRCR_1779
STRCR_1777 STRCR_1780
STRCR_1779 STRCR_1776
STRCR_1779 STRCR_1777
STRCR_1780 STRCR_1776
STRCR_1780 STRCR_1777
STRCR_1780 STRCR_1949
STRCR_1782 STRCR_1298
STRCR_1782 STRCR_0832
STRCR_1782 STRCR_0202
STRCR_1785 STRCR_0442
STRCR_1785 STRCR_1959
STRCR_1786 STRCR_2102
STRCR_1786 STRCR_2101
STRCR_1786 STRCR_1959
STRCR_1786 STRCR_1212
STRCR_1787 STRCR_1789
STRCR_1787 STRCR_0847
STRCR_1787 STRCR_0848
STRCR_1788 STRCR_1789
STRCR_1788 STRCR_1213
STRCR_1789 STRCR_1788
STRCR_1789 STRCR_1787
STRCR_1792 STRCR_1802
STRCR_1792 STRCR_1793
STRCR_1792 STRCR_1801
STRCR_1793 STRCR_1792
STRCR_1793 STRCR_1795
STRCR_1794 STRCR_1795
STRCR_1794 STRCR_1797
STRCR_1795 STRCR_1796
STRCR_1795 STRCR_1793
STRCR_1795 STRCR_1794
STRCR_1796 STRCR_1795
STRCR_1796 STRCR_1797
STRCR_1797 STRCR_1803
STRCR_1797 STRCR_1796
STRCR_1797 STRCR_1794
STRCR_1799 STRCR_0925
STRCR_1799 STRCR_1613
STRCR_1800 STRCR_2001
STRCR_1801 STRCR_1792
STRCR_1802 STRCR_1792
STRCR_1803 STRCR_2001
STRCR_1803 STRCR_1797
STRCR_1814 STRCR_1457
STRCR_1816 STRCR_0541
STRCR_1817 STRCR_0541
STRCR_1818 STRCR_0541
STRCR_1819 STRCR_0541
STRCR_1820 STRCR_0541
STRCR_1821 STRCR_0541
STRCR_1822 STRCR_0541
STRCR_1823 STRCR_0541
STRCR_1829 STRCR_1830
STRCR_1829 STRCR_0609
STRCR_1829 STRCR_0608
STRCR_1830 STRCR_0610
STRCR_1830 STRCR_1829
STRCR_1830 STRCR_0623
STRCR_1844 STRCR_1449
STRCR_1844 STRCR_2341
STRCR_1845 STRCR_1917
STRCR_1845 STRCR_1915
STRCR_1870 STRCR_0200
STRCR_1870 STRCR_1136
STRCR_1872 STRCR_0794
STRCR_1872 STRCR_1310
STRCR_1872 STRCR_1248
STRCR_1872 STRCR_0914
STRCR_1873 STRCR_0603
STRCR_1873 STRCR_0200
STRCR_1873 STRCR_0188
STRCR_1886 STRCR_0456
STRCR_1886 STRCR_1949
STRCR_1893 STRCR_0184
STRCR_1894 STRCR_1964
STRCR_1894 STRCR_0387
STRCR_1894 STRCR_1915
STRCR_1894 STRCR_1917
STRCR_1895 STRCR_1690
STRCR_1895 STRCR_1906
STRCR_1899 STRCR_1906
STRCR_1899 STRCR_1900
STRCR_1900 STRCR_1899
STRCR_1900 STRCR_1206
STRCR_1900 STRCR_0943
STRCR_1906 STRCR_1899
STRCR_1906 STRCR_1895
STRCR_1909 STRCR_1911
