SSNG_01407 SSNG_01508
SSNG_01407 SSNG_03418
SSNG_01407 SSNG_02515
SSNG_01407 SSNG_05318
SSNG_01407 SSNG_03035
SSNG_01407 SSNG_03817
SSNG_01407 SSNG_02327
SSNG_01418 SSNG_03378
SSNG_01418 SSNG_01503
SSNG_01418 SSNG_04285
SSNG_01425 SSNG_00898
SSNG_01425 SSNG_00326
SSNG_01425 SSNG_05131
SSNG_01425 SSNG_05818
SSNG_01429 SSNG_05197
SSNG_01429 SSNG_05186
SSNG_01430 SSNG_01432
SSNG_01430 SSNG_03126
SSNG_01430 SSNG_01431
SSNG_01431 SSNG_05422
SSNG_01431 SSNG_05466
SSNG_01431 SSNG_01430
SSNG_01432 SSNG_01430
SSNG_01440 SSNG_04042
SSNG_01440 SSNG_05516
SSNG_01440 SSNG_02167
SSNG_01440 SSNG_04943
SSNG_01440 SSNG_02814
SSNG_01440 SSNG_06073
SSNG_01440 SSNG_06181
SSNG_01440 SSNG_01843
SSNG_01440 SSNG_05894
SSNG_01440 SSNG_00779
SSNG_01457 SSNG_01299
SSNG_01457 SSNG_06978
SSNG_01458 SSNG_01856
SSNG_01458 SSNG_01857
SSNG_01458 SSNG_02263
SSNG_01458 SSNG_02262
SSNG_01458 SSNG_02264
SSNG_01458 SSNG_01742
SSNG_01499 SSNG_02757
SSNG_01499 SSNG_05645
SSNG_01499 SSNG_01323
SSNG_01499 SSNG_03797
SSNG_01499 SSNG_05648
SSNG_01499 SSNG_01936
SSNG_01502 SSNG_01503
SSNG_01502 SSNG_04285
SSNG_01502 SSNG_03378
SSNG_01503 SSNG_05192
SSNG_01503 SSNG_04285
SSNG_01503 SSNG_05114
SSNG_01503 SSNG_01502
SSNG_01503 SSNG_01229
SSNG_01503 SSNG_04590
SSNG_01503 SSNG_05671
SSNG_01503 SSNG_03624
SSNG_01503 SSNG_03377
SSNG_01503 SSNG_03378
SSNG_01503 SSNG_05921
SSNG_01503 SSNG_01418
SSNG_01503 SSNG_01993
SSNG_01508 SSNG_02004
SSNG_01508 SSNG_01407
SSNG_01508 SSNG_02010
SSNG_01521 SSNG_04588
SSNG_01521 SSNG_04591
SSNG_01528 SSNG_06667
SSNG_01528 SSNG_05848
SSNG_01528 SSNG_01972
SSNG_01528 SSNG_06668
SSNG_01528 SSNG_02987
SSNG_01528 SSNG_05353
SSNG_01528 SSNG_05898
SSNG_01528 SSNG_06073
SSNG_01528 SSNG_02311
SSNG_01528 SSNG_07342
SSNG_01542 SSNG_03972
SSNG_01542 SSNG_06222
SSNG_01545 SSNG_06978
SSNG_01545 SSNG_01299
SSNG_01578 SSNG_05520
SSNG_01588 SSNG_02987
SSNG_01588 SSNG_05353
SSNG_01588 SSNG_05898
SSNG_01588 SSNG_06073
SSNG_01588 SSNG_06667
SSNG_01588 SSNG_05848
SSNG_01588 SSNG_01972
SSNG_01588 SSNG_06668
SSNG_01588 SSNG_02311
SSNG_01588 SSNG_07342
SSNG_01596 SSNG_05173
SSNG_01597 SSNG_04768
SSNG_01597 SSNG_04769
SSNG_01597 SSNG_07325
SSNG_01597 SSNG_03665
SSNG_01597 SSNG_01328
SSNG_01597 SSNG_02357
SSNG_01598 SSNG_04293
SSNG_01598 SSNG_07498
SSNG_01598 SSNG_04508
SSNG_01616 SSNG_02357
SSNG_01616 SSNG_02337
SSNG_01655 SSNG_04345
SSNG_01655 SSNG_03922
SSNG_01655 SSNG_05019
SSNG_01655 SSNG_04910
SSNG_01690 SSNG_04611
SSNG_01690 SSNG_01953
SSNG_01696 SSNG_01699
SSNG_01696 SSNG_04926
SSNG_01697 SSNG_04713
SSNG_01697 SSNG_05523
SSNG_01699 SSNG_01696
SSNG_01700 SSNG_05609
SSNG_01700 SSNG_05611
SSNG_01711 SSNG_00575
SSNG_01711 SSNG_02707
SSNG_01711 SSNG_04330
SSNG_01711 SSNG_03294
SSNG_01711 SSNG_04808
SSNG_01720 SSNG_04395
SSNG_01720 SSNG_05708
SSNG_01720 SSNG_04752
SSNG_01720 SSNG_00405
SSNG_01720 SSNG_02929
SSNG_01720 SSNG_00359
SSNG_01720 SSNG_00991
SSNG_01720 SSNG_03260
SSNG_01720 SSNG_05699
SSNG_01730 SSNG_04663
SSNG_01740 SSNG_01984
SSNG_01740 SSNG_04711
SSNG_01740 SSNG_05983
SSNG_01742 SSNG_00629
SSNG_01742 SSNG_01458
SSNG_01742 SSNG_02091
SSNG_01742 SSNG_02060
SSNG_01742 SSNG_01857
