TGME49_013000 TGME49_073950
TGME49_013410 TGME49_114790
TGME49_013410 TGME49_100280
TGME49_013410 TGME49_109740
TGME49_013410 TGME49_067350
TGME49_013410 TGME49_075750
TGME49_013410 TGME49_070830
TGME49_013780 TGME49_002300
TGME49_013780 TGME49_113120
TGME49_013780 TGME49_073350
TGME49_013780 TGME49_064460
TGME49_013780 TGME49_038190
TGME49_013780 TGME49_095350
TGME49_013780 TGME49_056760
TGME49_013780 TGME49_017560
TGME49_013780 TGME49_067390
TGME49_013780 TGME49_046630
TGME49_013780 TGME49_061540
TGME49_013780 TGME49_033720
TGME49_013780 TGME49_044880
TGME49_013780 TGME49_040590
TGME49_013780 TGME49_031380
TGME49_013780 TGME49_023690
TGME49_013780 TGME49_040930
TGME49_013780 TGME49_054140
TGME49_013780 TGME49_014780
TGME49_013780 TGME49_017580
TGME49_013780 TGME49_115920
TGME49_013780 TGME49_072740
TGME49_013780 TGME49_058210
TGME49_013780 TGME49_025260
TGME49_013780 TGME49_112250
TGME49_013780 TGME49_071300
TGME49_013780 TGME49_002210
TGME49_013780 TGME49_070780
TGME49_013780 TGME49_097530
TGME49_013780 TGME49_053780
TGME49_013780 TGME49_106290
TGME49_013780 TGME49_002690
TGME49_014780 TGME49_067390
TGME49_014780 TGME49_002690
TGME49_014780 TGME49_113120
TGME49_014780 TGME49_002300
TGME49_014780 TGME49_064460
TGME49_014780 TGME49_013780
TGME49_014780 TGME49_017560
TGME49_014780 TGME49_056760
TGME49_014780 TGME49_095350
TGME49_014780 TGME49_040590
TGME49_014780 TGME49_046630
TGME49_014780 TGME49_031380
TGME49_014780 TGME49_017580
TGME49_014780 TGME49_099210
TGME49_014780 TGME49_115920
TGME49_014780 TGME49_002210
TGME49_014780 TGME49_025260
TGME49_014780 TGME49_071300
TGME49_014780 TGME49_053780
TGME49_014780 TGME49_112250
TGME49_014780 TGME49_106290
TGME49_014780 TGME49_038190
TGME49_014780 TGME49_033720
TGME49_014780 TGME49_072740
TGME49_014780 TGME49_044880
TGME49_014780 TGME49_023690
TGME49_014780 TGME49_061540
TGME49_014780 TGME49_040930
TGME49_014780 TGME49_054140
TGME49_014780 TGME49_058210
TGME49_014780 TGME49_070780
TGME49_014780 TGME49_097530
TGME49_014850 TGME49_008820
TGME49_014920 TGME49_058110
TGME49_014920 TGME49_110100
TGME49_015060 TGME49_111400
TGME49_015060 TGME49_001700
TGME49_015170 TGME49_115670
TGME49_015170 TGME49_046510
TGME49_015170 TGME49_000400
TGME49_015170 TGME49_024220
TGME49_015260 TGME49_091640
TGME49_015260 TGME49_031350
TGME49_015280 TGME49_015590
TGME49_015280 TGME49_067330
TGME49_015280 TGME49_109750
TGME49_015280 TGME49_064030
TGME49_015280 TGME49_048600
TGME49_015280 TGME49_090600
TGME49_015420 TGME49_099180
TGME49_015420 TGME49_078160
TGME49_015420 TGME49_042080
TGME49_015480 TGME49_050880
TGME49_015480 TGME49_005720
TGME49_015590 TGME49_067330
TGME49_015590 TGME49_048600
TGME49_015590 TGME49_090600
TGME49_015590 TGME49_109750
TGME49_015590 TGME49_015280
TGME49_015590 TGME49_064030
TGME49_016170 TGME49_080560
TGME49_016170 TGME49_109730
TGME49_016260 TGME49_113230
TGME49_016260 TGME49_074190
TGME49_016260 TGME49_035540
TGME49_016260 TGME49_011230
TGME49_016260 TGME49_113060
TGME49_016260 TGME49_035970
TGME49_016480 TGME49_048340
TGME49_016540 TGME49_077970
TGME49_016540 TGME49_062930
TGME49_016540 TGME49_044520
TGME49_016640 TGME49_057750
TGME49_016640 TGME49_020840
TGME49_016640 TGME49_025050
TGME49_016640 TGME49_097850
TGME49_016640 TGME49_059180
TGME49_016860 TGME49_091330
TGME49_017160 TGME49_094290
TGME49_017460 TGME49_071940
TGME49_017460 TGME49_033840
TGME49_017560 TGME49_002300
TGME49_017560 TGME49_013780
TGME49_017560 TGME49_095350
TGME49_017560 TGME49_056760
TGME49_017560 TGME49_040930
TGME49_017560 TGME49_014780
TGME49_017560 TGME49_099210
TGME49_017560 TGME49_002210
TGME49_017560 TGME49_053780
TGME49_017580 TGME49_002300
TGME49_017580 TGME49_013780
TGME49_017580 TGME49_095350
TGME49_017580 TGME49_056760
TGME49_017580 TGME49_040930
TGME49_017580 TGME49_014780
TGME49_017580 TGME49_099210
TGME49_017580 TGME49_002210
TGME49_017580 TGME49_053780
TGME49_017740 TGME49_031890
TGME49_017740 TGME49_121570
TGME49_017740 TGME49_071890
TGME49_017740 TGME49_093590
TGME49_017910 TGME49_119860
TGME49_017910 TGME49_068600
TGME49_017910 TGME49_058030
TGME49_017910 TGME49_002210
TGME49_017910 TGME49_061920
TGME49_017910 TGME49_033820
TGME49_017910 TGME49_002300
TGME49_017910 TGME49_060680
TGME49_017910 TGME49_097840
TGME49_017910 TGME49_080690
TGME49_017910 TGME49_054640
TGME49_017910 TGME49_056760
TGME49_017910 TGME49_095350
TGME49_018200 TGME49_085980
TGME49_018200 TGME49_025880
TGME49_018200 TGME49_118580
TGME49_018520 TGME49_091890
TGME49_018780 TGME49_020840
TGME49_019430 TGME49_100260
TGME49_019550 TGME49_109750
TGME49_019550 TGME49_031900
TGME49_019550 TGME49_006470
TGME49_019550 TGME49_044200
TGME49_019550 TGME49_090600
TGME49_019550 TGME49_004460
TGME49_019550 TGME49_101120
TGME49_019550 TGME49_105980
TGME49_019550 TGME49_073740
TGME49_019750 TGME49_105910
TGME49_019750 TGME49_095720
TGME49_019750 TGME49_082230
TGME49_019750 TGME49_029420
TGME49_019800 TGME49_048670
TGME49_019800 TGME49_083830
TGME49_020100 TGME49_039310
TGME49_020100 TGME49_082190
TGME49_020100 TGME49_118310
TGME49_020100 TGME49_105030
TGME49_020100 TGME49_085980
TGME49_020100 TGME49_084580
TGME49_020100 TGME49_118580
TGME49_020460 TGME49_115350
TGME49_020500 TGME49_073090
TGME49_020500 TGME49_121640
TGME49_020840 TGME49_018780
TGME49_020840 TGME49_016640
