OCA5_c11410 OCA5_c11420
OCA5_c11410 OCAR_5984
OCA5_c11420 OCA5_c11410
OCA5_c11420 OCAR_6944
OCA5_c11510 OCA5_c22210
OCA5_c11620 OCAR_5862
OCA5_c11630 OCA5_c30860
OCA5_c11630 OCA5_c13710
OCA5_c11630 OCA5_c12950
OCA5_c11630 OCA5_c11890
OCA5_c11630 OCA5_c29630
OCA5_c11730 OCA5_c21780
OCA5_c11810 OCA5_c08050
OCA5_c11810 OCAR_6292
OCA5_c11820 OCAR_6993
OCA5_c11820 OCA5_c00660
OCA5_c11820 OCA5_c22130
OCA5_c11860 OCA5_c21780
OCA5_c11890 OCA5_c11630
OCA5_c11890 OCA5_c27450
OCA5_c11890 OCA5_c12020
OCA5_c11890 OCA5_c27470
OCA5_c11890 OCA5_c19580
OCA5_c11890 OCA5_c11900
OCA5_c11900 OCA5_c11890
OCA5_c11900 OCA5_c30860
OCA5_c11900 OCA5_c13710
OCA5_c11900 OCA5_c27450
OCA5_c11900 OCA5_c12950
OCA5_c11900 OCA5_c07660
OCA5_c11900 OCAR_7378
OCA5_c11900 OCA5_c29630
OCA5_c11920 OCA5_c15720
OCA5_c11940 OCA5_c15820
OCA5_c11940 OCA5_c16800
OCA5_c12020 OCA5_c11890
OCA5_c12020 OCA5_c29630
OCA5_c12020 OCAR_7378
OCA5_c12020 OCA5_c07660
OCA5_c12020 OCA5_c27450
OCA5_c12020 OCA5_c30860
OCA5_c12020 OCA5_c13710
OCA5_c12020 OCA5_c12950
OCA5_c12130 OCA5_c00550
OCA5_c12130 OCA5_c15570
OCA5_c12130 OCA5_c04300
OCA5_c12130 OCA5_c20450
OCA5_c12130 OCA5_c20440
OCA5_c12230 OCA5_c28640
OCA5_c12230 OCA5_c14970
OCA5_c12430 OCA5_c06650
OCA5_c12430 OCA5_c07330
OCA5_c12950 OCA5_c11630
OCA5_c12950 OCA5_c19580
OCA5_c12950 OCA5_c27450
OCA5_c12950 OCA5_c12020
OCA5_c12950 OCA5_c27470
OCA5_c12950 OCA5_c11900
OCA5_c13090 OCA5_c23090
OCA5_c13090 OCA5_c00630
OCA5_c13090 OCA5_c16950
OCA5_c13090 OCA5_c16800
OCA5_c13090 OCA5_c20660
OCA5_c13190 OCA5_c16950
OCA5_c13190 OCA5_c20660
OCA5_c13190 OCA5_c00630
OCA5_c13190 OCA5_c16800
OCA5_c13190 OCA5_c23090
OCA5_c13200 OCA5_c16800
OCA5_c13200 OCA5_c16950
OCA5_c13200 OCA5_c20660
OCA5_c13200 OCA5_c00630
OCA5_c13200 OCA5_c23090
OCA5_c13270 OCA5_c13290
OCA5_c13270 OCA5_c29670
OCA5_c13270 OCA5_c04030
OCA5_c13270 OCA5_c30850
OCA5_c13270 OCA5_c01950
OCA5_c13270 OCA5_c10070
OCA5_c13290 OCA5_c30860
OCA5_c13290 OCA5_c13270
OCA5_c13420 OCA5_c13430
OCA5_c13430 OCA5_c32430
OCA5_c13430 OCA5_c13420
OCA5_c13710 OCA5_c11630
OCA5_c13710 OCA5_c27450
OCA5_c13710 OCA5_c12020
OCA5_c13710 OCA5_c27470
OCA5_c13710 OCA5_c19580
OCA5_c13710 OCA5_c11900
OCA5_c13740 OCA5_c19960
OCA5_c13740 OCA5_c04560
OCA5_c13740 OCA5_c15030
OCA5_c13740 OCA5_c28810
OCA5_c13740 OCA5_c22680
OCA5_c13740 OCA5_c33120
OCA5_c13740 OCA5_c02470
OCA5_c13780 OCAR_7443
OCA5_c13780 OCA5_c21580
OCA5_c13940 OCA5_c10320
OCA5_c13950 OCA5_c10320
OCA5_c14020 OCA5_c21780
OCA5_c14070 OCA5_c28640
OCA5_c14210 OCA5_c14230
OCA5_c14210 OCA5_c14220
OCA5_c14220 OCA5_c14210
OCA5_c14230 OCA5_c14210
OCA5_c14230 OCA5_c00540
OCA5_c14970 OCA5_c22750
OCA5_c14970 OCA5_c12230
OCA5_c14990 OCA5_c08350
OCA5_c14990 OCA5_c08340
OCA5_c14990 OCA5_c08330
OCA5_c15020 OCA5_c22490
OCA5_c15020 OCA5_c16580
OCA5_c15030 OCAR_6292
OCA5_c15030 OCA5_c13740
OCA5_c15030 OCA5_c10070
OCA5_c15100 OCA5_c15110
OCA5_c15100 OCAR_6068
OCA5_c15110 OCA5_c15100
OCA5_c15310 OCAR_7310
OCA5_c15310 OCAR_5071
OCA5_c15310 OCA5_c29660
OCA5_c15310 OCA5_c28920
OCA5_c15360 OCAR_4075
OCA5_c15370 OCAR_4604
OCA5_c15460 OCA5_c15470
OCA5_c15470 OCA5_c15460
OCA5_c15550 OCA5_c28640
OCA5_c15570 OCA5_c16740
OCA5_c15570 OCA5_c12130
OCA5_c15720 OCA5_c11920
OCA5_c15720 OCA5_c06330
OCA5_c15820 OCAR_4337
OCA5_c15820 OCA5_c17690
OCA5_c15820 OCA5_c11940
OCA5_c15820 OCA5_c06060
OCA5_c15820 OCA5_c15850
OCA5_c15850 OCA5_c15820
OCA5_c15850 OCA5_c16800
OCA5_c16580 OCAR_7085
OCA5_c16580 OCA5_c29080
OCA5_c16580 OCA5_c15020
OCA5_c16640 OCA5_c08680
OCA5_c16740 OCA5_c20440
OCA5_c16740 OCA5_c00550
OCA5_c16740 OCA5_c04300
OCA5_c16740 OCA5_c15570
OCA5_c16740 OCA5_c20450
OCA5_c16800 OCA5_c16950
OCA5_c16800 OCA5_c11940
OCA5_c16800 OCA5_c15850
OCA5_c16800 OCA5_c13190
OCA5_c16800 OCA5_c13090
OCA5_c16800 OCA5_c13200
OCA5_c16840 OCA5_c28640
OCA5_c16860 OCA5_c09480
OCA5_c16950 OCA5_c17340
OCA5_c16950 OCA5_c16800
OCA5_c16950 OCA5_c20660
OCA5_c16950 OCA5_c13190
OCA5_c16950 OCA5_c00630
OCA5_c16950 OCA5_c13090
OCA5_c16950 OCA5_c13200
OCA5_c16950 OCA5_c19020
OCA5_c16950 OCA5_c00460
OCA5_c16950 OCAR_5838
OCA5_c16970 OCA5_c25370
OCA5_c16970 OCA5_c02150
OCA5_c16970 OCA5_c25360
OCA5_c16970 OCAR_5452
OCA5_c16970 OCA5_c08680
OCA5_c16980 OCA5_c25370
OCA5_c16980 OCA5_c28610
OCA5_c16980 OCAR_5452
OCA5_c16980 OCA5_c25360
OCA5_c16980 OCA5_c28600
OCA5_c17040 OCA5_c06110
OCA5_c17230 OCA5_c33080
OCA5_c17230 OCA5_c10940
OCA5_c17230 OCA5_c33070
OCA5_c17290 OCA5_c00560
OCA5_c17290 OCA5_c00570
OCA5_c17290 OCA5_c00580
OCA5_c17300 OCA5_c00580
OCA5_c17300 OCAR_6993
OCA5_c17320 OCA5_c08040
OCA5_c17320 OCA5_c25390
OCA5_c17340 OCA5_c16950
OCA5_c17380 OCA5_c30290
OCA5_c17410 OCA5_c18030
OCA5_c17470 OCA5_c33590
OCA5_c17470 OCA5_c17490
OCA5_c17470 OCA5_c17520
OCA5_c17470 OCA5_c10070
OCA5_c17480 OCA5_c33590
