ENSGGOP00000000078 ENSGGOP00000025053
ENSGGOP00000000078 ENSGGOP00000001433
ENSGGOP00000000078 ENSGGOP00000020680
ENSGGOP00000000078 ENSGGOP00000005905
ENSGGOP00000000078 ENSGGOP00000010906
ENSGGOP00000000080 ENSGGOP00000011629
ENSGGOP00000000080 ENSGGOP00000001117
ENSGGOP00000000080 ENSGGOP00000015605
ENSGGOP00000000080 ENSGGOP00000005783
ENSGGOP00000000080 ENSGGOP00000016148
ENSGGOP00000000080 ENSGGOP00000013697
ENSGGOP00000000083 ENSGGOP00000010693
ENSGGOP00000000083 ENSGGOP00000012300
ENSGGOP00000000083 ENSGGOP00000008170
ENSGGOP00000000083 ENSGGOP00000003154
ENSGGOP00000000083 ENSGGOP00000015543
ENSGGOP00000000083 ENSGGOP00000025594
ENSGGOP00000000083 ENSGGOP00000006618
ENSGGOP00000000083 ENSGGOP00000008073
ENSGGOP00000000083 ENSGGOP00000005375
ENSGGOP00000000083 ENSGGOP00000007498
ENSGGOP00000000083 ENSGGOP00000011680
ENSGGOP00000000083 ENSGGOP00000013634
ENSGGOP00000000083 ENSGGOP00000022101
ENSGGOP00000000083 ENSGGOP00000025748
ENSGGOP00000000083 ENSGGOP00000013225
ENSGGOP00000000083 ENSGGOP00000000333
ENSGGOP00000000083 ENSGGOP00000002159
ENSGGOP00000000083 ENSGGOP00000010015
ENSGGOP00000000083 ENSGGOP00000000145
ENSGGOP00000000083 ENSGGOP00000006514
ENSGGOP00000000083 ENSGGOP00000014106
ENSGGOP00000000084 ENSGGOP00000008752
ENSGGOP00000000084 ENSGGOP00000001988
ENSGGOP00000000084 ENSGGOP00000011327
ENSGGOP00000000088 ENSGGOP00000001951
ENSGGOP00000000088 ENSGGOP00000005210
ENSGGOP00000000088 ENSGGOP00000012445
ENSGGOP00000000088 ENSGGOP00000026141
ENSGGOP00000000107 ENSGGOP00000006354
ENSGGOP00000000107 ENSGGOP00000002881
ENSGGOP00000000107 ENSGGOP00000007428
ENSGGOP00000000107 ENSGGOP00000015923
ENSGGOP00000000107 ENSGGOP00000014100
ENSGGOP00000000107 ENSGGOP00000022280
ENSGGOP00000000107 ENSGGOP00000004948
ENSGGOP00000000107 ENSGGOP00000014650
ENSGGOP00000000107 ENSGGOP00000028567
ENSGGOP00000000107 ENSGGOP00000011857
ENSGGOP00000000107 ENSGGOP00000006403
ENSGGOP00000000107 ENSGGOP00000000373
ENSGGOP00000000107 ENSGGOP00000004359
ENSGGOP00000000107 ENSGGOP00000018057
ENSGGOP00000000107 ENSGGOP00000011228
ENSGGOP00000000107 ENSGGOP00000007287
ENSGGOP00000000107 ENSGGOP00000016798
ENSGGOP00000000107 ENSGGOP00000003466
ENSGGOP00000000107 ENSGGOP00000014502
ENSGGOP00000000107 ENSGGOP00000018978
ENSGGOP00000000107 ENSGGOP00000014226
ENSGGOP00000000107 ENSGGOP00000000075
ENSGGOP00000000107 ENSGGOP00000000537
ENSGGOP00000000107 ENSGGOP00000010156
ENSGGOP00000000107 ENSGGOP00000019270
ENSGGOP00000000107 ENSGGOP00000014314
ENSGGOP00000000107 ENSGGOP00000001345
ENSGGOP00000000107 ENSGGOP00000008320
ENSGGOP00000000107 ENSGGOP00000019528
ENSGGOP00000000107 ENSGGOP00000000824
ENSGGOP00000000107 ENSGGOP00000010034
ENSGGOP00000000107 ENSGGOP00000022719
ENSGGOP00000000107 ENSGGOP00000006353
ENSGGOP00000000107 ENSGGOP00000002222
ENSGGOP00000000107 ENSGGOP00000000941
ENSGGOP00000000107 ENSGGOP00000004361
ENSGGOP00000000107 ENSGGOP00000011945
ENSGGOP00000000107 ENSGGOP00000013244
ENSGGOP00000000107 ENSGGOP00000014288
ENSGGOP00000000107 ENSGGOP00000006936
ENSGGOP00000000107 ENSGGOP00000002972
ENSGGOP00000000107 ENSGGOP00000018959
ENSGGOP00000000107 ENSGGOP00000028083
ENSGGOP00000000107 ENSGGOP00000001062
ENSGGOP00000000107 ENSGGOP00000003666
ENSGGOP00000000108 ENSGGOP00000010377
ENSGGOP00000000108 ENSGGOP00000022632
ENSGGOP00000000108 ENSGGOP00000015407
ENSGGOP00000000108 ENSGGOP00000015095
ENSGGOP00000000108 ENSGGOP00000007654
ENSGGOP00000000108 ENSGGOP00000001738
ENSGGOP00000000108 ENSGGOP00000027522
ENSGGOP00000000108 ENSGGOP00000003602
ENSGGOP00000000108 ENSGGOP00000004961
ENSGGOP00000000108 ENSGGOP00000010426
ENSGGOP00000000108 ENSGGOP00000028068
ENSGGOP00000000108 ENSGGOP00000024346
ENSGGOP00000000108 ENSGGOP00000008245
ENSGGOP00000000108 ENSGGOP00000006566
ENSGGOP00000000108 ENSGGOP00000024116
ENSGGOP00000000108 ENSGGOP00000016427
ENSGGOP00000000108 ENSGGOP00000024232
ENSGGOP00000000108 ENSGGOP00000002282
ENSGGOP00000000108 ENSGGOP00000011298
ENSGGOP00000000108 ENSGGOP00000002736
ENSGGOP00000000108 ENSGGOP00000000209
ENSGGOP00000000108 ENSGGOP00000011374
ENSGGOP00000000108 ENSGGOP00000006851
ENSGGOP00000000108 ENSGGOP00000004611
ENSGGOP00000000108 ENSGGOP00000012305
ENSGGOP00000000108 ENSGGOP00000004136
ENSGGOP00000000108 ENSGGOP00000006989
