ENSLACP00000000182 ENSLACP00000010134
ENSLACP00000000182 ENSLACP00000010981
ENSLACP00000000182 ENSLACP00000008245
ENSLACP00000000182 ENSLACP00000022974
ENSLACP00000000182 ENSLACP00000009351
ENSLACP00000000182 ENSLACP00000017114
ENSLACP00000000182 ENSLACP00000021357
ENSLACP00000000182 ENSLACP00000021422
ENSLACP00000000182 ENSLACP00000011952
ENSLACP00000000182 ENSLACP00000014617
ENSLACP00000000182 ENSLACP00000004395
ENSLACP00000000182 ENSLACP00000003060
ENSLACP00000000182 ENSLACP00000008690
ENSLACP00000000182 ENSLACP00000016437
ENSLACP00000000182 ENSLACP00000009805
ENSLACP00000000182 ENSLACP00000001339
ENSLACP00000000182 ENSLACP00000020900
ENSLACP00000000182 ENSLACP00000012775
ENSLACP00000000182 ENSLACP00000021034
ENSLACP00000000191 ENSLACP00000011356
ENSLACP00000000191 ENSLACP00000017332
ENSLACP00000000191 ENSLACP00000022625
ENSLACP00000000191 ENSLACP00000001216
ENSLACP00000000191 ENSLACP00000011584
ENSLACP00000000191 ENSLACP00000021453
ENSLACP00000000191 ENSLACP00000009926
ENSLACP00000000191 ENSLACP00000017949
ENSLACP00000000191 ENSLACP00000015207
ENSLACP00000000191 ENSLACP00000005002
ENSLACP00000000191 ENSLACP00000017172
ENSLACP00000000194 ENSLACP00000011690
ENSLACP00000000194 ENSLACP00000005950
ENSLACP00000000194 ENSLACP00000015035
ENSLACP00000000195 ENSLACP00000009700
ENSLACP00000000198 ENSLACP00000008815
ENSLACP00000000198 ENSLACP00000001963
ENSLACP00000000222 ENSLACP00000017320
ENSLACP00000000225 ENSLACP00000008573
ENSLACP00000000225 ENSLACP00000016466
ENSLACP00000000225 ENSLACP00000011509
ENSLACP00000000225 ENSLACP00000015707
ENSLACP00000000225 ENSLACP00000003632
ENSLACP00000000225 ENSLACP00000014135
ENSLACP00000000225 ENSLACP00000020917
ENSLACP00000000225 ENSLACP00000006455
ENSLACP00000000225 ENSLACP00000016495
ENSLACP00000000227 ENSLACP00000003085
ENSLACP00000000227 ENSLACP00000018385
ENSLACP00000000227 ENSLACP00000003713
ENSLACP00000000227 ENSLACP00000003959
ENSLACP00000000227 ENSLACP00000021970
ENSLACP00000000227 ENSLACP00000013947
