cg2579 NCgl2267
cg2584 cg2774
cg2584 cg1215
cg2584 cg2792
cg2586 cg2588
cg2588 cg2586
cg2591 NCgl2277
cg2597 cg3431
cg2597 cg2753
cg2603 cg1810
cg2603 cg2218
cg2603 cg0861
cg2603 cg1616
cg2603 cg2086
cg2603 cg1861
cg2603 cg2781
cg2603 cg1606
cg2603 cg2786
cg2606 NCgl2290
cg2608 cg1133
cg2612 NCgl2296
cg2613 cg0949
cg2613 cg1145
cg2613 cg2559
cg2613 cg0294
cg2613 cg1787
cg2626 cg1193
cg2629 cg1193
cg2629 cg2630
cg2629 cg2631
cg2630 cg2629
cg2630 cg2244
cg2631 cg2629
cg2631 cg2244
cg2635 NCgl2318
cg2637 cg2640
cg2638 cg2640
cg2640 cg2637
cg2640 cg2638
cg2658 cg1774
cg2685 NCgl2358
cg2687 cg2536
cg2734 cg2774
cg2743 cg0957
cg2753 cg3431
cg2753 cg2597
cg2762 cg2371
cg2774 cg2584
cg2774 cg2734
cg2779 cg0948
cg2779 cg2834
cg2779 cg1133
cg2780 cg2403
cg2781 cg2218
cg2781 cg0648
cg2781 cg1810
cg2781 cg2603
cg2781 cg1616
cg2781 cg0382
cg2786 cg0648
cg2786 cg1810
cg2786 cg2218
cg2786 cg2603
cg2786 cg1616
cg2786 cg0382
cg2789 NCgl2445
cg2792 cg2584
cg2794 NCgl2448
cg2796 cg0762
cg2796 cg0798
cg2800 cg0442
cg2800 cg1479
cg2800 cg1004
cg2800 cg2289
cg2800 cg0973
cg2800 cg1700
cg2800 cg2399
cg2800 cg2091
cg2829 cg0423
cg2829 cg0476
cg2833 cg3119
cg2833 cg2834
cg2833 cg3118
cg2834 cg2779
cg2834 cg2833
cg2836 cg0447
cg2836 cg0446
cg2837 cg0447
cg2837 cg0446
cg2840 cg3047
cg2843 cg1651
cg2843 cg1379
cg2843 cg1411
cg2843 cg0736
cg2851 cg1262
cg2851 cg0899
cg2851 cg2982
cg2856 cg2862
cg2856 cg0816
cg2856 cg0820
cg2856 cg2863
cg2856 cg2865
cg2862 cg3054
cg2862 cg2856
cg2862 cg0983
cg2863 cg2856
cg2863 cg0983
cg2863 cg3054
cg2865 cg2856
cg2865 cg3054
cg2865 cg0983
cg2867 cg2194
cg2874 cg0816
cg2874 cg2876
cg2874 cg0820
cg2876 cg0984
cg2876 cg0648
cg2876 cg0382
cg2876 cg3063
cg2876 cg2874
cg2878 cg0983
cg2878 NCgl2495
cg2878 cg3054
cg2885 cg2886
cg2886 cg0095
cg2886 cg2885
cg2891 cg0441
cg2891 cg3048
cg2891 cg3218
cg2891 cg2466
cg2891 cg0949
cg2891 cg2291
cg2891 cg0790
cg2891 cg2421
cg2894 NCgl2523
cg2900 NCgl2528
cg2900 cg1334
cg2907 cg2909
cg2909 cg2907
cg2910 NCgl2538
cg2927 cg2399
cg2927 cg2091
cg2927 cg0197
cg2928 cg2929
cg2929 cg0675
cg2929 cg2928
cg2929 cg2933
cg2931 NCgl2557
cg2933 cg2929
cg2953 NCgl2578
cg2954 cg1787
cg2958 NCgl2582
cg2963 NCgl2585
cg2964 cg0984
cg2964 cg0899
cg2964 cg1739
cg2964 cg0703
cg2975 cg0172
cg2975 cg1239
cg2975 cg1132
cg2976 NCgl2596
cg2979 cg1262
cg2979 cg2981
cg2979 cg2982
cg2981 cg2979
cg2982 cg2851
cg2982 cg2979
cg2985 cg1543
cg2985 cg3102
cg2985 cg3137
cg3004 cg0566
cg3047 cg3048
cg3047 cg0592
cg3047 cg2840
cg3048 cg3047
cg3048 cg2891
cg3054 cg2863
cg3054 cg2878
cg3054 cg2865
cg3054 cg2862
cg3054 cg0811
cg3059 NCgl2666
cg3063 cg0984
cg3063 cg2876
cg3068 cg1791
cg3068 cg2116
cg3068 cg1157
cg3068 cg1789
cg3068 cg1069
cg3068 cg1409
cg3071 cg1713
cg3071 cg1812
cg3096 cg3107
cg3096 cg0273
cg3102 cg2985
cg3107 cg2343
cg3107 cg1907
cg3107 cg3096
cg3107 cg0635
cg3107 cg0199
cg3116 cg3119
cg3116 cg3118
cg3118 cg2833
cg3118 cg0755
cg3118 cg3116
cg3119 cg3116
cg3119 cg2833
cg3119 cg0755
cg3137 cg2985
cg3149 cg0681
cg3154 cg1004
cg3154 cg0442
cg3155 cg2086
cg3158 cg3424
cg3169 NCgl2765
cg3198 cg1853
cg3206 cg1111
cg3206 cg1790
cg3215 cg1853
cg3218 cg1111
cg3218 cg0763
cg3218 cg3219
cg3218 cg1027
cg3218 cg2891
cg3219 cg3218
cg3219 cg2291
cg3223 cg1376
cg3223 cg1156
cg3224 NCgl2814
cg3237 cg0310
cg3261 NCgl2846
cg3323 cg2298
cg3323 cg2090
cg3323 cg0910
cg3323 cg0911
cg3349 NCgl2918
cg3349 cg3351
cg3351 cg3349
cg3359 cg3361
cg3360 cg3361
cg3361 cg3359
cg3361 cg3362
cg3361 cg3360
cg3362 cg3361
cg3362 cg3364
cg3362 cg2293
cg3362 cg3363
cg3363 cg3362
cg3363 cg3364
cg3363 cg2293
cg3364 cg3363
cg3364 cg3362
cg3364 cg2293
cg3386 NCgl2952
cg3391 NCgl2957
cg3400 cg2236
cg3400 cg1654
cg3409 cg2236
cg3409 cg1654
cg3424 cg3158
cg3431 cg2753
cg3431 cg2597
