BATR1942_01140 BATR1942_01135
BATR1942_01145 BATR1942_01140
BATR1942_01145 BATR1942_12855
BATR1942_01145 BATR1942_12875
BATR1942_01145 BATR1942_01135
BATR1942_01145 BATR1942_12870
BATR1942_01150 BATR1942_07235
BATR1942_01150 BATR1942_01125
BATR1942_01150 BATR1942_13480
BATR1942_01150 BATR1942_16915
BATR1942_01150 BATR1942_20050
BATR1942_01195 BATR1942_17945
BATR1942_01195 BATR1942_08325
BATR1942_01195 BATR1942_01265
BATR1942_01195 BATR1942_16875
BATR1942_01195 BATR1942_11285
BATR1942_01195 BATR1942_19880
BATR1942_01225 BATR1942_08810
BATR1942_01225 BATR1942_01460
BATR1942_01230 BATR1942_01235
BATR1942_01230 BATR1942_02255
BATR1942_01230 BATR1942_13285
BATR1942_01230 BATR1942_13275
BATR1942_01230 BATR1942_15735
BATR1942_01230 BATR1942_13290
BATR1942_01235 BATR1942_01230
BATR1942_01265 BATR1942_17275
BATR1942_01265 BATR1942_09360
BATR1942_01265 BATR1942_10270
BATR1942_01265 BATR1942_02820
BATR1942_01265 BATR1942_16795
BATR1942_01265 BATR1942_09075
BATR1942_01265 BATR1942_02360
BATR1942_01265 BATR1942_17890
BATR1942_01265 BATR1942_04745
BATR1942_01265 BATR1942_07310
BATR1942_01265 BATR1942_06680
BATR1942_01265 BATR1942_07315
BATR1942_01265 BATR1942_17990
BATR1942_01265 BATR1942_12650
BATR1942_01265 BATR1942_19890
BATR1942_01265 BATR1942_20245
BATR1942_01265 BATR1942_12515
BATR1942_01265 BATR1942_17750
BATR1942_01265 BATR1942_05190
BATR1942_01265 BATR1942_19785
BATR1942_01265 BATR1942_02365
BATR1942_01265 BATR1942_19860
BATR1942_01265 BATR1942_06540
BATR1942_01265 BATR1942_01195
BATR1942_01265 BATR1942_20355
BATR1942_01265 BATR1942_01425
BATR1942_01265 BATR1942_02000
BATR1942_01265 BATR1942_11285
BATR1942_01265 BATR1942_10320
BATR1942_01265 BATR1942_17545
BATR1942_01265 BATR1942_01965
BATR1942_01265 BATR1942_20660
BATR1942_01265 BATR1942_09070
BATR1942_01265 BATR1942_12470
BATR1942_01330 BATR1942_14595
BATR1942_01330 BATR1942_01345
BATR1942_01330 BATR1942_20605
BATR1942_01330 BATR1942_14510
BATR1942_01330 BATR1942_19450
BATR1942_01330 BATR1942_17840
BATR1942_01330 BATR1942_01340
BATR1942_01330 BATR1942_19455
BATR1942_01330 BATR1942_14590
BATR1942_01330 BATR1942_20615
BATR1942_01330 BATR1942_01795
BATR1942_01330 BATR1942_02780
BATR1942_01330 BATR1942_01785
BATR1942_01330 BATR1942_01335
BATR1942_01330 BATR1942_14585
BATR1942_01330 BATR1942_14505
BATR1942_01330 BATR1942_19445
BATR1942_01330 BATR1942_01790
BATR1942_01330 BATR1942_02785
BATR1942_01330 BATR1942_20600
BATR1942_01330 BATR1942_02775
BATR1942_01335 BATR1942_02775
BATR1942_01335 BATR1942_14595
BATR1942_01335 BATR1942_14510
BATR1942_01335 BATR1942_19455
BATR1942_01335 BATR1942_01345
BATR1942_01335 BATR1942_17840
BATR1942_01335 BATR1942_01330
BATR1942_01335 BATR1942_01785
BATR1942_01335 BATR1942_01340
BATR1942_01335 BATR1942_14580
BATR1942_01335 BATR1942_14500
BATR1942_01335 BATR1942_20615
BATR1942_01335 BATR1942_14385
BATR1942_01335 BATR1942_05465
BATR1942_01335 BATR1942_20610
BATR1942_01340 BATR1942_14580
BATR1942_01340 BATR1942_17840
BATR1942_01340 BATR1942_01330
BATR1942_01340 BATR1942_20610
BATR1942_01340 BATR1942_01335
BATR1942_01340 BATR1942_14500
BATR1942_01340 BATR1942_01785
BATR1942_01340 BATR1942_20615
BATR1942_01340 BATR1942_14385
BATR1942_01340 BATR1942_05465
BATR1942_01340 BATR1942_01345
BATR1942_01340 BATR1942_14595
BATR1942_01340 BATR1942_19455
BATR1942_01340 BATR1942_14510
BATR1942_01340 BATR1942_02775
BATR1942_01345 BATR1942_14385
BATR1942_01345 BATR1942_20600
BATR1942_01345 BATR1942_14505
BATR1942_01345 BATR1942_02785
BATR1942_01345 BATR1942_20610
BATR1942_01345 BATR1942_14580
BATR1942_01345 BATR1942_01790
BATR1942_01345 BATR1942_14585
BATR1942_01345 BATR1942_01330
BATR1942_01345 BATR1942_19445
BATR1942_01345 BATR1942_19450
BATR1942_01345 BATR1942_14500
BATR1942_01345 BATR1942_02780
BATR1942_01345 BATR1942_05465
BATR1942_01345 BATR1942_01795
BATR1942_01345 BATR1942_20605
BATR1942_01345 BATR1942_14590
BATR1942_01345 BATR1942_01335
BATR1942_01345 BATR1942_01340
BATR1942_01360 BATR1942_15380
BATR1942_01395 BATR1942_01400
BATR1942_01400 BATR1942_01395
BATR1942_01420 BATR1942_12450
BATR1942_01420 BATR1942_12455
BATR1942_01420 BATR1942_08575
BATR1942_01420 BATR1942_05090
BATR1942_01420 BATR1942_03255
BATR1942_01420 BATR1942_18215
BATR1942_01420 BATR1942_05470
BATR1942_01425 BATR1942_16875
BATR1942_01425 BATR1942_16795
BATR1942_01425 BATR1942_17945
BATR1942_01425 BATR1942_01265
BATR1942_01425 BATR1942_08325
BATR1942_01425 BATR1942_20900
BATR1942_01425 BATR1942_12650
BATR1942_01425 BATR1942_19880
BATR1942_01425 BATR1942_12515
BATR1942_01455 BATR1942_15410
BATR1942_01455 BATR1942_19500
BATR1942_01460 BATR1942_08810
BATR1942_01460 BATR1942_01225
BATR1942_01475 BATR1942_01695
BATR1942_01475 BATR1942_01480
BATR1942_01475 BATR1942_08975
BATR1942_01480 BATR1942_08975
BATR1942_01480 BATR1942_01695
BATR1942_01480 BATR1942_10740
BATR1942_01480 BATR1942_01475
BATR1942_01490 BATR1942_02020
BATR1942_01495 BATR1942_00785
BATR1942_01495 BATR1942_13895
BATR1942_01495 BATR1942_11945
BATR1942_01495 BATR1942_07450
BATR1942_01495 BATR1942_09710
