ENSPTRP00000000229 ENSPTRP00000005902
ENSPTRP00000000229 ENSPTRP00000013737
ENSPTRP00000000229 ENSPTRP00000009773
ENSPTRP00000000229 ENSPTRP00000010751
ENSPTRP00000000229 ENSPTRP00000053992
ENSPTRP00000000229 ENSPTRP00000021947
ENSPTRP00000000229 ENSPTRP00000000718
ENSPTRP00000000229 ENSPTRP00000053635
ENSPTRP00000000229 ENSPTRP00000022311
ENSPTRP00000000229 ENSPTRP00000015508
ENSPTRP00000000229 ENSPTRP00000015468
ENSPTRP00000000229 ENSPTRP00000045351
ENSPTRP00000000229 ENSPTRP00000031615
ENSPTRP00000000229 ENSPTRP00000022713
ENSPTRP00000000229 ENSPTRP00000036060
ENSPTRP00000000229 ENSPTRP00000027267
ENSPTRP00000000229 ENSPTRP00000005308
ENSPTRP00000000229 ENSPTRP00000052529
ENSPTRP00000000229 ENSPTRP00000034445
ENSPTRP00000000229 ENSPTRP00000055062
ENSPTRP00000000229 ENSPTRP00000000093
ENSPTRP00000000229 ENSPTRP00000023137
ENSPTRP00000000229 ENSPTRP00000033383
ENSPTRP00000000229 ENSPTRP00000001956
ENSPTRP00000000229 ENSPTRP00000001190
ENSPTRP00000000229 ENSPTRP00000004746
ENSPTRP00000000229 ENSPTRP00000041362
ENSPTRP00000000229 ENSPTRP00000018854
ENSPTRP00000000229 ENSPTRP00000050982
ENSPTRP00000000229 ENSPTRP00000032807
ENSPTRP00000000229 ENSPTRP00000002179
ENSPTRP00000000229 ENSPTRP00000046608
ENSPTRP00000000229 ENSPTRP00000007237
ENSPTRP00000000229 ENSPTRP00000003988
ENSPTRP00000000229 ENSPTRP00000028886
ENSPTRP00000000229 ENSPTRP00000035264
ENSPTRP00000000229 ENSPTRP00000008150
ENSPTRP00000000229 ENSPTRP00000022194
ENSPTRP00000000229 ENSPTRP00000039442
ENSPTRP00000000229 ENSPTRP00000034913
ENSPTRP00000000229 ENSPTRP00000048893
ENSPTRP00000000229 ENSPTRP00000001558
ENSPTRP00000000229 ENSPTRP00000017404
ENSPTRP00000000229 ENSPTRP00000015928
ENSPTRP00000000229 ENSPTRP00000014539
ENSPTRP00000000229 ENSPTRP00000021943
ENSPTRP00000000229 ENSPTRP00000045189
ENSPTRP00000000229 ENSPTRP00000010345
ENSPTRP00000000256 ENSPTRP00000005997
ENSPTRP00000000256 ENSPTRP00000057637
ENSPTRP00000000256 ENSPTRP00000030890
ENSPTRP00000000256 ENSPTRP00000018486
ENSPTRP00000000256 ENSPTRP00000003097
ENSPTRP00000000256 ENSPTRP00000016620
ENSPTRP00000000256 ENSPTRP00000012702
ENSPTRP00000000256 ENSPTRP00000027099
ENSPTRP00000000256 ENSPTRP00000037144
ENSPTRP00000000256 ENSPTRP00000036132
ENSPTRP00000000256 ENSPTRP00000010694
ENSPTRP00000000256 ENSPTRP00000025203
ENSPTRP00000000256 ENSPTRP00000020519
ENSPTRP00000000256 ENSPTRP00000035752
ENSPTRP00000000256 ENSPTRP00000014483
ENSPTRP00000000259 ENSPTRP00000010567
ENSPTRP00000000259 ENSPTRP00000054330
ENSPTRP00000000260 ENSPTRP00000051676
ENSPTRP00000000260 ENSPTRP00000007875
ENSPTRP00000000260 ENSPTRP00000020532
ENSPTRP00000000260 ENSPTRP00000026934
ENSPTRP00000000271 ENSPTRP00000004328
ENSPTRP00000000271 ENSPTRP00000054478
ENSPTRP00000000271 ENSPTRP00000027054
ENSPTRP00000000271 ENSPTRP00000030714
ENSPTRP00000000271 ENSPTRP00000054585
ENSPTRP00000000273 ENSPTRP00000020031
ENSPTRP00000000273 ENSPTRP00000022652
ENSPTRP00000000273 ENSPTRP00000035612
ENSPTRP00000000273 ENSPTRP00000014832
ENSPTRP00000000273 ENSPTRP00000000371
ENSPTRP00000000273 ENSPTRP00000044191
ENSPTRP00000000280 ENSPTRP00000029009
ENSPTRP00000000280 ENSPTRP00000009369
ENSPTRP00000000280 ENSPTRP00000002072
ENSPTRP00000000280 ENSPTRP00000006164
ENSPTRP00000000280 ENSPTRP00000013479
ENSPTRP00000000280 ENSPTRP00000016085
ENSPTRP00000000280 ENSPTRP00000047541
ENSPTRP00000000280 ENSPTRP00000018245
ENSPTRP00000000280 ENSPTRP00000010246
ENSPTRP00000000280 ENSPTRP00000026912
ENSPTRP00000000280 ENSPTRP00000023146
ENSPTRP00000000280 ENSPTRP00000001190
ENSPTRP00000000280 ENSPTRP00000050982
ENSPTRP00000000280 ENSPTRP00000022194
ENSPTRP00000000280 ENSPTRP00000019444
ENSPTRP00000000280 ENSPTRP00000041478
ENSPTRP00000000280 ENSPTRP00000018854
ENSPTRP00000000280 ENSPTRP00000010692
ENSPTRP00000000280 ENSPTRP00000014908
ENSPTRP00000000280 ENSPTRP00000044953
ENSPTRP00000000280 ENSPTRP00000044691
ENSPTRP00000000280 ENSPTRP00000006810
ENSPTRP00000000280 ENSPTRP00000012982
ENSPTRP00000000280 ENSPTRP00000035125
ENSPTRP00000000280 ENSPTRP00000022095
ENSPTRP00000000280 ENSPTRP00000051568
ENSPTRP00000000280 ENSPTRP00000013055
ENSPTRP00000000280 ENSPTRP00000048213
ENSPTRP00000000280 ENSPTRP00000004488
ENSPTRP00000000280 ENSPTRP00000011569
ENSPTRP00000000280 ENSPTRP00000007751
ENSPTRP00000000280 ENSPTRP00000026618
ENSPTRP00000000280 ENSPTRP00000016590
ENSPTRP00000000280 ENSPTRP00000030899
ENSPTRP00000000280 ENSPTRP00000042372
ENSPTRP00000000280 ENSPTRP00000001359
ENSPTRP00000000280 ENSPTRP00000061177
ENSPTRP00000000280 ENSPTRP00000000229
ENSPTRP00000000280 ENSPTRP00000016236
ENSPTRP00000000280 ENSPTRP00000008366
ENSPTRP00000000280 ENSPTRP00000008480
ENSPTRP00000000280 ENSPTRP00000034671
ENSPTRP00000000280 ENSPTRP00000019651
ENSPTRP00000000286 ENSPTRP00000028804
ENSPTRP00000000286 ENSPTRP00000055839
ENSPTRP00000000286 ENSPTRP00000000287
ENSPTRP00000000286 ENSPTRP00000028353
ENSPTRP00000000286 ENSPTRP00000029931
ENSPTRP00000000286 ENSPTRP00000028852
ENSPTRP00000000287 ENSPTRP00000000286
ENSPTRP00000000288 ENSPTRP00000009433
ENSPTRP00000000288 ENSPTRP00000028292
ENSPTRP00000000288 ENSPTRP00000046009
ENSPTRP00000000288 ENSPTRP00000036337
