ENSLAFP00000009536 ENSLAFP00000014380
ENSLAFP00000009549 ENSLAFP00000017811
ENSLAFP00000009615 ENSLAFP00000000974
ENSLAFP00000009615 ENSLAFP00000013421
ENSLAFP00000009615 ENSLAFP00000002426
ENSLAFP00000009651 ENSLAFP00000027397
ENSLAFP00000009699 ENSLAFP00000000073
ENSLAFP00000009764 ENSLAFP00000002426
ENSLAFP00000009810 ENSLAFP00000004674
ENSLAFP00000010034 ENSLAFP00000001142
ENSLAFP00000010034 ENSLAFP00000000847
ENSLAFP00000010403 ENSLAFP00000002426
ENSLAFP00000010559 ENSLAFP00000013012
ENSLAFP00000010559 ENSLAFP00000001545
ENSLAFP00000010559 ENSLAFP00000019453
ENSLAFP00000010559 ENSLAFP00000016360
ENSLAFP00000010584 ENSLAFP00000017811
ENSLAFP00000010741 ENSLAFP00000012414
ENSLAFP00000010741 ENSLAFP00000004149
ENSLAFP00000010741 ENSLAFP00000014380
ENSLAFP00000010741 ENSLAFP00000003119
ENSLAFP00000010741 ENSLAFP00000009103
ENSLAFP00000010741 ENSLAFP00000002706
ENSLAFP00000010741 ENSLAFP00000011240
ENSLAFP00000010741 ENSLAFP00000014558
ENSLAFP00000010742 ENSLAFP00000002426
ENSLAFP00000010742 ENSLAFP00000003950
ENSLAFP00000010742 ENSLAFP00000000974
ENSLAFP00000011029 ENSLAFP00000000628
ENSLAFP00000011053 ENSLAFP00000008604
ENSLAFP00000011154 ENSLAFP00000020465
ENSLAFP00000011154 ENSLAFP00000025577
ENSLAFP00000011154 ENSLAFP00000027460
ENSLAFP00000011154 ENSLAFP00000025946
ENSLAFP00000011154 ENSLAFP00000012632
ENSLAFP00000011154 ENSLAFP00000000538
ENSLAFP00000011154 ENSLAFP00000013612
ENSLAFP00000011154 ENSLAFP00000014350
ENSLAFP00000011154 ENSLAFP00000008998
ENSLAFP00000011154 ENSLAFP00000013869
ENSLAFP00000011154 ENSLAFP00000019978
ENSLAFP00000011179 ENSLAFP00000011551
ENSLAFP00000011228 ENSLAFP00000023021
ENSLAFP00000011228 ENSLAFP00000020313
ENSLAFP00000011228 ENSLAFP00000018600
ENSLAFP00000011229 ENSLAFP00000023426
ENSLAFP00000011240 ENSLAFP00000012414
ENSLAFP00000011240 ENSLAFP00000014558
ENSLAFP00000011240 ENSLAFP00000004149
ENSLAFP00000011240 ENSLAFP00000010741
ENSLAFP00000011240 ENSLAFP00000003119
ENSLAFP00000011240 ENSLAFP00000014380
ENSLAFP00000011240 ENSLAFP00000009103
ENSLAFP00000011240 ENSLAFP00000002706
ENSLAFP00000011319 ENSLAFP00000001922
ENSLAFP00000011319 ENSLAFP00000007833
ENSLAFP00000011551 ENSLAFP00000011179
ENSLAFP00000012058 ENSLAFP00000026585
ENSLAFP00000012099 ENSLAFP00000017867
ENSLAFP00000012099 ENSLAFP00000007766
ENSLAFP00000012379 ENSLAFP00000013234
ENSLAFP00000012414 ENSLAFP00000004149
ENSLAFP00000012414 ENSLAFP00000014380
ENSLAFP00000012414 ENSLAFP00000009103
ENSLAFP00000012414 ENSLAFP00000011240
ENSLAFP00000012414 ENSLAFP00000014558
ENSLAFP00000012414 ENSLAFP00000010741
ENSLAFP00000012414 ENSLAFP00000003119
ENSLAFP00000012414 ENSLAFP00000002706
ENSLAFP00000012441 ENSLAFP00000013488
ENSLAFP00000012632 ENSLAFP00000007339
ENSLAFP00000012632 ENSLAFP00000020465
ENSLAFP00000012632 ENSLAFP00000025577
ENSLAFP00000012632 ENSLAFP00000027460
ENSLAFP00000012632 ENSLAFP00000006653
ENSLAFP00000012632 ENSLAFP00000025946
ENSLAFP00000012632 ENSLAFP00000002218
ENSLAFP00000012632 ENSLAFP00000011154
ENSLAFP00000012632 ENSLAFP00000000538
ENSLAFP00000012632 ENSLAFP00000013612
ENSLAFP00000012632 ENSLAFP00000014350
ENSLAFP00000012632 ENSLAFP00000008998
ENSLAFP00000012632 ENSLAFP00000001409
ENSLAFP00000012632 ENSLAFP00000013869
ENSLAFP00000012632 ENSLAFP00000019978
ENSLAFP00000012747 ENSLAFP00000017811
