MRA_0555 MtubH3_010100010234
MRA_0558 MRA_3841
MRA_0558 MRA_2265
MRA_0558 MtubH3_010100014695
MRA_0558 MRA_3545
MRA_0558 MRA_0540
MRA_0558 MRA_3600
MRA_0558 MtubH3_010100023180
MRA_0558 MtubH3_010100015430
MRA_0558 MRA_3584
MRA_0558 MtubH3_010100015475
MRA_0558 MtubH3_010100006361
MRA_0558 MtubH3_010100023650
MRA_0558 MRA_0222
MRA_0558 MtubH3_010100014113
MRA_0558 MtubH3_010100013567
MRA_0558 MtubH3_010100014925
MRA_0558 MRA_3546
MRA_0558 MtubH3_010100019193
MRA_0558 MtubH3_010100016671
MRA_0558 MtubH3_010100005707
MRA_0558 MtubH3_010100019238
MRA_0558 MtubH3_010100008163
MRA_0558 MtubH3_010100020578
MRA_0558 MRA_0126
MRA_0558 MtubH3_010100019183
MRA_0558 MtubH3_010100010696
MRA_0558 MtubH3_010100011578
MRA_0558 MRA_0103
MRA_0558 MtubH3_010100014275
MRA_0558 MtubH3_010100018698
MRA_0558 MtubH3_010100004117
MRA_0558 MtubH3_010100008875
MRA_0558 MtubH3_010100008208
MRA_0558 MtubH3_010100006286
MRA_0558 MRA_2551
MRA_0558 MRA_1936
MRA_0560 MtubH3_010100010264
MRA_0560 MtubH3_010100010184
MRA_0561 MtubH3_010100010189
MRA_0562 MtubH3_010100010184
MRA_0584 MtubH3_010100002788
MRA_0599 MtubH3_010100020583
MRA_0599 MtubH3_010100003427
MRA_0599 MtubH3_010100021768
MRA_0599 MtubH3_010100005467
MRA_0599 MtubH3_010100020593
MRA_0599 MtubH3_010100021773
MRA_0599 MtubH3_010100013667
MRA_0599 MtubH3_010100013672
MRA_0599 MRA_3540
MRA_0610 MtubH3_010100013762
MRA_0632 MtubH3_010100013902
MRA_0632 MtubH3_010100013897
MRA_0632 MRA_0633
MRA_0633 MtubH3_010100013902
MRA_0633 MtubH3_010100013897
MRA_0633 MRA_0632
MRA_0635 MRA_0636
MRA_0635 MtubH3_010100013912
MRA_0636 MRA_0635
MRA_0636 MtubH3_010100013912
MRA_0641 MtubH3_010100013942
MRA_0647 MtubH3_010100013967
MRA_0647 MtubH3_010100013972
MRA_0650 MtubH3_010100013987
MRA_0653 MtubH3_010100002378
MRA_0655 MtubH3_010100002388
MRA_0660 MtubH3_010100015520
MRA_0660 MtubH3_010100006523
MRA_0660 MRA_2527
MRA_0660 MtubH3_010100013152
MRA_0660 MtubH3_010100004517
MRA_0660 MtubH3_010100015540
MRA_0661 MtubH3_010100017268
MRA_0661 MtubH3_010100007713
MRA_0661 MtubH3_010100007152
MRA_0676 MtubH3_010100003317
MRA_0676 MRA_3622
MRA_0684 MtubH3_010100005887
MRA_0685 MtubH3_010100005892
MRA_0719 MtubH3_010100013222
MRA_0719 MtubH3_010100005427
MRA_0741 MtubH3_010100009784
MRA_0743 MRA_0744
MRA_0743 MtubH3_010100009794
MRA_0743 MtubH3_010100009799
MRA_0744 MtubH3_010100009794
MRA_0744 MtubH3_010100009799
MRA_0744 MRA_0743
MRA_0770 MtubH3_010100012860
MRA_0773 MtubH3_010100012880
MRA_0787 MtubH3_010100012950
MRA_0803 MtubH3_010100013050
MRA_0812 MtubH3_010100006653
MRA_0815 MtubH3_010100006633
MRA_0822 MtubH3_010100005697
MRA_0822 MtubH3_010100003110
MRA_0822 MtubH3_010100008952
MRA_0822 MRA_1014
MRA_0822 MtubH3_010100009309
MRA_0825 MtubH3_010100020218
MRA_0825 MtubH3_010100009934
MRA_0825 MtubH3_010100004702
MRA_0825 MtubH3_010100020213
MRA_0825 MtubH3_010100020233
MRA_0825 MtubH3_010100023455
MRA_0825 MtubH3_010100002723
MRA_0825 MRA_3149
MRA_0825 MtubH3_010100014063
MRA_0825 MtubH3_010100018414
MRA_0825 MtubH3_010100018119
MRA_0825 MtubH3_010100022233
MRA_0825 MtubH3_010100012090
MRA_0825 MtubH3_010100012085
MRA_0825 MtubH3_010100005842
MRA_0825 MtubH3_010100023260
MRA_0825 MtubH3_010100011985
MRA_0828 MtubH3_010100005502
MRA_0829 MtubH3_010100005507
MRA_0848 MtubH3_010100008188
MRA_0848 MtubH3_010100022625
MRA_0852 MtubH3_010100005812
MRA_0863 MtubH3_010100002548
MRA_0867 MtubH3_010100001133
MRA_0867 MRA_0868
MRA_0867 MtubH3_010100001138
MRA_0868 MRA_0867
MRA_0868 MtubH3_010100001138
MRA_0868 MtubH3_010100001133
MRA_0871 MtubH3_010100001560
MRA_0872 MtubH3_010100001555
MRA_0876 MtubH3_010100017790
MRA_0876 MtubH3_010100005402
MRA_0876 MtubH3_010100005977
MRA_0876 MtubH3_010100001113
MRA_0876 MtubH3_010100005972
MRA_0876 MtubH3_010100017513
MRA_0876 MRA_3141
MRA_0876 MtubH3_010100009314
MRA_0876 MtubH3_010100001560
MRA_0876 MRA_3144
MRA_0876 MtubH3_010100001108
MRA_0876 MtubH3_010100011226
MRA_0876 MRA_3498
MRA_0876 MtubH3_010100020203
MRA_0876 MRA_1627
MRA_0876 MtubH3_010100022548
