PPSIR1_10545 PPSIR1_36959
PPSIR1_10545 PPSIR1_36969
PPSIR1_10660 PPSIR1_26141
PPSIR1_10665 PPSIR1_41464
PPSIR1_10665 PPSIR1_41459
PPSIR1_10895 PPSIR1_09890
PPSIR1_10905 PPSIR1_16555
PPSIR1_11170 PPSIR1_11180
PPSIR1_11180 PPSIR1_21459
PPSIR1_11180 PPSIR1_11170
PPSIR1_11525 PPSIR1_07613
PPSIR1_11625 PPSIR1_29648
PPSIR1_11625 PPSIR1_28606
PPSIR1_11630 PPSIR1_15430
PPSIR1_11630 PPSIR1_28606
PPSIR1_11671 PPSIR1_11676
PPSIR1_11671 PPSIR1_10210
PPSIR1_11676 PPSIR1_11671
PPSIR1_11756 PPSIR1_32904
PPSIR1_11913 PPSIR1_32784
PPSIR1_12148 PPSIR1_12608
PPSIR1_12148 PPSIR1_12488
PPSIR1_12148 PPSIR1_16555
PPSIR1_12348 PPSIR1_10210
PPSIR1_12348 PPSIR1_10065
PPSIR1_12348 PPSIR1_05008
PPSIR1_12348 PPSIR1_19494
PPSIR1_12348 PPSIR1_31988
PPSIR1_12348 PPSIR1_05003
PPSIR1_12348 PPSIR1_10215
PPSIR1_12348 PPSIR1_08936
PPSIR1_12348 PPSIR1_02411
PPSIR1_12473 PPSIR1_03948
PPSIR1_12478 PPSIR1_32657
PPSIR1_12488 PPSIR1_12148
PPSIR1_12488 PPSIR1_10080
PPSIR1_12493 PPSIR1_03948
PPSIR1_12538 PPSIR1_12723
PPSIR1_12538 PPSIR1_36292
PPSIR1_12608 PPSIR1_12148
PPSIR1_12608 PPSIR1_08646
PPSIR1_12608 PPSIR1_15205
PPSIR1_12608 PPSIR1_03338
PPSIR1_12723 PPSIR1_12538
PPSIR1_13105 PPSIR1_17150
PPSIR1_13105 PPSIR1_03073
PPSIR1_13105 PPSIR1_13545
PPSIR1_13270 PPSIR1_40345
PPSIR1_13545 PPSIR1_36007
PPSIR1_13545 PPSIR1_36017
PPSIR1_13545 PPSIR1_13105
PPSIR1_14045 PPSIR1_32904
PPSIR1_14175 PPSIR1_28626
PPSIR1_14175 PPSIR1_39940
PPSIR1_14365 PPSIR1_32904
PPSIR1_14650 PPSIR1_15205
PPSIR1_14650 PPSIR1_10065
PPSIR1_14650 PPSIR1_34527
PPSIR1_14650 PPSIR1_29750
PPSIR1_14650 PPSIR1_14870
PPSIR1_14870 PPSIR1_14650
PPSIR1_14870 PPSIR1_15205
PPSIR1_14905 PPSIR1_34947
PPSIR1_15085 PPSIR1_37909
PPSIR1_15155 PPSIR1_38771
PPSIR1_15155 PPSIR1_38766
PPSIR1_15205 PPSIR1_09086
PPSIR1_15205 PPSIR1_04833
PPSIR1_15205 PPSIR1_14650
PPSIR1_15205 PPSIR1_31673
PPSIR1_15205 PPSIR1_29750
PPSIR1_15205 PPSIR1_14870
PPSIR1_15205 PPSIR1_12608
PPSIR1_15355 PPSIR1_02231
PPSIR1_15355 PPSIR1_42019
PPSIR1_15355 PPSIR1_05198
PPSIR1_15355 PPSIR1_22496
PPSIR1_15355 PPSIR1_34787
PPSIR1_15355 PPSIR1_36252
PPSIR1_15355 PPSIR1_22476
PPSIR1_15355 PPSIR1_07048
PPSIR1_15430 PPSIR1_28606
PPSIR1_15430 PPSIR1_28656
PPSIR1_15430 PPSIR1_11630
PPSIR1_15470 PPSIR1_09955
PPSIR1_15470 PPSIR1_27653
PPSIR1_15470 PPSIR1_20479
PPSIR1_15470 PPSIR1_34108
PPSIR1_15470 PPSIR1_20474
PPSIR1_15470 PPSIR1_35152
PPSIR1_15615 PPSIR1_15620
PPSIR1_15620 PPSIR1_03043
PPSIR1_15620 PPSIR1_35002
PPSIR1_15620 PPSIR1_00200
PPSIR1_15620 PPSIR1_15710
PPSIR1_15620 PPSIR1_15615
PPSIR1_15620 PPSIR1_36402
PPSIR1_15710 PPSIR1_15620
PPSIR1_15710 PPSIR1_36884
PPSIR1_15890 PPSIR1_17825
PPSIR1_16455 PPSIR1_41409
PPSIR1_16455 PPSIR1_29363
PPSIR1_16505 PPSIR1_29935
PPSIR1_16555 PPSIR1_10905
PPSIR1_16555 PPSIR1_12148
PPSIR1_16605 PPSIR1_07048
PPSIR1_16605 PPSIR1_05198
PPSIR1_16605 PPSIR1_36252
PPSIR1_16605 PPSIR1_22476
PPSIR1_16605 PPSIR1_34787
PPSIR1_16605 PPSIR1_02231
PPSIR1_16605 PPSIR1_42019
PPSIR1_16605 PPSIR1_22496
PPSIR1_17150 PPSIR1_13105
PPSIR1_17150 PPSIR1_17155
PPSIR1_17155 PPSIR1_20474
PPSIR1_17155 PPSIR1_36017
PPSIR1_17155 PPSIR1_36007
PPSIR1_17155 PPSIR1_17150
PPSIR1_17155 PPSIR1_20479
PPSIR1_17725 PPSIR1_17825
PPSIR1_17820 PPSIR1_36612
PPSIR1_17820 PPSIR1_32622
PPSIR1_17825 PPSIR1_29608
PPSIR1_17825 PPSIR1_17725
PPSIR1_17825 PPSIR1_15890
PPSIR1_17930 PPSIR1_36017
PPSIR1_17930 PPSIR1_35152
PPSIR1_17930 PPSIR1_09955
PPSIR1_17930 PPSIR1_36007
PPSIR1_17930 PPSIR1_34108
PPSIR1_17930 PPSIR1_27653
PPSIR1_18152 PPSIR1_31583
PPSIR1_18152 PPSIR1_08441
PPSIR1_18152 PPSIR1_31588
PPSIR1_18152 PPSIR1_31578
PPSIR1_18367 PPSIR1_22496
PPSIR1_18367 PPSIR1_02231
PPSIR1_18367 PPSIR1_05198
PPSIR1_18367 PPSIR1_36252
PPSIR1_18367 PPSIR1_22476
PPSIR1_18367 PPSIR1_07048
PPSIR1_18367 PPSIR1_34787
PPSIR1_18367 PPSIR1_42019
PPSIR1_18577 PPSIR1_05393
PPSIR1_18577 PPSIR1_18602
PPSIR1_18577 PPSIR1_05413
PPSIR1_18602 PPSIR1_05418
PPSIR1_18602 PPSIR1_18577
PPSIR1_18602 PPSIR1_28606
PPSIR1_18917 PPSIR1_35802
PPSIR1_18972 PPSIR1_34882
PPSIR1_18972 PPSIR1_05448
PPSIR1_19494 PPSIR1_05008
PPSIR1_19494 PPSIR1_31988
PPSIR1_19494 PPSIR1_05003
PPSIR1_19494 PPSIR1_12348
PPSIR1_19494 PPSIR1_29935
PPSIR1_19784 PPSIR1_36252
PPSIR1_19784 PPSIR1_22476
PPSIR1_19784 PPSIR1_07048
PPSIR1_19784 PPSIR1_05198
PPSIR1_19784 PPSIR1_34787
PPSIR1_19784 PPSIR1_42019
PPSIR1_19784 PPSIR1_02231
PPSIR1_19784 PPSIR1_22496
PPSIR1_20429 PPSIR1_28088
PPSIR1_20434 PPSIR1_28088
PPSIR1_20439 PPSIR1_28088
PPSIR1_20474 PPSIR1_38771
PPSIR1_20474 PPSIR1_38766
PPSIR1_20474 PPSIR1_15470
PPSIR1_20474 PPSIR1_03073
PPSIR1_20474 PPSIR1_17155
PPSIR1_20479 PPSIR1_38771
PPSIR1_20479 PPSIR1_03073
PPSIR1_20479 PPSIR1_17155
PPSIR1_20479 PPSIR1_38766
PPSIR1_20479 PPSIR1_15470
PPSIR1_20524 PPSIR1_27798
PPSIR1_21459 PPSIR1_11180
PPSIR1_21754 PPSIR1_40770
PPSIR1_21759 PPSIR1_40770
PPSIR1_21789 PPSIR1_03768
PPSIR1_21789 PPSIR1_03753
PPSIR1_21799 PPSIR1_27798
PPSIR1_21799 PPSIR1_28626
PPSIR1_21799 PPSIR1_34118
PPSIR1_21799 PPSIR1_34982
PPSIR1_22264 PPSIR1_07613
PPSIR1_22354 PPSIR1_34982
PPSIR1_22354 PPSIR1_27798
PPSIR1_22354 PPSIR1_28626
PPSIR1_22354 PPSIR1_34118
PPSIR1_22354 PPSIR1_22931
PPSIR1_22354 PPSIR1_36387
PPSIR1_22476 PPSIR1_32018
PPSIR1_22476 PPSIR1_36057
PPSIR1_22476 PPSIR1_30405
PPSIR1_22476 PPSIR1_10415
PPSIR1_22476 PPSIR1_15355
PPSIR1_22476 PPSIR1_19784
PPSIR1_22476 PPSIR1_41584
PPSIR1_22476 PPSIR1_25004
PPSIR1_22476 PPSIR1_18367
PPSIR1_22476 PPSIR1_01257
PPSIR1_22476 PPSIR1_16605
PPSIR1_22476 PPSIR1_40515
PPSIR1_22476 PPSIR1_37229
PPSIR1_22476 PPSIR1_37644
PPSIR1_22476 PPSIR1_10425
PPSIR1_22496 PPSIR1_10425
PPSIR1_22496 PPSIR1_25004
PPSIR1_22496 PPSIR1_41584
PPSIR1_22496 PPSIR1_36057
PPSIR1_22496 PPSIR1_15355
PPSIR1_22496 PPSIR1_32018
PPSIR1_22496 PPSIR1_40515
PPSIR1_22496 PPSIR1_16605
PPSIR1_22496 PPSIR1_30405
PPSIR1_22496 PPSIR1_18367
PPSIR1_22496 PPSIR1_37644
PPSIR1_22496 PPSIR1_19784
PPSIR1_22496 PPSIR1_10415
PPSIR1_22496 PPSIR1_37229
PPSIR1_22496 PPSIR1_01257
PPSIR1_22931 PPSIR1_22354
PPSIR1_22931 PPSIR1_34762
PPSIR1_23219 PPSIR1_36252
PPSIR1_23219 PPSIR1_32759
PPSIR1_23589 PPSIR1_23594
PPSIR1_23594 PPSIR1_23589
PPSIR1_24144 PPSIR1_35482
PPSIR1_24144 PPSIR1_35457
PPSIR1_24259 PPSIR1_10075
PPSIR1_24434 PPSIR1_24439
PPSIR1_24439 PPSIR1_24434
PPSIR1_24464 PPSIR1_35292
PPSIR1_25004 PPSIR1_34787
PPSIR1_25004 PPSIR1_05198
PPSIR1_25004 PPSIR1_42019
PPSIR1_25004 PPSIR1_02231
PPSIR1_25004 PPSIR1_22496
PPSIR1_25004 PPSIR1_36252
PPSIR1_25004 PPSIR1_22476
PPSIR1_25004 PPSIR1_07048
PPSIR1_25066 PPSIR1_32759
PPSIR1_25506 PPSIR1_08441
PPSIR1_25506 PPSIR1_40345
PPSIR1_25706 PPSIR1_32904
PPSIR1_25711 PPSIR1_32904
PPSIR1_26031 PPSIR1_08441
PPSIR1_26031 PPSIR1_40345
PPSIR1_26141 PPSIR1_30375
PPSIR1_26141 PPSIR1_03943
PPSIR1_26141 PPSIR1_40400
PPSIR1_26141 PPSIR1_10660
PPSIR1_26141 PPSIR1_39425
PPSIR1_26368 PPSIR1_35002
PPSIR1_26368 PPSIR1_00200
PPSIR1_26388 PPSIR1_31603
PPSIR1_26388 PPSIR1_31608
PPSIR1_26388 PPSIR1_02758
PPSIR1_26733 PPSIR1_28621
PPSIR1_26733 PPSIR1_37664
PPSIR1_26748 PPSIR1_37664
PPSIR1_26748 PPSIR1_28621
PPSIR1_26953 PPSIR1_31863
PPSIR1_26968 PPSIR1_35902
PPSIR1_27653 PPSIR1_15470
PPSIR1_27653 PPSIR1_34168
PPSIR1_27653 PPSIR1_17930
PPSIR1_27738 PPSIR1_01814
PPSIR1_27738 PPSIR1_29725
PPSIR1_27738 PPSIR1_35117
PPSIR1_27738 PPSIR1_29730
PPSIR1_27798 PPSIR1_20524
PPSIR1_27798 PPSIR1_22354
PPSIR1_27798 PPSIR1_21799
PPSIR1_27798 PPSIR1_27898
PPSIR1_27898 PPSIR1_34118
PPSIR1_27898 PPSIR1_27798
PPSIR1_27898 PPSIR1_28626
PPSIR1_27898 PPSIR1_34982
PPSIR1_28088 PPSIR1_20439
PPSIR1_28088 PPSIR1_20429
PPSIR1_28088 PPSIR1_05008
PPSIR1_28088 PPSIR1_31988
PPSIR1_28088 PPSIR1_20434
PPSIR1_28088 PPSIR1_05003
PPSIR1_28088 PPSIR1_03948
PPSIR1_28173 PPSIR1_31863
PPSIR1_28173 PPSIR1_02948
PPSIR1_28373 PPSIR1_03728
PPSIR1_28373 PPSIR1_39940
PPSIR1_28606 PPSIR1_15430
PPSIR1_28606 PPSIR1_11630
PPSIR1_28606 PPSIR1_11625
PPSIR1_28606 PPSIR1_18602
PPSIR1_28606 PPSIR1_05393
PPSIR1_28621 PPSIR1_32193
PPSIR1_28621 PPSIR1_26733
PPSIR1_28621 PPSIR1_26748
PPSIR1_28621 PPSIR1_09910
PPSIR1_28626 PPSIR1_27898
PPSIR1_28626 PPSIR1_22354
PPSIR1_28626 PPSIR1_39945
PPSIR1_28626 PPSIR1_14175
PPSIR1_28626 PPSIR1_21799
PPSIR1_28656 PPSIR1_39260
PPSIR1_28656 PPSIR1_15430
PPSIR1_28656 PPSIR1_05423
PPSIR1_29363 PPSIR1_06346
PPSIR1_29363 PPSIR1_16455
PPSIR1_29608 PPSIR1_17825
PPSIR1_29648 PPSIR1_39245
PPSIR1_29648 PPSIR1_11625
PPSIR1_29720 PPSIR1_35117
PPSIR1_29720 PPSIR1_29730
PPSIR1_29720 PPSIR1_01814
PPSIR1_29720 PPSIR1_29725
PPSIR1_29725 PPSIR1_01814
PPSIR1_29725 PPSIR1_27738
PPSIR1_29725 PPSIR1_32764
PPSIR1_29725 PPSIR1_29735
PPSIR1_29725 PPSIR1_29720
PPSIR1_29725 PPSIR1_35247
PPSIR1_29725 PPSIR1_29730
PPSIR1_29730 PPSIR1_32764
PPSIR1_29730 PPSIR1_27738
PPSIR1_29730 PPSIR1_29725
PPSIR1_29730 PPSIR1_29735
PPSIR1_29730 PPSIR1_29720
PPSIR1_29730 PPSIR1_35247
PPSIR1_29730 PPSIR1_01814
PPSIR1_29735 PPSIR1_29730
PPSIR1_29735 PPSIR1_01814
PPSIR1_29735 PPSIR1_29725
PPSIR1_29750 PPSIR1_15205
PPSIR1_29750 PPSIR1_14650
PPSIR1_29820 PPSIR1_32904
PPSIR1_29935 PPSIR1_16505
PPSIR1_29935 PPSIR1_08936
PPSIR1_29935 PPSIR1_19494
PPSIR1_30125 PPSIR1_10150
PPSIR1_30375 PPSIR1_26141
PPSIR1_30405 PPSIR1_22476
PPSIR1_30405 PPSIR1_36252
PPSIR1_30405 PPSIR1_07048
PPSIR1_30405 PPSIR1_34787
PPSIR1_30405 PPSIR1_05198
PPSIR1_30405 PPSIR1_42019
PPSIR1_30405 PPSIR1_02231
PPSIR1_30405 PPSIR1_22496
PPSIR1_30898 PPSIR1_33891
PPSIR1_30953 PPSIR1_02953
PPSIR1_30958 PPSIR1_32657
PPSIR1_31098 PPSIR1_41409
PPSIR1_31263 PPSIR1_40770
PPSIR1_31433 PPSIR1_32622
PPSIR1_31438 PPSIR1_32622
PPSIR1_31438 PPSIR1_36612
PPSIR1_31573 PPSIR1_07340
PPSIR1_31573 PPSIR1_02748
PPSIR1_31578 PPSIR1_18152
PPSIR1_31583 PPSIR1_18152
PPSIR1_31588 PPSIR1_18152
PPSIR1_31588 PPSIR1_33766
PPSIR1_31603 PPSIR1_04833
PPSIR1_31603 PPSIR1_26388
PPSIR1_31603 PPSIR1_32327
PPSIR1_31603 PPSIR1_41409
PPSIR1_31608 PPSIR1_32327
PPSIR1_31608 PPSIR1_41409
PPSIR1_31608 PPSIR1_04833
PPSIR1_31608 PPSIR1_26388
PPSIR1_31653 PPSIR1_37674
PPSIR1_31653 PPSIR1_34103
PPSIR1_31653 PPSIR1_37659
PPSIR1_31653 PPSIR1_34098
PPSIR1_31673 PPSIR1_04833
PPSIR1_31673 PPSIR1_15205
PPSIR1_31863 PPSIR1_28173
PPSIR1_31863 PPSIR1_26953
PPSIR1_31863 PPSIR1_08791
PPSIR1_31988 PPSIR1_28088
PPSIR1_31988 PPSIR1_12348
PPSIR1_31988 PPSIR1_10210
PPSIR1_31988 PPSIR1_19494
PPSIR1_31988 PPSIR1_08936
PPSIR1_32018 PPSIR1_22496
PPSIR1_32018 PPSIR1_05198
PPSIR1_32018 PPSIR1_42019
PPSIR1_32018 PPSIR1_02231
PPSIR1_32018 PPSIR1_36252
PPSIR1_32018 PPSIR1_22476
PPSIR1_32018 PPSIR1_07048
PPSIR1_32018 PPSIR1_34787
PPSIR1_32178 PPSIR1_09890
PPSIR1_32193 PPSIR1_37664
PPSIR1_32193 PPSIR1_28621
PPSIR1_32327 PPSIR1_31603
PPSIR1_32327 PPSIR1_31608
PPSIR1_32327 PPSIR1_42211
PPSIR1_32537 PPSIR1_36082
