ENSCINP00000000889 ENSCINP00000021902
ENSCINP00000000889 ENSCINP00000025129
ENSCINP00000000889 ENSCINP00000011619
ENSCINP00000000889 ENSCINP00000025829
ENSCINP00000000889 ENSCINP00000021822
ENSCINP00000000980 ENSCINP00000009413
ENSCINP00000000980 ENSCINP00000018469
ENSCINP00000000980 ENSCINP00000001310
ENSCINP00000000980 ENSCINP00000016141
ENSCINP00000000980 ENSCINP00000007143
ENSCINP00000000980 ENSCINP00000013797
ENSCINP00000000980 ENSCINP00000014805
ENSCINP00000000980 ENSCINP00000009069
ENSCINP00000000980 ENSCINP00000033384
ENSCINP00000001002 ENSCINP00000021581
ENSCINP00000001002 ENSCINP00000035282
ENSCINP00000001002 ENSCINP00000011385
ENSCINP00000001002 ENSCINP00000019362
ENSCINP00000001002 ENSCINP00000005422
ENSCINP00000001002 ENSCINP00000016401
ENSCINP00000001002 ENSCINP00000014974
ENSCINP00000001002 ENSCINP00000017658
ENSCINP00000001002 ENSCINP00000011374
ENSCINP00000001002 ENSCINP00000030163
ENSCINP00000001002 ENSCINP00000012035
ENSCINP00000001002 ENSCINP00000030897
ENSCINP00000001002 ENSCINP00000003049
ENSCINP00000001002 ENSCINP00000025179
ENSCINP00000001002 ENSCINP00000005292
ENSCINP00000001002 ENSCINP00000023924
ENSCINP00000001002 ENSCINP00000007825
ENSCINP00000001002 ENSCINP00000002062
ENSCINP00000001002 ENSCINP00000025919
ENSCINP00000001002 ENSCINP00000003847
ENSCINP00000001002 ENSCINP00000026337
ENSCINP00000001002 ENSCINP00000015184
ENSCINP00000001002 ENSCINP00000035821
ENSCINP00000001002 ENSCINP00000004013
ENSCINP00000001002 ENSCINP00000009156
ENSCINP00000001002 ENSCINP00000002066
ENSCINP00000001002 ENSCINP00000034687
ENSCINP00000001002 ENSCINP00000019097
ENSCINP00000001002 ENSCINP00000007643
ENSCINP00000001002 ENSCINP00000031510
ENSCINP00000001002 ENSCINP00000020024
ENSCINP00000001002 ENSCINP00000004386
ENSCINP00000001002 ENSCINP00000019611
ENSCINP00000001017 ENSCINP00000025772
ENSCINP00000001017 ENSCINP00000003109
ENSCINP00000001020 ENSCINP00000011775
ENSCINP00000001020 ENSCINP00000016122
ENSCINP00000001020 ENSCINP00000021997
ENSCINP00000001020 ENSCINP00000034644
ENSCINP00000001020 ENSCINP00000017977
ENSCINP00000001020 ENSCINP00000014974
ENSCINP00000001020 ENSCINP00000007745
ENSCINP00000001020 ENSCINP00000003445
ENSCINP00000001020 ENSCINP00000026713
ENSCINP00000001020 ENSCINP00000005422
ENSCINP00000001020 ENSCINP00000011962
ENSCINP00000001020 ENSCINP00000005292
ENSCINP00000001020 ENSCINP00000005373
ENSCINP00000001020 ENSCINP00000012462
ENSCINP00000001020 ENSCINP00000004434
ENSCINP00000001020 ENSCINP00000016533
ENSCINP00000001020 ENSCINP00000019611
ENSCINP00000001020 ENSCINP00000004225
ENSCINP00000001020 ENSCINP00000006089
ENSCINP00000001020 ENSCINP00000017484
ENSCINP00000001020 ENSCINP00000012035
ENSCINP00000001020 ENSCINP00000031904
ENSCINP00000001020 ENSCINP00000035764
ENSCINP00000001020 ENSCINP00000004013
ENSCINP00000001020 ENSCINP00000016416
ENSCINP00000001020 ENSCINP00000022703
ENSCINP00000001028 ENSCINP00000012870
ENSCINP00000001028 ENSCINP00000005198
ENSCINP00000001028 ENSCINP00000012406
ENSCINP00000001028 ENSCINP00000022069
ENSCINP00000001039 ENSCINP00000033135
ENSCINP00000001039 ENSCINP00000007616
ENSCINP00000001039 ENSCINP00000031277
ENSCINP00000001039 ENSCINP00000005763
ENSCINP00000001091 ENSCINP00000022017
ENSCINP00000001091 ENSCINP00000005209
ENSCINP00000001091 ENSCINP00000004452
ENSCINP00000001091 ENSCINP00000010294
ENSCINP00000001091 ENSCINP00000014811
ENSCINP00000001148 ENSCINP00000008664
ENSCINP00000001226 ENSCINP00000015532
ENSCINP00000001226 ENSCINP00000004834
ENSCINP00000001226 ENSCINP00000002112
ENSCINP00000001226 ENSCINP00000026075
ENSCINP00000001226 ENSCINP00000010432
ENSCINP00000001226 ENSCINP00000012547
ENSCINP00000001257 ENSCINP00000023392
ENSCINP00000001257 ENSCINP00000012732
ENSCINP00000001257 ENSCINP00000025320
ENSCINP00000001257 ENSCINP00000013161
ENSCINP00000001257 ENSCINP00000030937
ENSCINP00000001257 ENSCINP00000025179
ENSCINP00000001261 ENSCINP00000030699
ENSCINP00000001310 ENSCINP00000030873
ENSCINP00000001310 ENSCINP00000016141
ENSCINP00000001310 ENSCINP00000018469
ENSCINP00000001310 ENSCINP00000000980
ENSCINP00000001310 ENSCINP00000013797
ENSCINP00000001310 ENSCINP00000014805
ENSCINP00000001310 ENSCINP00000010169
ENSCINP00000001310 ENSCINP00000009413
ENSCINP00000001310 ENSCINP00000018358
ENSCINP00000001310 ENSCINP00000011573
ENSCINP00000001310 ENSCINP00000009069
ENSCINP00000001310 ENSCINP00000007143
ENSCINP00000001310 ENSCINP00000033384
ENSCINP00000001311 ENSCINP00000023795
ENSCINP00000001311 ENSCINP00000014811
ENSCINP00000001332 ENSCINP00000035186
ENSCINP00000001332 ENSCINP00000035349
ENSCINP00000001332 ENSCINP00000034854
ENSCINP00000001332 ENSCINP00000031729
ENSCINP00000001332 ENSCINP00000022480
ENSCINP00000001332 ENSCINP00000027269
ENSCINP00000001332 ENSCINP00000027154
ENSCINP00000001377 ENSCINP00000031349
ENSCINP00000001377 ENSCINP00000005743
ENSCINP00000001377 ENSCINP00000035744
ENSCINP00000001377 ENSCINP00000030443
ENSCINP00000001377 ENSCINP00000013673
ENSCINP00000001377 ENSCINP00000025584
ENSCINP00000001377 ENSCINP00000006018
ENSCINP00000001377 ENSCINP00000015809
ENSCINP00000001377 ENSCINP00000036541
ENSCINP00000001377 ENSCINP00000010675
ENSCINP00000001377 ENSCINP00000032059
ENSCINP00000001377 ENSCINP00000016753
ENSCINP00000001408 ENSCINP00000000095
ENSCINP00000001408 ENSCINP00000004990
ENSCINP00000001408 ENSCINP00000007158
ENSCINP00000001408 ENSCINP00000022682
ENSCINP00000001408 ENSCINP00000002922
ENSCINP00000001408 ENSCINP00000005699
ENSCINP00000001408 ENSCINP00000002919
ENSCINP00000001408 ENSCINP00000016220
ENSCINP00000001408 ENSCINP00000010323
ENSCINP00000001408 ENSCINP00000019330
ENSCINP00000001408 ENSCINP00000011274
ENSCINP00000001408 ENSCINP00000013306
ENSCINP00000001408 ENSCINP00000029970
ENSCINP00000001408 ENSCINP00000033982
ENSCINP00000001408 ENSCINP00000017071
ENSCINP00000001408 ENSCINP00000012517
ENSCINP00000001408 ENSCINP00000025716
ENSCINP00000001500 ENSCINP00000018289
ENSCINP00000001523 ENSCINP00000019330
ENSCINP00000001527 ENSCINP00000022803
ENSCINP00000001527 ENSCINP00000007252
ENSCINP00000001527 ENSCINP00000003167
ENSCINP00000001527 ENSCINP00000036344
ENSCINP00000001527 ENSCINP00000017139
ENSCINP00000001527 ENSCINP00000018331
ENSCINP00000001527 ENSCINP00000005410
ENSCINP00000001527 ENSCINP00000022954
ENSCINP00000001591 ENSCINP00000007164
ENSCINP00000001591 ENSCINP00000006884
ENSCINP00000001599 ENSCINP00000006884
ENSCINP00000001599 ENSCINP00000006028
ENSCINP00000001599 ENSCINP00000027566
ENSCINP00000001599 ENSCINP00000016017
ENSCINP00000001599 ENSCINP00000031364
ENSCINP00000001599 ENSCINP00000016093
ENSCINP00000001630 ENSCINP00000019425
ENSCINP00000001630 ENSCINP00000004488
ENSCINP00000001630 ENSCINP00000002248
ENSCINP00000001630 ENSCINP00000013343
ENSCINP00000001630 ENSCINP00000006089
ENSCINP00000001630 ENSCINP00000012644
ENSCINP00000001630 ENSCINP00000003445
ENSCINP00000001630 ENSCINP00000012665
ENSCINP00000001630 ENSCINP00000032961
ENSCINP00000001663 ENSCINP00000007792
ENSCINP00000001663 ENSCINP00000011775
ENSCINP00000001839 ENSCINP00000028545
ENSCINP00000001839 ENSCINP00000014961
ENSCINP00000001839 ENSCINP00000033681
ENSCINP00000001839 ENSCINP00000031005
ENSCINP00000001880 ENSCINP00000019093
ENSCINP00000001880 ENSCINP00000029372
ENSCINP00000001880 ENSCINP00000031904
ENSCINP00000002042 ENSCINP00000003284
ENSCINP00000002042 ENSCINP00000026304
ENSCINP00000002062 ENSCINP00000021581
ENSCINP00000002062 ENSCINP00000011385
ENSCINP00000002062 ENSCINP00000007825
ENSCINP00000002062 ENSCINP00000009156
ENSCINP00000002062 ENSCINP00000020024
ENSCINP00000002062 ENSCINP00000003049
ENSCINP00000002062 ENSCINP00000023924
ENSCINP00000002062 ENSCINP00000029372
ENSCINP00000002062 ENSCINP00000030897
ENSCINP00000002062 ENSCINP00000022703
ENSCINP00000002062 ENSCINP00000011374
ENSCINP00000002062 ENSCINP00000003847
ENSCINP00000002062 ENSCINP00000002066
ENSCINP00000002062 ENSCINP00000031510
ENSCINP00000002062 ENSCINP00000035821
ENSCINP00000002062 ENSCINP00000030163
ENSCINP00000002062 ENSCINP00000012842
ENSCINP00000002062 ENSCINP00000034867
ENSCINP00000002062 ENSCINP00000019097
ENSCINP00000002062 ENSCINP00000017484
ENSCINP00000002062 ENSCINP00000025179
ENSCINP00000002062 ENSCINP00000017658
ENSCINP00000002062 ENSCINP00000001002
ENSCINP00000002066 ENSCINP00000021581
ENSCINP00000002066 ENSCINP00000011385
ENSCINP00000002066 ENSCINP00000017658
ENSCINP00000002066 ENSCINP00000011374
ENSCINP00000002066 ENSCINP00000030897
ENSCINP00000002066 ENSCINP00000003049
ENSCINP00000002066 ENSCINP00000030163
ENSCINP00000002066 ENSCINP00000025179
ENSCINP00000002066 ENSCINP00000015881
ENSCINP00000002066 ENSCINP00000003847
ENSCINP00000002066 ENSCINP00000002062
ENSCINP00000002066 ENSCINP00000009156
ENSCINP00000002066 ENSCINP00000019097
ENSCINP00000002066 ENSCINP00000020024
ENSCINP00000002066 ENSCINP00000001002
ENSCINP00000002112 ENSCINP00000015532
ENSCINP00000002112 ENSCINP00000001226
ENSCINP00000002112 ENSCINP00000031278
ENSCINP00000002112 ENSCINP00000000426
ENSCINP00000002112 ENSCINP00000017567
ENSCINP00000002112 ENSCINP00000004834
ENSCINP00000002112 ENSCINP00000013376
ENSCINP00000002112 ENSCINP00000007539
ENSCINP00000002112 ENSCINP00000034247
ENSCINP00000002112 ENSCINP00000026075
ENSCINP00000002112 ENSCINP00000012547
ENSCINP00000002112 ENSCINP00000005728
ENSCINP00000002112 ENSCINP00000016703
ENSCINP00000002112 ENSCINP00000013803
ENSCINP00000002153 ENSCINP00000025403
ENSCINP00000002159 ENSCINP00000010264
ENSCINP00000002159 ENSCINP00000016627
ENSCINP00000002159 ENSCINP00000008954
ENSCINP00000002159 ENSCINP00000016166
ENSCINP00000002159 ENSCINP00000032097
ENSCINP00000002159 ENSCINP00000008557
ENSCINP00000002159 ENSCINP00000008157
ENSCINP00000002159 ENSCINP00000035506
ENSCINP00000002159 ENSCINP00000007369
ENSCINP00000002159 ENSCINP00000030689
ENSCINP00000002159 ENSCINP00000032951
ENSCINP00000002159 ENSCINP00000034157
ENSCINP00000002159 ENSCINP00000033490
ENSCINP00000002159 ENSCINP00000011667
ENSCINP00000002159 ENSCINP00000003194
ENSCINP00000002159 ENSCINP00000031493
ENSCINP00000002159 ENSCINP00000027447
ENSCINP00000002159 ENSCINP00000022587
ENSCINP00000002159 ENSCINP00000017003
ENSCINP00000002159 ENSCINP00000033676
ENSCINP00000002159 ENSCINP00000006863
ENSCINP00000002159 ENSCINP00000007337
ENSCINP00000002159 ENSCINP00000035646
ENSCINP00000002159 ENSCINP00000036374
ENSCINP00000002159 ENSCINP00000021902
ENSCINP00000002159 ENSCINP00000029798
ENSCINP00000002159 ENSCINP00000013648
ENSCINP00000002159 ENSCINP00000010920
ENSCINP00000002159 ENSCINP00000013245
ENSCINP00000002159 ENSCINP00000034938
ENSCINP00000002159 ENSCINP00000030207
ENSCINP00000002159 ENSCINP00000014424
ENSCINP00000002159 ENSCINP00000025129
ENSCINP00000002159 ENSCINP00000017414
ENSCINP00000002159 ENSCINP00000028598
ENSCINP00000002159 ENSCINP00000004523
ENSCINP00000002159 ENSCINP00000011619
ENSCINP00000002159 ENSCINP00000025829
ENSCINP00000002159 ENSCINP00000021822
ENSCINP00000002170 ENSCINP00000007797
ENSCINP00000002172 ENSCINP00000036479
ENSCINP00000002205 ENSCINP00000005302
ENSCINP00000002205 ENSCINP00000024169
ENSCINP00000002205 ENSCINP00000005209
ENSCINP00000002205 ENSCINP00000026833
ENSCINP00000002205 ENSCINP00000023961
ENSCINP00000002227 ENSCINP00000019492
ENSCINP00000002227 ENSCINP00000016842
ENSCINP00000002227 ENSCINP00000007268
ENSCINP00000002248 ENSCINP00000025976
ENSCINP00000002248 ENSCINP00000003988
ENSCINP00000002248 ENSCINP00000019524
ENSCINP00000002248 ENSCINP00000030042
ENSCINP00000002248 ENSCINP00000007745
ENSCINP00000002248 ENSCINP00000004269
ENSCINP00000002248 ENSCINP00000012644
ENSCINP00000002248 ENSCINP00000018880
ENSCINP00000002248 ENSCINP00000013343
ENSCINP00000002248 ENSCINP00000008564
ENSCINP00000002248 ENSCINP00000006089
ENSCINP00000002248 ENSCINP00000023072
ENSCINP00000002248 ENSCINP00000001630
ENSCINP00000002248 ENSCINP00000032961
ENSCINP00000002248 ENSCINP00000006553
ENSCINP00000002314 ENSCINP00000016437
ENSCINP00000002314 ENSCINP00000012669
ENSCINP00000002314 ENSCINP00000030112
ENSCINP00000002314 ENSCINP00000009407
ENSCINP00000002314 ENSCINP00000009002
ENSCINP00000002314 ENSCINP00000022413
ENSCINP00000002314 ENSCINP00000014888
ENSCINP00000002314 ENSCINP00000009005
ENSCINP00000002314 ENSCINP00000026413
ENSCINP00000002369 ENSCINP00000033982
ENSCINP00000002369 ENSCINP00000011354
ENSCINP00000002369 ENSCINP00000007659
ENSCINP00000002369 ENSCINP00000003357
ENSCINP00000002402 ENSCINP00000003763
ENSCINP00000002402 ENSCINP00000032174
ENSCINP00000002402 ENSCINP00000009296
ENSCINP00000002402 ENSCINP00000033932
ENSCINP00000002425 ENSCINP00000017465
ENSCINP00000002425 ENSCINP00000000633
ENSCINP00000002476 ENSCINP00000025006
ENSCINP00000002476 ENSCINP00000035686
ENSCINP00000002476 ENSCINP00000012699
ENSCINP00000002476 ENSCINP00000016900
ENSCINP00000002476 ENSCINP00000005299
ENSCINP00000002542 ENSCINP00000014755
ENSCINP00000002542 ENSCINP00000024007
ENSCINP00000002604 ENSCINP00000032654
ENSCINP00000002626 ENSCINP00000023559
ENSCINP00000002626 ENSCINP00000003726
ENSCINP00000002626 ENSCINP00000033037
ENSCINP00000002626 ENSCINP00000004818
ENSCINP00000002626 ENSCINP00000035068
ENSCINP00000002626 ENSCINP00000011728
ENSCINP00000002664 ENSCINP00000007015
ENSCINP00000002664 ENSCINP00000002847
ENSCINP00000002664 ENSCINP00000024469
ENSCINP00000002664 ENSCINP00000029120
ENSCINP00000002723 ENSCINP00000030569
ENSCINP00000002723 ENSCINP00000015886
ENSCINP00000002723 ENSCINP00000034767
ENSCINP00000002723 ENSCINP00000025757
ENSCINP00000002723 ENSCINP00000033982
ENSCINP00000002723 ENSCINP00000021823
ENSCINP00000002723 ENSCINP00000021743
ENSCINP00000002723 ENSCINP00000018520
ENSCINP00000002723 ENSCINP00000012911
ENSCINP00000002723 ENSCINP00000007047
ENSCINP00000002723 ENSCINP00000022151
ENSCINP00000002723 ENSCINP00000004555
ENSCINP00000002723 ENSCINP00000035126
ENSCINP00000002723 ENSCINP00000021982
ENSCINP00000002839 ENSCINP00000013857
ENSCINP00000002839 ENSCINP00000018994
ENSCINP00000002847 ENSCINP00000002664
ENSCINP00000002847 ENSCINP00000024469
ENSCINP00000002847 ENSCINP00000029120
ENSCINP00000002847 ENSCINP00000007015
ENSCINP00000002919 ENSCINP00000005699
ENSCINP00000002919 ENSCINP00000004990
ENSCINP00000002919 ENSCINP00000033982
ENSCINP00000002919 ENSCINP00000029970
ENSCINP00000002919 ENSCINP00000013306
ENSCINP00000002919 ENSCINP00000017071
ENSCINP00000002919 ENSCINP00000022682
ENSCINP00000002919 ENSCINP00000002922
ENSCINP00000002919 ENSCINP00000000095
ENSCINP00000002919 ENSCINP00000007158
ENSCINP00000002919 ENSCINP00000001408
ENSCINP00000002919 ENSCINP00000025716
ENSCINP00000002919 ENSCINP00000011274
ENSCINP00000002919 ENSCINP00000016220
ENSCINP00000002919 ENSCINP00000012517
ENSCINP00000002919 ENSCINP00000019330
ENSCINP00000002919 ENSCINP00000010323
ENSCINP00000002922 ENSCINP00000012517
ENSCINP00000002922 ENSCINP00000033982
ENSCINP00000002922 ENSCINP00000013306
ENSCINP00000002922 ENSCINP00000029970
ENSCINP00000002922 ENSCINP00000007659
ENSCINP00000002922 ENSCINP00000022682
ENSCINP00000002922 ENSCINP00000017071
ENSCINP00000002922 ENSCINP00000002919
ENSCINP00000002922 ENSCINP00000005699
ENSCINP00000002922 ENSCINP00000006463
