SpneT_02000024 SpneT_02000259
SpneT_02000024 SpneT_02001435
SpneT_02000026 SpneT_02000856
SpneT_02000026 SpneT_02001314
SpneT_02000026 SpneT_02000416
SpneT_02000029 SpneT_02000054
SpneT_02000029 SpneT_02000331
SpneT_02000029 SpneT_02001536
SpneT_02000029 SpneT_02001186
SpneT_02000032 SpneT_02000989
SpneT_02000032 SpneT_02001202
SpneT_02000033 SpneT_02000138
SpneT_02000035 SpneT_02000705
SpneT_02000035 SpneT_02001360
SpneT_02000035 SpneT_02001897
SpneT_02000039 SpneT_02000981
SpneT_02000040 SpneT_02000606
SpneT_02000040 SpneT_02001610
SpneT_02000040 SpneT_02000130
SpneT_02000040 SpneT_02001050
SpneT_02000040 SpneT_02001408
SpneT_02000040 SpneT_02000324
SpneT_02000040 SpneT_02001407
SpneT_02000040 SpneT_02000127
SpneT_02000040 SpneT_02001473
SpneT_02000040 SP_2128
SpneT_02000051 SpneT_02001169
SpneT_02000051 SpneT_02001280
SpneT_02000051 SpneT_02001406
SpneT_02000051 SpneT_02000389
SpneT_02000051 SpneT_02001844
SpneT_02000054 SpneT_02000331
SpneT_02000054 SpneT_02000029
SpneT_02000054 SpneT_02001536
SpneT_02000054 SpneT_02001186
SpneT_02000056 SpneT_02001169
SpneT_02000056 SpneT_02001198
SpneT_02000056 SpneT_02001202
SpneT_02000056 SpneT_02000906
SpneT_02000056 SpneT_02000989
SpneT_02000056 SpneT_02001195
SpneT_02000056 SpneT_02000973
SpneT_02000056 SpneT_02000393
SpneT_02000056 SpneT_02000911
SpneT_02000056 SpneT_02001069
SpneT_02000056 SpneT_02000447
SpneT_02000056 SpneT_02000528
SpneT_02000056 SpneT_02000910
SpneT_02000056 SpneT_02000123
SpneT_02000056 SpneT_02001199
SpneT_02000056 SpneT_02000526
SpneT_02000056 SpneT_02000527
SpneT_02000056 SpneT_02001197
SpneT_02000056 SpneT_02000389
SpneT_02000056 SpneT_02000529
SpneT_02000056 SpneT_02001337
SpneT_02000056 SpneT_02001872
SpneT_02000057 SpneT_02000944
SpneT_02000057 SpneT_02000058
SpneT_02000057 SpneT_02000947
SpneT_02000057 SpneT_02000059
SpneT_02000057 SpneT_02000122
SpneT_02000057 SpneT_02000121
SpneT_02000058 SpneT_02000120
SpneT_02000058 SpneT_02001034
SpneT_02000058 SpneT_02000944
SpneT_02000058 SpneT_02000947
SpneT_02000058 SpneT_02000059
SpneT_02000058 SpneT_02000943
SpneT_02000058 SpneT_02000122
SpneT_02000058 SpneT_02000121
SpneT_02000058 SpneT_02000057
SpneT_02000059 SpneT_02001034
SpneT_02000059 SpneT_02000058
SpneT_02000059 SpneT_02000944
SpneT_02000059 SpneT_02000947
SpneT_02000059 SpneT_02000943
SpneT_02000059 SpneT_02000120
SpneT_02000059 SpneT_02000122
SpneT_02000059 SpneT_02000121
SpneT_02000059 SpneT_02000057
SpneT_02000063 SpneT_02001242
SpneT_02000063 SpneT_02001243
SpneT_02000063 SpneT_02000064
SpneT_02000063 SpneT_02001241
SpneT_02000064 SpneT_02001242
SpneT_02000064 SpneT_02001243
SpneT_02000064 SpneT_02000063
SpneT_02000064 SpneT_02001241
SpneT_02000069 SpneT_02001408
SpneT_02000069 SpneT_02000127
SpneT_02000069 SpneT_02001152
SpneT_02000069 SpneT_02001407
SpneT_02000069 SpneT_02001311
SpneT_02000069 SpneT_02000648
SpneT_02000069 SpneT_02000650
SpneT_02000069 SpneT_02000405
SpneT_02000069 SpneT_02000318
SpneT_02000069 SpneT_02001610
SpneT_02000069 SpneT_02001439
SpneT_02000069 SpneT_02000803
SpneT_02000069 SpneT_02001474
SpneT_02000069 SpneT_02001492
SpneT_02000069 SpneT_02001661
SpneT_02000070 SP_0239
SpneT_02000071 SP_0238
SpneT_02000073 SpneT_02001638
SpneT_02000073 SpneT_02001205
SpneT_02000073 SpneT_02000886
SpneT_02000073 SpneT_02000019
SpneT_02000073 SpneT_02001900
SpneT_02000073 SpneT_02000020
SpneT_02000073 SpneT_02000960
SpneT_02000073 SpneT_02000018
SpneT_02000073 SpneT_02001120
SpneT_02000073 SpneT_02001648
SpneT_02000073 SpneT_02000104
SpneT_02000073 SpneT_02001069
SpneT_02000073 SpneT_02001144
SpneT_02000077 SpneT_02000431
SpneT_02000077 SpneT_02001144
SpneT_02000077 SpneT_02001650
SpneT_02000077 SpneT_02001649
SpneT_02000077 SpneT_02000383
SpneT_02000077 SpneT_02001069
SpneT_02000077 SpneT_02000018
SpneT_02000078 SpneT_02000592
SpneT_02000104 SpneT_02001534
SpneT_02000104 SpneT_02001572
SpneT_02000104 SpneT_02000691
SpneT_02000104 SpneT_02000504
SpneT_02000104 SpneT_02000886
SpneT_02000104 SpneT_02000019
SpneT_02000104 SpneT_02000073
SpneT_02000104 SpneT_02001071
SpneT_02000104 SpneT_02001900
SpneT_02000104 SpneT_02001205
SpneT_02000104 SpneT_02001638
SpneT_02000104 SpneT_02000020
SpneT_02000104 SpneT_02000485
SpneT_02000104 SpneT_02001292
SpneT_02000104 SpneT_02001069
SpneT_02000104 SpneT_02000218
SpneT_02000104 SpneT_02000018
SpneT_02000104 SpneT_02000960
SpneT_02000104 SpneT_02001430
SpneT_02000104 SpneT_02001792
SpneT_02000104 SpneT_02001120
SpneT_02000104 SpneT_02001648
SpneT_02000107 SP_0198
SpneT_02000108 SpneT_02000377
SpneT_02000108 SpneT_02000176
SpneT_02000108 SpneT_02001637
SpneT_02000108 SpneT_02001636
SpneT_02000112 SP_0191
SpneT_02000115 SP_0618
SpneT_02000119 SpneT_02001106
SpneT_02000119 SpneT_02001334
SpneT_02000120 SpneT_02000122
SpneT_02000120 SpneT_02000121
SpneT_02000120 SpneT_02000058
SpneT_02000120 SpneT_02000947
SpneT_02000120 SpneT_02000944
SpneT_02000120 SpneT_02000059
SpneT_02000121 SpneT_02000944
SpneT_02000121 SpneT_02000058
SpneT_02000121 SpneT_02001034
SpneT_02000121 SpneT_02000059
SpneT_02000121 SpneT_02000947
SpneT_02000121 SpneT_02000120
SpneT_02000121 SpneT_02000943
SpneT_02000121 SpneT_02000122
SpneT_02000121 SpneT_02000057
SpneT_02000122 SpneT_02000944
SpneT_02000122 SpneT_02000058
SpneT_02000122 SpneT_02001034
SpneT_02000122 SpneT_02000947
SpneT_02000122 SpneT_02000059
SpneT_02000122 SpneT_02000943
SpneT_02000122 SpneT_02000120
SpneT_02000122 SpneT_02000121
SpneT_02000122 SpneT_02000057
SpneT_02000123 SpneT_02000389
SpneT_02000123 SpneT_02001202
SpneT_02000123 SpneT_02001195
SpneT_02000123 SpneT_02000526
SpneT_02000123 SpneT_02001199
SpneT_02000123 SpneT_02001700
SpneT_02000123 SpneT_02000527
SpneT_02000123 SpneT_02001197
SpneT_02000123 SpneT_02000152
SpneT_02000123 SpneT_02001872
SpneT_02000123 SpneT_02000631
SpneT_02000123 SpneT_02001198
SpneT_02000123 SpneT_02000056
SpneT_02000123 SpneT_02000528
SpneT_02000126 SpneT_02001465
SpneT_02000127 SpneT_02000973
SpneT_02000127 SpneT_02001492
SpneT_02000127 SpneT_02001049
SpneT_02000127 SpneT_02001207
SpneT_02000127 SpneT_02001661
SpneT_02000127 SpneT_02001050
SpneT_02000127 SpneT_02001408
SpneT_02000127 SpneT_02000650
SpneT_02000127 SpneT_02000526
SpneT_02000127 SpneT_02001407
SpneT_02000127 SpneT_02000527
SpneT_02000127 SpneT_02001311
SpneT_02000127 SpneT_02000293
SpneT_02000127 SpneT_02001070
SpneT_02000127 SP_0828
SpneT_02000127 SpneT_02001675
SpneT_02000127 SpneT_02000380
SpneT_02000127 SpneT_02000040
SpneT_02000127 SpneT_02001529
SpneT_02000127 SpneT_02001069
SpneT_02000127 SpneT_02001610
SpneT_02000127 SpneT_02000318
SpneT_02000127 SpneT_02001715
SpneT_02000127 SpneT_02000069
SpneT_02000127 SpneT_02000803
SpneT_02000127 SpneT_02000175
SpneT_02000127 SpneT_02001439
SpneT_02000127 SpneT_02000490
SpneT_02000128 SpneT_02000132
SpneT_02000128 SpneT_02000133
SpneT_02000128 SpneT_02000135
SpneT_02000128 SpneT_02001409
SpneT_02000128 SpneT_02000134
SpneT_02000128 SpneT_02001410
SpneT_02000130 SpneT_02000131
SpneT_02000130 SpneT_02000040
SpneT_02000131 SpneT_02000130
SpneT_02000131 SpneT_02000132
SpneT_02000132 SpneT_02000128
SpneT_02000132 SpneT_02000131
SpneT_02000133 SpneT_02001410
SpneT_02000133 SpneT_02000128
SpneT_02000133 SpneT_02000135
SpneT_02000133 SpneT_02001409
SpneT_02000133 SpneT_02000134
SpneT_02000134 SpneT_02000135
SpneT_02000134 SpneT_02000128
SpneT_02000134 SpneT_02001409
SpneT_02000134 SpneT_02000133
SpneT_02000134 SpneT_02001410
SpneT_02000135 SpneT_02000128
SpneT_02000135 SpneT_02000133
SpneT_02000135 SpneT_02000134
SpneT_02000135 SpneT_02001409
SpneT_02000135 SpneT_02001410
SpneT_02000138 SpneT_02000033
SpneT_02000140 SpneT_02001202
SpneT_02000140 SpneT_02000989
SpneT_02000152 SpneT_02001700
SpneT_02000152 SpneT_02000123
SpneT_02000152 SpneT_02000631
SpneT_02000153 SpneT_02000366
SpneT_02000153 SpneT_02000283
SpneT_02000153 SpneT_02000510
SpneT_02000153 SpneT_02000731
SpneT_02000153 SP_1415
SpneT_02000153 SpneT_02000292
SpneT_02000155 SpneT_02000284
SpneT_02000155 SpneT_02001957
SpneT_02000161 SP_2064
SpneT_02000163 SpneT_02001824
SpneT_02000163 SpneT_02000906
SpneT_02000163 SpneT_02001014
SpneT_02000169 SpneT_02001023
SpneT_02000169 SpneT_02001022
SpneT_02000172 SpneT_02001695
SpneT_02000172 SpneT_02000349
SpneT_02000172 SpneT_02001636
SpneT_02000172 SpneT_02001395
SpneT_02000172 SpneT_02001396
SpneT_02000174 SP_0667
SpneT_02000175 SpneT_02001492
SpneT_02000175 SpneT_02001661
SpneT_02000175 SpneT_02001408
SpneT_02000175 SpneT_02001407
SpneT_02000175 SpneT_02001311
SpneT_02000175 SpneT_02001060
SpneT_02000175 SpneT_02000127
SpneT_02000175 SpneT_02000293
SpneT_02000175 SpneT_02001088
SpneT_02000175 SpneT_02000405
SpneT_02000175 SpneT_02001610
SpneT_02000175 SpneT_02000949
SpneT_02000175 SpneT_02001715
SpneT_02000175 SpneT_02001133
SpneT_02000175 SpneT_02000803
SpneT_02000175 SpneT_02000490
SpneT_02000175 SpneT_02000511
SpneT_02000175 SpneT_02001474
SpneT_02000175 SpneT_02001392
SpneT_02000176 SpneT_02000561
SpneT_02000176 SpneT_02001292
SpneT_02000176 SpneT_02001535
SpneT_02000176 SpneT_02001663
SpneT_02000176 SpneT_02001637
SpneT_02000176 SpneT_02001054
SpneT_02000176 SpneT_02001145
SpneT_02000176 SpneT_02001534
SpneT_02000176 SpneT_02000692
SpneT_02000176 SpneT_02000108
SpneT_02000176 SpneT_02000377
SpneT_02000176 SpneT_02000567
SpneT_02000191 SpneT_02000452
SpneT_02000191 SpneT_02000443
SpneT_02000191 SpneT_02001506
SpneT_02000191 SpneT_02001360
SpneT_02000192 SpneT_02001555
SpneT_02000192 SpneT_02001251
SpneT_02000192 SpneT_02000612
SpneT_02000192 SpneT_02000863
SpneT_02000192 SpneT_02001588
SpneT_02000197 SpneT_02000332
SpneT_02000197 SpneT_02000198
SpneT_02000197 SP_0944
SpneT_02000197 SpneT_02000998
SpneT_02000197 SpneT_02001291
SpneT_02000197 SpneT_02001681
SpneT_02000197 SpneT_02000790
SpneT_02000198 SpneT_02000769
SpneT_02000198 SpneT_02001529
SpneT_02000198 SP_0963
SpneT_02000198 SpneT_02000768
SpneT_02000198 SpneT_02001207
SpneT_02000198 SpneT_02000486
SpneT_02000198 SpneT_02000197
SpneT_02000209 SpneT_02000231
SpneT_02000209 SpneT_02000399
SpneT_02000209 SpneT_02001935
SpneT_02000209 SpneT_02001047
SpneT_02000209 SpneT_02000623
SpneT_02000209 SpneT_02001505
SpneT_02000209 SpneT_02000426
SpneT_02000209 SpneT_02001417
SpneT_02000209 SpneT_02000383
SpneT_02000209 SpneT_02001119
SpneT_02000209 SpneT_02001536
SpneT_02000214 SP_0006
SpneT_02000218 SpneT_02000504
SpneT_02000218 SpneT_02001071
SpneT_02000218 SpneT_02000485
SpneT_02000218 SpneT_02000104
SpneT_02000218 SpneT_02001069
SpneT_02000218 SpneT_02001430
SpneT_02000218 SpneT_02001792
SpneT_02000218 SpneT_02000018
SpneT_02000218 SpneT_02001572
SpneT_02000218 SpneT_02000691
SpneT_02000221 SP_2239
SpneT_02000223 SP_2237
SpneT_02000223 SpneT_02000224
SpneT_02000224 SP_2235
SpneT_02000224 SpneT_02000223
SpneT_02000231 SpneT_02000399
SpneT_02000231 SpneT_02001505
SpneT_02000231 SpneT_02001212
SpneT_02000231 SpneT_02000623
SpneT_02000231 SpneT_02000426
SpneT_02000231 SpneT_02001536
SpneT_02000231 SpneT_02000716
SpneT_02000231 SpneT_02000209
SpneT_02000231 SpneT_02001417
SpneT_02000237 SpneT_02000514
SpneT_02000238 SpneT_02001642
SpneT_02000238 SpneT_02001641
SpneT_02000238 SpneT_02001027
SpneT_02000238 SpneT_02000979
SpneT_02000238 SpneT_02000265
SpneT_02000238 SP_1437
SpneT_02000238 SpneT_02000258
SpneT_02000238 SpneT_02000239
SpneT_02000238 SpneT_02001232
SpneT_02000238 SpneT_02001353
SpneT_02000238 SP_1438
SpneT_02000238 SpneT_02000980
SpneT_02000238 SP_1397
SpneT_02000238 SpneT_02000240
SpneT_02000238 SpneT_02001574
SpneT_02000239 SpneT_02000258
SpneT_02000239 SP_1437
SpneT_02000239 SpneT_02001232
SpneT_02000239 SpneT_02001642
SpneT_02000239 SpneT_02000238
SpneT_02000239 SP_1397
SpneT_02000239 SP_1438
SpneT_02000239 SpneT_02000980
SpneT_02000239 SpneT_02001027
SpneT_02000239 SpneT_02001641
SpneT_02000239 SpneT_02000265
SpneT_02000239 SpneT_02000979
SpneT_02000239 SpneT_02001353
SpneT_02000239 SpneT_02000240
SpneT_02000239 SpneT_02001574
SpneT_02000240 SpneT_02001641
SpneT_02000240 SpneT_02000979
SpneT_02000240 SP_1437
SpneT_02000240 SpneT_02001642
SpneT_02000240 SpneT_02000238
SpneT_02000240 SP_1438
SpneT_02000240 SpneT_02001574
SpneT_02000240 SpneT_02000980
SpneT_02000240 SpneT_02000239
SpneT_02000241 SP_2218
SpneT_02000246 SpneT_02001282
SpneT_02000246 SpneT_02001283
SpneT_02000246 SpneT_02000248
SpneT_02000247 SpneT_02001691
SpneT_02000247 SpneT_02000248
SpneT_02000248 SpneT_02000247
SpneT_02000248 SpneT_02000246
SpneT_02000252 SpneT_02000508
SpneT_02000252 SpneT_02000642
SpneT_02000252 SpneT_02001393
SpneT_02000255 SpneT_02000256
SpneT_02000255 SpneT_02000258
SpneT_02000255 SpneT_02000257
