SSE37_04575 SSE37_11114
SSE37_04575 SSE37_12094
SSE37_04655 SSE37_21920
SSE37_04655 SSE37_05330
SSE37_04655 SSE37_07938
SSE37_04655 SSE37_08933
SSE37_04680 SSE37_17008
SSE37_04680 SSE37_19077
SSE37_04710 SSE37_08258
SSE37_04960 SSE37_14654
SSE37_04960 SSE37_13056
SSE37_04960 SSE37_16628
SSE37_04960 SSE37_09608
SSE37_04960 SSE37_02500
SSE37_04965 SSE37_10697
SSE37_04965 SSE37_06789
SSE37_04965 SSE37_21355
SSE37_04965 SSE37_15306
SSE37_04985 SSE37_05105
SSE37_05100 SSE37_05105
SSE37_05105 SSE37_04985
SSE37_05105 SSE37_05100
SSE37_05125 SSE37_19887
SSE37_05125 SSE37_04520
SSE37_05125 SSE37_04560
SSE37_05190 SSE37_14784
SSE37_05190 SSE37_15466
SSE37_05260 SSE37_09623
SSE37_05260 SSE37_22240
SSE37_05330 SSE37_04655
SSE37_05375 SSE37_11614
SSE37_05375 SSE37_16938
SSE37_05375 SSE37_15813
SSE37_05375 SSE37_08703
SSE37_05375 SSE37_09618
SSE37_05385 SSE37_09618
SSE37_05385 SSE37_15813
SSE37_05385 SSE37_11614
SSE37_05385 SSE37_08703
SSE37_05385 SSE37_16938
SSE37_05415 SSE37_05420
SSE37_05420 SSE37_05415
SSE37_05465 SSE37_09513
SSE37_05465 SSE37_05470
SSE37_05470 SSE37_05465
SSE37_05510 SSE37_11254
SSE37_05510 SSE37_11244
SSE37_05510 SSE37_11239
SSE37_05510 SSE37_11289
SSE37_05510 SSE37_11229
SSE37_05510 SSE37_11249
SSE37_05562 SSE37_05572
SSE37_05562 SSE37_05567
SSE37_05567 SSE37_05572
SSE37_05567 SSE37_05562
SSE37_05572 SSE37_05562
SSE37_05572 SSE37_05567
SSE37_05607 SSE37_22402
SSE37_05607 SSE37_07473
SSE37_05607 SSE37_00555
SSE37_05607 SSE37_17915
SSE37_05607 SSE37_03605
SSE37_05652 SSE37_21715
SSE37_05697 SSE37_05732
SSE37_05697 SSE37_05727
SSE37_05727 SSE37_05732
SSE37_05727 SSE37_05697
SSE37_05732 SSE37_05727
SSE37_05732 SSE37_05697
SSE37_05742 SSE37_23834
SSE37_05742 SSE37_11114
SSE37_05742 SSE37_12094
SSE37_05747 SSE37_23834
SSE37_05747 SSE37_11114
SSE37_05747 SSE37_12094
SSE37_05752 SSE37_12551
SSE37_05762 SSE37_05772
SSE37_05762 SSE37_05767
SSE37_05767 SSE37_05772
SSE37_05767 SSE37_05762
SSE37_05772 SSE37_05762
SSE37_05772 SSE37_05767
SSE37_06072 SSE37_11144
SSE37_06072 SSE37_11949
SSE37_06072 SSE37_01000
SSE37_06072 SSE37_03700
SSE37_06072 SSE37_08548
SSE37_06072 SSE37_21745
SSE37_06072 SSE37_12681
SSE37_06072 SSE37_21680
SSE37_06077 SSE37_10407
SSE37_06077 SSE37_03570
SSE37_06077 SSE37_17053
SSE37_06077 SSE37_03980
SSE37_06077 SSE37_10422
SSE37_06124 SSE37_06134
SSE37_06124 SSE37_06129
SSE37_06129 SSE37_06124
SSE37_06129 SSE37_06134
SSE37_06134 SSE37_06124
SSE37_06134 SSE37_06129
SSE37_06159 SSE37_06789
SSE37_06159 SSE37_08123
SSE37_06159 SSE37_06359
SSE37_06159 SSE37_15306
SSE37_06174 SSE37_03570
SSE37_06194 SSE37_06214
SSE37_06194 SSE37_06199
SSE37_06194 SSE37_06219
SSE37_06194 SSE37_06204
SSE37_06199 SSE37_06214
SSE37_06199 SSE37_06219
SSE37_06199 SSE37_06194
SSE37_06199 SSE37_06204
SSE37_06204 SSE37_06214
SSE37_06204 SSE37_06199
SSE37_06204 SSE37_06219
SSE37_06204 SSE37_06194
SSE37_06214 SSE37_06199
SSE37_06214 SSE37_06204
SSE37_06214 SSE37_06219
SSE37_06214 SSE37_06194
SSE37_06219 SSE37_06204
SSE37_06219 SSE37_06199
SSE37_06219 SSE37_06194
SSE37_06219 SSE37_06214
SSE37_06279 SSE37_11314
SSE37_06279 SSE37_25138
SSE37_06359 SSE37_08123
SSE37_06359 SSE37_19472
SSE37_06359 SSE37_06159
SSE37_06359 SSE37_04500
SSE37_06359 SSE37_13863
SSE37_06359 SSE37_24489
SSE37_06374 SSE37_20992
SSE37_06374 SSE37_21370
SSE37_06384 SSE37_21137
SSE37_06384 SSE37_11194
SSE37_06414 SSE37_19567
SSE37_06414 SSE37_11579
SSE37_06419 SSE37_20427
SSE37_06419 SSE37_06584
SSE37_06419 SSE37_07558
SSE37_06419 SSE37_23469
SSE37_06419 SSE37_06574
SSE37_06424 SSE37_06574
SSE37_06424 SSE37_06584
SSE37_06424 SSE37_07558
SSE37_06574 SSE37_06419
SSE37_06574 SSE37_06424
SSE37_06584 SSE37_06419
SSE37_06584 SSE37_06424
SSE37_06594 SSE37_14454
SSE37_06594 SSE37_25178
SSE37_06704 SSE37_20927
SSE37_06729 SSE37_21137
SSE37_06729 SSE37_11194
SSE37_06754 SSE37_24739
SSE37_06754 SSE37_23009
SSE37_06789 SSE37_09583
SSE37_06789 SSE37_25208
SSE37_06789 SSE37_04965
SSE37_06789 SSE37_06159
SSE37_06804 SSE37_02170
SSE37_06804 SSE37_13883
SSE37_06804 SSE37_17785
SSE37_06804 SSE37_16768
SSE37_06804 SSE37_08973
SSE37_06809 SSE37_15461
SSE37_06814 SSE37_08973
SSE37_06814 SSE37_02170
SSE37_06814 SSE37_16768
SSE37_06814 SSE37_13883
SSE37_06839 SSE37_21315
SSE37_06839 SSE37_21320
SSE37_06849 SSE37_21315
SSE37_06849 SSE37_10083
SSE37_06849 SSE37_21320
SSE37_06849 SSE37_10013
SSE37_06879 SSE37_11289
SSE37_06879 SSE37_25138
SSE37_06919 SSE37_17915
SSE37_06919 SSE37_07473
SSE37_06919 SSE37_22402
SSE37_06919 SSE37_00555
SSE37_06919 SSE37_03605
SSE37_06934 SSE37_15461
SSE37_06974 SSE37_08013
SSE37_06974 SSE37_18005
SSE37_07023 SSE37_16093
SSE37_07023 SSE37_23204
SSE37_07093 SSE37_08008
SSE37_07093 SSE37_07318
SSE37_07093 SSE37_17533
SSE37_07093 SSE37_08003
SSE37_07093 SSE37_16068
SSE37_07093 SSE37_07988
SSE37_07093 SSE37_11329
SSE37_07093 SSE37_16063
SSE37_07093 SSE37_17528
SSE37_07093 SSE37_19582
SSE37_07093 SSE37_07998
SSE37_07093 SSE37_11364
SSE37_07173 SSE37_13261
SSE37_07198 SSE37_10058
SSE37_07283 SSE37_16163
SSE37_07283 SSE37_16518
SSE37_07283 SSE37_14969
SSE37_07283 SSE37_14964
SSE37_07283 SSE37_04005
SSE37_07283 SSE37_16523
SSE37_07283 SSE37_09443
SSE37_07283 SSE37_16168
SSE37_07283 SSE37_00650
SSE37_07318 SSE37_16063
SSE37_07318 SSE37_17528
SSE37_07318 SSE37_17533
SSE37_07318 SSE37_08003
SSE37_07318 SSE37_07093
SSE37_07318 SSE37_16068
SSE37_07318 SSE37_11364
SSE37_07318 SSE37_19582
SSE37_07318 SSE37_08008
SSE37_07348 SSE37_13061
SSE37_07348 SSE37_13056
SSE37_07408 SSE37_11949
SSE37_07408 SSE37_01000
SSE37_07408 SSE37_03700
SSE37_07408 SSE37_11144
SSE37_07408 SSE37_08548
SSE37_07408 SSE37_21745
SSE37_07408 SSE37_12681
SSE37_07408 SSE37_21680
SSE37_07413 SSE37_25198
SSE37_07413 SSE37_14253
SSE37_07473 SSE37_05607
SSE37_07473 SSE37_06919
SSE37_07483 SSE37_20142
SSE37_07498 SSE37_19527
SSE37_07498 SSE37_13061
SSE37_07513 SSE37_23654
SSE37_07558 SSE37_06419
SSE37_07558 SSE37_06424
SSE37_07658 SSE37_14419
SSE37_07668 SSE37_19902
SSE37_07668 SSE37_19897
SSE37_07688 SSE37_15983
SSE37_07708 SSE37_14779
SSE37_07823 SSE37_23469
SSE37_07908 SSE37_25228
SSE37_07908 SSE37_04230
SSE37_07938 SSE37_04655
SSE37_07968 SSE37_25228
SSE37_07988 SSE37_18055
SSE37_07988 SSE37_16983
SSE37_07988 SSE37_11364
SSE37_07988 SSE37_07998
SSE37_07988 SSE37_19582
SSE37_07988 SSE37_16063
SSE37_07988 SSE37_17528
SSE37_07988 SSE37_07093
SSE37_07988 SSE37_21700
SSE37_07998 SSE37_11364
SSE37_07998 SSE37_19582
SSE37_07998 SSE37_07988
SSE37_07998 SSE37_16063
SSE37_07998 SSE37_17528
SSE37_07998 SSE37_07093
SSE37_08003 SSE37_17528
SSE37_08003 SSE37_11364
SSE37_08003 SSE37_07093
SSE37_08003 SSE37_16063
SSE37_08003 SSE37_07318
SSE37_08003 SSE37_17533
SSE37_08003 SSE37_08008
SSE37_08003 SSE37_19582
SSE37_08003 SSE37_16068
SSE37_08008 SSE37_17533
SSE37_08008 SSE37_07318
SSE37_08008 SSE37_16063
SSE37_08008 SSE37_17528
SSE37_08008 SSE37_08003
SSE37_08008 SSE37_16068
SSE37_08008 SSE37_11364
SSE37_08008 SSE37_19582
SSE37_08008 SSE37_07093
SSE37_08013 SSE37_06974
SSE37_08013 SSE37_16353
SSE37_08108 SSE37_00785
SSE37_08108 SSE37_14909
SSE37_08108 SSE37_01380
SSE37_08108 SSE37_23129
SSE37_08123 SSE37_17008
SSE37_08123 SSE37_24099
SSE37_08123 SSE37_06359
SSE37_08123 SSE37_23554
SSE37_08123 SSE37_06159
SSE37_08123 SSE37_19077
SSE37_08123 SSE37_23549
SSE37_08123 SSE37_04500
SSE37_08123 SSE37_21007
SSE37_08123 SSE37_13863
SSE37_08188 SSE37_15738
SSE37_08258 SSE37_16243
SSE37_08258 SSE37_10632
SSE37_08258 SSE37_20297
SSE37_08258 SSE37_08883
SSE37_08258 SSE37_04710
SSE37_08258 SSE37_10627
SSE37_08348 SSE37_08353
SSE37_08353 SSE37_08348
SSE37_08393 SSE37_15738
SSE37_08543 SSE37_08553
SSE37_08548 SSE37_02685
SSE37_08548 SSE37_08553
SSE37_08548 SSE37_06072
SSE37_08548 SSE37_20227
SSE37_08548 SSE37_11134
SSE37_08548 SSE37_02695
SSE37_08548 SSE37_13523
SSE37_08548 SSE37_00210
SSE37_08548 SSE37_12329
SSE37_08548 SSE37_00985
SSE37_08548 SSE37_00290
SSE37_08548 SSE37_00990
SSE37_08548 SSE37_18567
SSE37_08548 SSE37_07408
SSE37_08548 SSE37_11289
SSE37_08548 SSE37_10113
SSE37_08548 SSE37_00180
SSE37_08548 SSE37_19952
SSE37_08548 SSE37_12134
SSE37_08548 SSE37_10123
SSE37_08553 SSE37_01000
SSE37_08553 SSE37_03700
SSE37_08553 SSE37_11144
SSE37_08553 SSE37_11949
SSE37_08553 SSE37_08548
SSE37_08553 SSE37_13358
SSE37_08553 SSE37_21745
SSE37_08553 SSE37_12681
SSE37_08553 SSE37_21680
SSE37_08553 SSE37_08543
SSE37_08558 SSE37_08568
SSE37_08558 SSE37_08563
SSE37_08563 SSE37_08558
SSE37_08563 SSE37_08568
SSE37_08568 SSE37_08563
SSE37_08568 SSE37_08558
SSE37_08648 SSE37_13056
SSE37_08648 SSE37_19902
SSE37_08648 SSE37_19897
SSE37_08668 SSE37_17273
SSE37_08668 SSE37_16833
SSE37_08673 SSE37_17273
SSE37_08673 SSE37_16833
SSE37_08703 SSE37_14969
SSE37_08703 SSE37_17378
SSE37_08703 SSE37_05375
SSE37_08703 SSE37_00650
SSE37_08703 SSE37_14964
SSE37_08703 SSE37_04005
SSE37_08703 SSE37_18907
SSE37_08703 SSE37_16168
SSE37_08703 SSE37_09443
SSE37_08703 SSE37_16163
SSE37_08703 SSE37_09643
SSE37_08703 SSE37_02950
SSE37_08703 SSE37_05385
SSE37_08768 SSE37_00550
SSE37_08768 SSE37_03605
SSE37_08768 SSE37_00555
SSE37_08768 SSE37_03610
SSE37_08858 SSE37_15928
SSE37_08883 SSE37_08258
SSE37_08918 SSE37_15928
SSE37_08918 SSE37_11289
SSE37_08933 SSE37_04655
SSE37_08943 SSE37_10058
SSE37_08973 SSE37_06804
SSE37_08973 SSE37_06814
SSE37_08993 SSE37_13783
SSE37_08993 SSE37_24544
SSE37_09048 SSE37_09068
SSE37_09048 SSE37_22572
SSE37_09048 SSE37_22567
SSE37_09048 SSE37_09098
SSE37_09048 SSE37_16653
SSE37_09053 SSE37_16653
SSE37_09053 SSE37_09068
SSE37_09053 SSE37_22572
SSE37_09053 SSE37_23154
SSE37_09053 SSE37_09098
SSE37_09053 SSE37_22567
SSE37_09068 SSE37_09053
SSE37_09068 SSE37_09048
SSE37_09068 SSE37_09083
SSE37_09068 SSE37_09073
SSE37_09073 SSE37_16653
SSE37_09073 SSE37_09068
SSE37_09073 SSE37_09098
SSE37_09073 SSE37_22572
SSE37_09073 SSE37_22567
SSE37_09083 SSE37_09068
SSE37_09083 SSE37_01900
SSE37_09083 SSE37_09098
SSE37_09083 SSE37_04350
SSE37_09098 SSE37_09048
SSE37_09098 SSE37_09083
SSE37_09098 SSE37_09073
SSE37_09098 SSE37_09053
SSE37_09103 SSE37_01900
SSE37_09103 SSE37_20617
SSE37_09103 SSE37_04350
SSE37_09103 SSE37_20612
SSE37_09108 SSE37_01900
SSE37_09108 SSE37_20612
SSE37_09108 SSE37_20617
SSE37_09108 SSE37_04350
SSE37_09123 SSE37_11194
SSE37_09123 SSE37_23454
SSE37_09123 SSE37_02785
SSE37_09123 SSE37_01065
SSE37_09333 SSE37_20977
SSE37_09368 SSE37_23834
SSE37_09368 SSE37_11114
SSE37_09368 SSE37_12094
SSE37_09373 SSE37_23834
SSE37_09373 SSE37_11114
SSE37_09373 SSE37_12094
SSE37_09393 SSE37_09398
SSE37_09393 SSE37_09403
SSE37_09398 SSE37_09393
SSE37_09398 SSE37_09403
SSE37_09403 SSE37_09393
SSE37_09403 SSE37_09398
SSE37_09443 SSE37_16803
SSE37_09443 SSE37_11499
SSE37_09443 SSE37_07283
SSE37_09443 SSE37_17905
SSE37_09443 SSE37_08703
SSE37_09443 SSE37_17910
SSE37_09488 SSE37_14253
SSE37_09488 SSE37_25198
SSE37_09493 SSE37_18932
SSE37_09513 SSE37_10353
SSE37_09513 SSE37_05465
SSE37_09513 SSE37_24629
SSE37_09533 SSE37_01380
SSE37_09533 SSE37_00785
SSE37_09533 SSE37_14909
SSE37_09533 SSE37_23129
SSE37_09583 SSE37_06789
SSE37_09583 SSE37_21355
SSE37_09583 SSE37_15306
SSE37_09583 SSE37_10697
SSE37_09593 SSE37_19787
SSE37_09593 SSE37_19782
