MAL13P1.308 PFE0430w
MAL13P1.308 PF10_0071
MAL13P1.308 PFD0150w
MAL13P1.308 PFL0625c
MAL13P1.310 PFE1590w
MAL13P1.310 MAL7P1.155
MAL13P1.310 PFC0760c
MAL13P1.310 PF13_0045
MAL13P1.312 PF14_0587
MAL13P1.313 PF13_0036
MAL13P1.313 PFA0330w
MAL13P1.313 PFI1445w
MAL13P1.313 PF13_0210
MAL13P1.323 PF13_0035
MAL13P1.323 PF13_0132
MAL13P1.323 PFE1250w
MAL13P1.323 PFD0080c
MAL13P1.323 PFI1510w
MAL13P1.323 PFC0870w
MAL13P1.323 PFE1335c
MAL13P1.323 PF11_0341
MAL13P1.323 PFF0745c
MAL13P1.326 PFL0180w
MAL13P1.326 PFL1185c
MAL13P1.326 PF10_0275
MAL13P1.326 PFE0970w
MAL13P1.328 PF11_0506
MAL13P1.329 PFE0675c
MAL13P1.333 PFC0720w
MAL13P1.333 MAL13P1.214
MAL13P1.335 PFI1370c
MAL13P1.335 PFF1375c.1
MAL13P1.336 PFD0950w
MAL13P1.336 PFD0665c
MAL13P1.336 PFD0080c
MAL13P1.336 MAL13P1.222
MAL13P1.336 PFL1745c
MAL13P1.336 PFB0380c
MAL13P1.336 PF11_0259
MAL13P1.336 PFD0470c
MAL13P1.336 PFC0315c
MAL13P1.336 PF11_0477
MAL13P1.336 PF08_0034
MAL13P1.336 PF10_0075
MAL13P1.336 PF14_0487
MAL13P1.336 PF10_0348
MAL13P1.336 PFB0115w
MAL13P1.336 PF11_0049
MAL13P1.336 PF14_0493
MAL13P1.336 PF14_0499
MAL13P1.336 PF13_0076
MAL13P1.336 PFL2100w
MAL13P1.336 PF14_0329
MAL13P1.336 PF07_0105
MAL13P1.336 PF11_0156
MAL13P1.336 PFF0590c
MAL13P1.337 PF10_0114
MAL13P1.337 PFD0100c
MAL13P1.337 PFI0355c
MAL13P1.337 PF08_0060
MAL13P1.337 PF13_0122
MAL13P1.337 PFI1590c
MAL13P1.343 PFI1475w
MAL13P1.343 PF11_0257
MAL13P1.343 MAL7P1.170
MAL13P1.343 PF11_0098
MAL13P1.344 PFD0100c
MAL13P1.349 PFI0930c
MAL13P1.35 PFL1025c
MAL13P1.35 MAL7P1.170
MAL13P1.39 PF14_0587
MAL13P1.42 PFD0665c
MAL13P1.43 PFE1225w
MAL13P1.47 PF14_0541
MAL13P1.47 PFC0710w.2
MAL13P1.485 PFL1880w
MAL13P1.485 PFB0685c
MAL13P1.485 PFE1250w
MAL13P1.485 PFD0085c
MAL13P1.485 PF14_0761
MAL13P1.485 PF07_0129
MAL13P1.485 PF14_0751
MAL13P1.485 PFL2570w
MAL13P1.485 PFL0035c
MAL13P1.485 PFC0050c
MAL13P1.485 PFB0695c
MAL13P1.55 PF14_0038
MAL13P1.56 PFI0875w
MAL13P1.56 PFE0750c
MAL13P1.56 PF10_0186
MAL13P1.56 PFI0975c
MAL13P1.59 PF14_0152
MAL13P1.60 PFB1055c
MAL13P1.60 PF11_0259
MAL13P1.60 PFE0770w
MAL13P1.60 PF10_0345
MAL13P1.60 PFL1385c
MAL13P1.60 PF10_0242
MAL13P1.60 PFC0265c
MAL13P1.61 PFA0330w
MAL13P1.63 MAL8P1.23
MAL13P1.63 PFF0590c
MAL13P1.63 PFI0495w
MAL13P1.63 PFB0760w
MAL13P1.63 PF14_0343
MAL13P1.63 PFD0665c
MAL13P1.67 PF10_0340
MAL13P1.67 PFL1720w
MAL13P1.67 PF10_0053
MAL13P1.67 PF13_0345
MAL13P1.67 PFD0830w
MAL13P1.82 PFE0485w
MAL13P1.82 PF10_0316
MAL13P1.82 PFF0915w
MAL13P1.82 PFE0765w
MAL13P1.82 PFI0535w
MAL13P1.82 PFD0965w
MAL13P1.82 PFI1705w
MAL13P1.82 MAL8P1.58
MAL13P1.82 PF14_0097
MAL13P1.83 PF11_0183
MAL13P1.86 MAL13P1.214
MAL13P1.86 MAL8P1.19
MAL13P1.86 PFL2345c
MAL13P1.86 PF14_0020
MAL13P1.86 PF13_0213
MAL13P1.86 PFE1590w
MAL13P1.86 PF10_0150
MAL13P1.86 PFL0130c
MAL13P1.86 PFI0875w
MAL13P1.88 PF07_0042
MAL13P1.88 PF07_0097
MAL13P1.88 PF11_0504
MAL13P1.88 PF10_0242
MAL13P1.88 PF11_0065
MAL13P1.92 PFC0735w
MAL13P1.92 PF14_0205
MAL13P1.92 PF08_0076
MAL13P1.92 PFE0810c
MAL13P1.92 PF13_0228
MAL13P1.92 PFC0290w
MAL13P1.92 PFE1005w
MAL13P1.92 PF14_0585
MAL13P1.92 PF14_0083
MAL13P1.92 PFD1055w
MAL13P1.92 PF13_0014
MAL13P1.92 MAL7P1.300
MAL13P1.92 PFC1020c
MAL13P1.92 PF14_0448
MAL13P1.92 PF11_0065
MAL13P1.92 PFC0775w
MAL13P1.92 PF10_0038
MAL13P1.92 PF10_0264
MAL13P1.92 PF11_0454
MAL13P1.92 PFC0295c
MAL13P1.92 PF13_0316
MAL13P1.92 PF14_0627
MAL13P1.92 PF07_0088
MAL13P1.92 PFB0830w
MAL13P1.92 PFE0975c
MAL13P1.92 PFL2055w
MAL13P1.92 PFB0885w
MAL13P1.92 PF07_0080
MAL13P1.92 PF13_0045
MAL13P1.92 PF11_0272
MAL13P1.95 PFF1115w
MAL13P1.96 PF10_0374
MAL7P1.10 PFE0585c
MAL7P1.10 PFE0040c
MAL7P1.102 PFE0235c
