AL1_05020 AL1_07060
AL1_05020 AL1_25320
AL1_05020 AL1_26830
AL1_05020 AL1_28250
AL1_05020 AL1_25310
AL1_05080 AL1_08260
AL1_05080 AL1_05120
AL1_05080 AL1_30750
AL1_05080 AL1_30890
AL1_05080 AL1_30900
AL1_05080 AL1_29910
AL1_05080 AL1_25720
AL1_05080 AL1_08120
AL1_05080 AL1_03000
AL1_05080 AL1_21660
AL1_05080 AL1_08130
AL1_05090 AL1_00830
AL1_05100 AL1_17560
AL1_05100 AL1_17570
AL1_05100 AL1_10900
AL1_05100 AL1_17590
AL1_05120 AL1_27890
AL1_05120 AL1_08260
AL1_05120 AL1_05080
AL1_05120 AL1_04500
AL1_05120 AL1_30410
AL1_05130 AL1_27830
AL1_05130 AL1_04790
AL1_05130 AL1_21070
AL1_05130 AL1_14980
AL1_05130 AL1_22470
AL1_05130 AL1_17020
AL1_05130 AL1_17450
AL1_05130 AL1_27440
AL1_05140 AL1_15270
AL1_05140 AL1_25170
AL1_05140 AL1_05150
AL1_05140 AL1_14040
AL1_05140 AL1_16110
AL1_05140 AL1_28470
AL1_05140 AL1_05870
AL1_05140 AL1_05260
AL1_05150 AL1_14040
AL1_05150 AL1_16110
AL1_05150 AL1_28470
AL1_05150 AL1_05260
AL1_05150 AL1_05140
AL1_05150 AL1_05870
AL1_05150 AL1_15270
AL1_05150 AL1_25170
AL1_05180 AL1_29610
AL1_05180 AL1_20100
AL1_05240 AL1_15900
AL1_05240 AL1_10960
AL1_05240 AL1_12450
AL1_05240 AL1_00380
AL1_05240 AL1_11040
AL1_05240 AL1_01930
AL1_05240 AL1_19850
AL1_05240 AL1_11360
AL1_05240 AL1_22920
AL1_05240 AL1_16560
AL1_05240 AL1_25580
AL1_05260 AL1_05140
AL1_05260 AL1_25170
AL1_05260 AL1_05870
AL1_05260 AL1_15270
AL1_05260 AL1_05150
AL1_05260 AL1_16110
AL1_05260 AL1_14040
AL1_05260 AL1_28470
AL1_05290 AL1_14030
AL1_05290 AL1_02630
AL1_05570 AL1_15950
AL1_05580 AL1_21790
AL1_05580 AL1_05020
AL1_05580 AL1_30400
AL1_05580 AL1_26830
AL1_05580 AL1_23350
AL1_05600 AL1_15600
AL1_05600 AL1_04530
AL1_05600 AL1_22930
AL1_05620 AL1_25660
AL1_05620 AL1_12410
AL1_05870 AL1_14200
AL1_05870 AL1_17610
AL1_05870 AL1_27930
AL1_05870 AL1_05140
AL1_05870 AL1_32080
AL1_05870 AL1_05150
AL1_05870 AL1_18070
AL1_05870 AL1_15270
AL1_05870 AL1_16150
AL1_05870 AL1_25170
AL1_05870 AL1_16110
AL1_05870 AL1_14040
AL1_05870 AL1_32070
AL1_05870 AL1_28470
AL1_05870 AL1_05260
AL1_06220 AL1_19740
AL1_06220 AL1_22610
AL1_06220 AL1_19750
AL1_06220 AL1_19730
AL1_06220 AL1_22620
AL1_06230 AL1_28390
AL1_06460 AL1_24870
AL1_06460 AL1_04900
AL1_06460 AL1_06480
AL1_06480 AL1_04920
AL1_06480 AL1_06460
AL1_06480 AL1_04900
AL1_06480 AL1_24870
AL1_06480 AL1_24880
AL1_06480 AL1_06600
AL1_06540 AL1_03180
AL1_06540 AL1_02020
AL1_06560 AL1_25370
AL1_06560 AL1_03860
AL1_06560 AL1_23010
AL1_06560 AL1_10850
AL1_06560 AL1_06580
AL1_06560 AL1_22030
AL1_06560 AL1_06940
AL1_06560 AL1_15750
AL1_06560 AL1_21660
AL1_06570 AL1_28210
AL1_06570 AL1_08300
AL1_06570 AL1_28190
AL1_06570 AL1_28200
