rrnAC0198 rrnAC2674
rrnAC0198 rrnB0070
rrnAC0198 rrnAC0383
rrnAC0198 rrnAC0453
rrnAC0201 rrnAC0169
rrnAC0201 rrnB0263
rrnAC0201 rrnAC1798
rrnAC0201 rrnAC0384
rrnAC0201 rrnAC3228
rrnAC0201 rrnB0265
rrnAC0201 rrnAC1300
rrnAC0201 rrnAC1339
rrnAC0201 rrnAC2018
rrnAC0201 rrnAC1793
rrnAC0201 rrnAC2172
rrnAC0201 rrnAC0191
rrnAC0201 rrnAC3230
rrnAC0201 rrnAC1975
rrnAC0201 rrnB0217
rrnAC0201 rrnAC3121
rrnAC0201 rrnAC1167
rrnAC0201 rrnAC1267
rrnAC0201 rrnAC0002
rrnAC0201 rrnB0113
rrnAC0201 rrnAC1268
rrnAC0201 rrnAC0903
rrnAC0201 rrnAC3403
rrnAC0201 rrnAC0004
rrnAC0201 rrnAC0012
rrnAC0201 rrnAC0382
rrnAC0201 rrnAC1402
rrnAC0201 rrnAC0650
rrnAC0201 rrnAC3506
rrnAC0201 rrnAC2780
rrnAC0201 rrnAC0775
rrnAC0201 rrnAC1171
rrnAC0201 rrnAC1983
rrnAC0201 rrnAC1341
rrnAC0201 rrnAC0241
rrnAC0201 rrnB0264
rrnAC0204 rrnAC0206
rrnAC0205 rrnAC1957
rrnAC0206 rrnAC0207
rrnAC0206 rrnAC0960
rrnAC0206 rrnAC0204
rrnAC0207 rrnAC0365
rrnAC0207 rrnAC0206
rrnAC0207 rrnAC2408
rrnAC0207 rrnAC0960
rrnAC0224 rrnAC1479
rrnAC0224 rrnAC1113
rrnAC0224 rrnAC2353
rrnAC0224 rrnAC1957
rrnAC0224 rrnAC0173
rrnAC0224 rrnAC1478
rrnAC0226 rrnAC3523
rrnAC0226 rrnAC0282
rrnAC0226 rrnAC1903
rrnAC0226 rrnAC0514
rrnAC0226 rrnAC0894
rrnAC0227 rrnAC2941
rrnAC0227 rrnAC0383
rrnAC0227 rrnAC0453
rrnAC0227 rrnAC1999
rrnAC0227 rrnAC0038
rrnAC0237 rrnAC3239
rrnAC0241 rrnAC1973
