MAMP_02440 MAMP_02249
MAMP_02449 MAMP_01703
MAMP_02449 MAMP_01187
MAMP_02449 MAMP_01191
MAMP_02482 MAMP_01463
MAMP_02484 MAMP_00223
MAMP_02501 MAMP_01273
MAMP_02503 MAMP_02505
MAMP_02505 MAMP_02581
MAMP_02505 MAMP_02503
MAMP_02506 MAMP_02579
MAMP_02506 MAMP_02580
MAMP_02506 MAMP_02581
MAMP_02509 MAMP_01924
MAMP_02516 MAMP_02701
MAMP_02516 MAMP_02584
MAMP_02524 MAMP_02526
MAMP_02524 MAMP_02525
MAMP_02524 MAMP_02527
MAMP_02525 MAMP_02524
MAMP_02526 MAMP_02524
MAMP_02527 MAMP_02524
MAMP_02545 MAMP_00057
MAMP_02572 MAMP_01277
MAMP_02572 MAMP_02573
MAMP_02573 MAMP_02572
MAMP_02573 MAMP_01019
MAMP_02577 MAMP_00955
MAMP_02577 MAMP_01719
MAMP_02577 MAMP_01817
MAMP_02577 MAMP_00872
MAMP_02578 MAMP_02250
MAMP_02579 MAMP_02580
MAMP_02579 MAMP_02506
MAMP_02580 MAMP_02506
MAMP_02580 MAMP_02579
MAMP_02581 MAMP_02506
MAMP_02581 MAMP_02505
MAMP_02584 MAMP_02286
MAMP_02584 MAMP_01284
MAMP_02584 MAMP_02676
MAMP_02584 MAMP_02516
MAMP_02584 MAMP_02674
MAMP_02585 MAMP_01722
MAMP_02585 MAMP_02586
MAMP_02586 MAMP_02585
MAMP_02586 MAMP_01079
MAMP_02586 MAMP_01722
MAMP_02586 MAMP_02276
MAMP_02596 MAMP_01994
MAMP_02610 MAMP_02197
MAMP_02610 MAMP_02611
MAMP_02611 MAMP_01506
MAMP_02611 MAMP_02197
MAMP_02611 MAMP_02610
MAMP_02617 MAMP_02635
MAMP_02618 MAMP_02894
MAMP_02618 MAMP_01425
MAMP_02621 MAMP_00486
MAMP_02621 MAMP_02885
MAMP_02627 MAMP_01281
MAMP_02627 MAMP_00942
MAMP_02628 MAMP_01488
MAMP_02629 MAMP_00056
MAMP_02631 MAMP_02250
MAMP_02635 MAMP_02617
MAMP_02635 MAMP_01681
MAMP_02635 MAMP_00008
MAMP_02653 MAMP_02790
MAMP_02653 MAMP_00132
MAMP_02653 MAMP_01847
MAMP_02655 MAMP_01677
MAMP_02655 MAMP_01698
MAMP_02674 MAMP_02701
MAMP_02674 MAMP_02584
MAMP_02675 MAMP_02677
MAMP_02676 MAMP_02677
MAMP_02676 MAMP_02584
MAMP_02677 MAMP_02675
MAMP_02677 MAMP_02676
MAMP_02685 MAMP_01281
MAMP_02701 MAMP_02516
MAMP_02701 MAMP_02674
MAMP_02761 MAMP_02762
MAMP_02762 MAMP_02761
MAMP_02778 MAMP_01559
MAMP_02778 MAMP_02266
MAMP_02790 MAMP_02653
MAMP_02790 MAMP_00826
MAMP_02790 MAMP_00829
MAMP_02792 MAMP_00974
MAMP_02792 MAMP_02177
MAMP_02792 MAMP_03098
MAMP_02792 MAMP_00640
MAMP_02792 MAMP_02976
MAMP_02810 MAMP_01425
MAMP_02822 MAMP_02894
MAMP_02840 MAMP_02291
MAMP_02840 MAMP_01697
MAMP_02840 MAMP_00056
MAMP_02840 MAMP_00805
MAMP_02841 MAMP_00216
MAMP_02841 MAMP_01757
MAMP_02843 MAMP_00889
MAMP_02847 MAMP_01508
MAMP_02873 MAMP_01045
MAMP_02873 MAMP_00431
MAMP_02873 MAMP_03141
MAMP_02873 MAMP_01272
MAMP_02885 MAMP_02621
MAMP_02885 MAMP_00486
MAMP_02894 MAMP_02822
MAMP_02894 MAMP_02618
MAMP_02895 MAMP_01316
MAMP_02928 MAMP_01277
MAMP_02928 MAMP_01852
MAMP_02928 MAMP_00942
MAMP_02928 MAMP_01853
MAMP_02973 MAMP_01820
MAMP_02975 MAMP_02039
MAMP_02976 MAMP_02792
MAMP_02980 MAMP_00993
MAMP_02981 MAMP_01463
MAMP_02983 MAMP_01924
MAMP_02985 MAMP_02986
MAMP_02985 MAMP_02989
MAMP_02986 MAMP_01257
MAMP_02986 MAMP_02985
MAMP_02989 MAMP_01442
